TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Wählt Euer erstes Kartenchaos!	
FB_BUILDABRAWL002	Wählt Euer zweites Kartenchaos!	
FB_ELO_GREATERSPIRITS	Wählt einen großen Bonus!	
FB_ELO_SPIRITS	Wählt einen Bonus!	
GALAKROND_ONCE	Zum Aufwerten einmal Galakrond <b>ermächtigen</b>.	
GALAKROND_TWICE	Zum Aufwerten zweimal Galakrond <b>ermächtigen</b>.	
GAMEPLAY_AI_OPPONENT_NAME	Gastwirt	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Zum Aufwerten Schaden durch eigene Karten erleiden.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Zum Aufwerten Schaden durch eigene Karten erleiden.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Zum Aufwerten Schaden durch eigene Karten erleiden.)</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	{0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Zieht den Diener, um ihn zu kaufen.	
GAMEPLAY_BACON_CLICKING_ON_TEAMMATES_MINIONS	Ihr könnt auf dem Spielbrett Eures Teamkollegen keine Karten spielen.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Diener kosten <b>immer</b> 3 Gold.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	Ungenutztes Gold geht verloren.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Diener, die den Kampf überleben, erhöhen Euren Schaden.\n\nJe höher ihre Gasthausstufe, desto höher der Schaden!	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	OK!	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Kampf	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Kampf	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Kampfschaden	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	OK!	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Zieht Diener zu Eurem\nHelden, um sie für\n<b>3 Gold</b> zu kaufen.\n\nStellt eine Armee auf, um Eure Gegner zu vernichten!	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Kaufen	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	Diener kaufen	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	Wenn Ihr diesen Diener kauft, erhaltet Ihr einen Drilling!	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Zieht den Diener zu Eurem Helden.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Zieht Diener zu Eurem Barkeeper, um sie zu verkaufen.\n\nDas schafft Platz und Ihr erhaltet zum Ausgleich 1 Gold!	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Verkaufen	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	Diener verkaufen	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Zieht einen Diener hierher, um ihn zu verkaufen.	
GAMEPLAY_BACON_DUO_BONUS_DAMAGE_TUTORIAL	Falls ein Spieler beide Truppen besiegt, fügt auch sein Teamkollege Schaden zu!	
GAMEPLAY_BACON_DUO_COMBAT_ORDER_TUTORIAL	Der Held oben kämpft als erster.	
GAMEPLAY_BACON_DUO_COMBAT_TUTORIAL	Sowohl Euer Trupp als auch der Eures Teamkollegen nehmen an jedem Kampf teil.	
GAMEPLAY_BACON_DUO_HEALTH_TUTORIAL	Teams teilen sich Leben und Rüstung.	
GAMEPLAY_BACON_DUO_HERO_SWAP_TUTORIAL	Sobald der erste Spieler besiegt ist, steigt sein Teamkollege ein!	
GAMEPLAY_BACON_DUO_NO_GOLD_FOR_PASS	Weitergeben kostet (1) Gold.	
GAMEPLAY_BACON_DUO_NO_PASS_FROM_BOARD	Nur Karten auf der Hand können auf die übliche Weise weitergegeben werden.	
GAMEPLAY_BACON_DUO_PASS_TUTORIAL	Zieht eine Karte hierher, um sie <b>weiterzugeben</b>. Das kostet 1 Gold.	
GAMEPLAY_BACON_DUO_PING_TUTORIAL	Mit einem Rechtsklick auf ein Objekt könnt Ihr euren Teamkollegen pingen.	
GAMEPLAY_BACON_DUO_PING_TUTORIAL_PHONE	Tippt mit zwei Fingern auf ein Objekt, um euren Teamkollegen zu pingen.	
GAMEPLAY_BACON_DUO_PING_WHEEL_TUTORIAL	Klickt zum Auswählen oder klickt daneben, damit es verschwindet.	
GAMEPLAY_BACON_DUO_PING_WHEEL_TUTORIAL_PHONE	Tippt zum Auswählen oder tippt daneben, damit es verschwindet.	
GAMEPLAY_BACON_DUO_RECEIVE_TUTORIAL	Euer Teamkollege hat das hier an Euch <b>weitergegeben</b>!	
GAMEPLAY_BACON_DUO_TEAMMATE_PINGED_TUTORIAL	Euer Teamkollege hat Euch gepingt!	
GAMEPLAY_BACON_DUO_VIEW_SELF_TUTORIAL	Klickt, um zurückzugehen.	
GAMEPLAY_BACON_DUO_VIEW_SELF_TUTORIAL_PHONE	Tippt, um zurückzugehen.	
GAMEPLAY_BACON_DUO_VIEW_TEAMMATE_TUTORIAL	Klickt, um die Ansicht eures Teamkollegen zu sehen.	
GAMEPLAY_BACON_DUO_VIEW_TEAMMATE_TUTORIAL_PHONE	Tippt, um die Ansicht eures Teamkollegen zu sehen.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Wählt einen Diener aus.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Friert Diener ein, damit sie in der nächsten Runde wieder verfügbar sind.	
GAMEPLAY_BACON_MAGIC_ITEM_HEADER	Schmuckstückladen	
GAMEPLAY_BACON_MINION_MOVE_TUTORIAL	Zieht Diener nach rechts, um sie neu anzuordnen.	
GAMEPLAY_BACON_MINION_UPGRADE_TAVERN_TUTORIAL	Wertet das Gasthaus auf!	
GAMEPLAY_BACON_MULLIGAN_AI_TEAMMATE_NAME	KI-Teamkollege	
