TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	Ihr gewinnt ... ABER EURE WELT IST IMMER NOCH DEM UNTERGANG GEWEIHT.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	ZU VIELE DIENER!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	DAS KANN ICH NICHT TUN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	ZU VIELE KARTEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	ICH HABE BEREITS ANGEGRIFFEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	DER DIENER IST DOCH GERADE ERST INS SPIEL GEKOMMEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	DAS DING HAT BEREITS ANGEGRIFFEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	NICHT GENUG MANA!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	WO IST MEINE WAFFE HIN?	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	DAS KANN ICH NICHT SPIELEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	VERSTOHLEN!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	UNGÜLTIG!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	DER VERSPOTTENDE DIENER IST MIR IM WEG!	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	ZÜNDET DIE FEUER AN!	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	GUTES SPIEL!	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	Ihr steht vor JARAXXUS, Eredarlord der BRENNENDEN LEGION!	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	GRAUSAME SCHLOTTERNÄCHTE!	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	Mein Deck hat bald KEINE KARTEN MEHR!	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	Ihr steht vor JARAXXUS, Eredarlord der BRENNENDEN LEGION!	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	NEEIIN! ICH HABE KEINE KARTEN MEHR!	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	FROHES NOBELGARTENFEST!	
GAMEPLAY_EMOTE_EX1_323h_OOPS	FEHLER!	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	ICH BIN JARRRRRRRAXXUS!	
GAMEPLAY_EMOTE_EX1_323h_SORRY	JARAXXUS IST ... zutiefst betrübt.	
GAMEPLAY_EMOTE_EX1_323h_THANKS	DANKE!	
GAMEPLAY_EMOTE_EX1_323h_THINK1	Hmm ...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	Ich frage mich, ob ...	
GAMEPLAY_EMOTE_EX1_323h_THINK3	Wie soll ich Euch vernichten ...	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	AUSLÖSCHUNG!	
GAMEPLAY_EMOTE_EX1_323h_TIMER	DIE ZEIT LÄUFT DAVON.	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	GUT GESPIELT!	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	DIESES WINTERHAUCHFEST WERDE ICH EURE SEELE UNTER DEM BAUM FINDEN!	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	UNGLAUBLICH!	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	Ich wähle den Tod!	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	Ich habe zu viele Diener.	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	Das kann ich nicht tun.	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	Meine Hand ist zu voll.	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	Ich habe bereits angegriffen.	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	Dieser Diener wird in der nächsten Runde bereit sein.	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	Dieser Diener hat bereits angegriffen.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	Ich habe nicht genug Mana.	
