TAG	TEXT	COMMENT
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Diese Person ist bereits Ihr Freund.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	Sie müssen eine E-Mail-Adresse oder ein BattleTag eingeben.	
GLOBAL_ADDFRIEND_HEADER	Freund hinzufügen	
GLOBAL_ADDFRIEND_INSTRUCTION	BattleTag oder E-Mail-Adresse eingeben.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Freundschaftsanfrage gesendet.	
GLOBAL_ATTACK	Angriff	
GLOBAL_BACK	Zurück	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	Dieses Gold stellt eine Gutschrift für getätigte Käufe dar. Vielen Dank!	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	Gutschrift nach Accountzurücksetzung	
GLOBAL_BUTTON_NO	Nein	
GLOBAL_BUTTON_OK	OK	
GLOBAL_BUTTON_YES	Ja	
GLOBAL_CANCEL	Abbrechen	
GLOBAL_CARD_SET_CORE	Basis	
GLOBAL_CARD_SET_EXPERT1	Profi	
GLOBAL_CARD_SET_PROMO	Promo	
GLOBAL_CARD_SET_REWARD	Belohnung	
GLOBAL_CARDTYPE_ENCHANTMENT	Verzauberung	
GLOBAL_CARDTYPE_HERO	Held	
GLOBAL_CARDTYPE_HEROPOWER	Heldenfähigkeit	
GLOBAL_CARDTYPE_ITEM	Gegenstand	
GLOBAL_CARDTYPE_MINION	Diener	
GLOBAL_CARDTYPE_SPELL	Zauber	
GLOBAL_CARDTYPE_TOKEN	Marke	
GLOBAL_CARDTYPE_WEAPON	Waffe	
GLOBAL_CHAT_BUBBLE_RECEIVER_NAME	An: {0}	0=player name
GLOBAL_CHAT_CHALLENGE	Herausfordern	
GLOBAL_CHAT_NO_FRIENDS_ONLINE	Keiner Ihrer Freunde ist derzeit online.	
GLOBAL_CHAT_NO_RECENT_CONVERSATIONS	Verwenden Sie das Freundemenü, um ein Gespräch mit einem Freund zu beginnen.	
GLOBAL_CHAT_RECEIVER_OFFLINE	{0} ist offline.	0=player name
GLOBAL_CHAT_RECEIVER_ONLINE	{0} ist online.	0=player name
GLOBAL_CLASS_DEATHKNIGHT	Todesritter	
GLOBAL_CLASS_DRUID	Druide	
GLOBAL_CLASS_HUNTER	Jäger	
GLOBAL_CLASS_MAGE	Magier	
GLOBAL_CLASS_NEUTRAL	Neutral	
GLOBAL_CLASS_PALADIN	Paladin	
GLOBAL_CLASS_PRIEST	Priester	
GLOBAL_CLASS_ROGUE	Schurke	
GLOBAL_CLASS_SHAMAN	Schamane	
GLOBAL_CLASS_WARLOCK	Hexenmeister	
GLOBAL_CLASS_WARRIOR	Krieger	
GLOBAL_CLICK_TO_CONTINUE	Klicken, um fortzufahren	
GLOBAL_COLLECTION_GOLDEN	Golden	
GLOBAL_CONCEDE	Aufgeben	
GLOBAL_CONFIRM	Bestätigen	
GLOBAL_COST	Kosten	
GLOBAL_CURRENT_TIME	{0:HH.mm "Uhr"} 	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_DATETIME_FRIENDREQUEST_DAY	gestern	
GLOBAL_DATETIME_FRIENDREQUEST_DAYS	vor {0} |4(Tag,Tagen)	
GLOBAL_DATETIME_FRIENDREQUEST_HOURS	vor {0} |4(Stunde,Stunden)	
GLOBAL_DATETIME_FRIENDREQUEST_MINUTES	vor {0} |4(Minute,Minuten)	
GLOBAL_DATETIME_FRIENDREQUEST_MONTH	vor mehr als einem Monat	
GLOBAL_DATETIME_FRIENDREQUEST_SECONDS	vor weniger als einer Minute	
GLOBAL_DATETIME_FRIENDREQUEST_WEEKS	vor {0} |4(Woche,Wochen)	
GLOBAL_DATETIME_LASTONLINE_DAY	gestern zuletzt online	
GLOBAL_DATETIME_LASTONLINE_DAYS	vor {0} |4(Tag,Tagen) zuletzt online	
GLOBAL_DATETIME_LASTONLINE_HOURS	vor {0} |4(Stunde,Stunden) zuletzt online	
GLOBAL_DATETIME_LASTONLINE_MINUTES	vor {0} |4(Minute,Minuten) zuletzt online	
GLOBAL_DATETIME_LASTONLINE_MONTH	vor über einem Monat zuletzt online	
GLOBAL_DATETIME_LASTONLINE_SECONDS	vor weniger als einer Minute zuletzt online	
GLOBAL_DATETIME_LASTONLINE_WEEKS	vor {0} |4(Woche,Wochen) zuletzt online	
GLOBAL_DATETIME_SPLASHSCREEN_DAY	> 1 Tag	
GLOBAL_DATETIME_SPLASHSCREEN_DAYS	{0} |4(Tag,Tage)	
GLOBAL_DATETIME_SPLASHSCREEN_HOURS	{0} |4(Stunde,Stunden)	
GLOBAL_DATETIME_SPLASHSCREEN_MINUTES	{0} |4(Minute,Minuten)	
GLOBAL_DATETIME_SPLASHSCREEN_MONTH	> 1 Monat	
GLOBAL_DATETIME_SPLASHSCREEN_SECONDS	< 1 Min.	
GLOBAL_DATETIME_SPLASHSCREEN_WEEKS	{0} |4(Woche,Wochen)	
GLOBAL_DEFAULT_ALERT_HEADER	Achtung	
GLOBAL_DONE	Fertig	
GLOBAL_ERROR_ASSET_CREATE_PERSISTENT_DATA_PATH	In {0} konnte kein Ordner zum Speichern von Daten erstellt werden.	0=folder path
GLOBAL_ERROR_ASSET_DOWNLOAD_FAILED	Asset {0} konnte nicht heruntergeladen werden.	0=asset name
GLOBAL_ERROR_ASSET_INCORRECT_DATA	Asset {0} beinhaltet fehlerhafte Daten.	0=asset name
GLOBAL_ERROR_ASSET_LOAD_FAILED	Asset {0} konnte nicht geladen werden.	0=asset name
GLOBAL_ERROR_ASSET_NO_FILE_PATH	Dateipfad für Asset {0} konnte nicht gefunden werden.	0=asset name
GLOBAL_ERROR_CURRENCY_INVALID	Der Client hat versucht, eine ungültige Währung für eine Transaktion zu verwenden.	
GLOBAL_ERROR_GAME_DENIED	Beim Starten des Spiels ist ein Fehler aufgetreten. Bitte warten Sie ein paar Minuten und versuchen Sie es dann erneut.	
GLOBAL_ERROR_GAME_OPPONENT_TIMEOUT	Die Partie konnte nicht gestartet werden, da die Verbindung des Gegners unterbrochen wurde. Bitte versuchen Sie es erneut.	
GLOBAL_ERROR_GENERIC_HEADER	Fehler	
GLOBAL_ERROR_INACTIVITY_KICK	Sie waren längere Zeit inaktiv. Ihre Verbindung wurde daher getrennt. Starten Sie das Spiel erneut, wenn Sie wieder spielen möchten.	
GLOBAL_ERROR_NETWORK_ACCOUNT_BANNED	Ihr Account wurde gesperrt.	
GLOBAL_ERROR_NETWORK_ACCOUNT_SUSPENDED	Ihr Account wurde gesperrt.	
GLOBAL_ERROR_NETWORK_PARENTAL_CONTROLS	Access to this account is currently restricted by parental controls.	
GLOBAL_ERROR_NETWORK_DISCONNECT	Die Verbindung zum Battle.net-Dienst wurde unterbrochen. Bitte starten Sie Hearthstone neu, um die Verbindung wiederherzustellen.	
GLOBAL_ERROR_NETWORK_DUPLICATE_LOGIN	Mit diesem Battle.net-Account wurde sich gerade von einem anderen Gerät aus in Hearthstone eingeloggt.\n\nDie Verbindung mit diesem Client wurde unterbrochen, da jeweils nur eine Verbindung unterstützt wird.	
GLOBAL_ERROR_NETWORK_GENERIC	Es ist ein interner Netzwerkfehler aufgetreten.	
GLOBAL_ERROR_NETWORK_INCORRECT_REGION	Ihr Battle.net-Account kann derzeit nicht am Hearthstone-Betatest dieser Region teilnehmen. Versuchen Sie es erneut, sobald der Hearthstone-Betatest in Ihrer Heimatregion verfügbar ist.	
GLOBAL_ERROR_NETWORK_LOGIN_FAILURE	Anmeldung im Battle.net nicht möglich. Bitte warten Sie ein paar Minuten und versuchen Sie es erneut.	
GLOBAL_ERROR_NETWORK_LOST_GAME_CONNECTION	Die Verbindung zum Battle.net-Spieldienst wurde unterbrochen. Sie können versuchen, die Verbindung wiederherzustellen, indem Sie ein weiteres Spiel starten.	
GLOBAL_ERROR_NETWORK_SPAM	Die Verbindung zum Battle.net-Dienst wurde aufgrund zu vieler Anfragen in zu kurzer Zeit unterbrochen. Bitte starten Sie Hearthstone neu, um die Verbindung wiederherzustellen.	
GLOBAL_ERROR_NETWORK_TITLE	NETZWERKFEHLER	
GLOBAL_ERROR_NETWORK_UTIL_TIMEOUT	Ihre Verbindung zum Spiel wurde getrennt, während es versucht hat, Daten vom Hearthstone-Hilfsdienst abzufragen. Bitte starten Sie Hearthstone neu, um die Verbindung wiederherzustellen.	
GLOBAL_ERROR_STREAMING_ASSET_TIMEOUT	Es ist eine Zeitüberschreitung beim Warten auf das Streaming-System aufgetreten (Asset {0}).	0=asset name
GLOBAL_ERROR_UNKNOWN_ERROR	Ups! Neckische Waldgeister haben Hearthstone durcheinandergebracht, während es versucht hat, sich mit dem Battle.net-Dienst zu verbinden. Bitte warten Sie ein paar Minuten und versuchen Sie dann, das Spiel erneut zu starten.	
GLOBAL_EXIT	Verlassen	
GLOBAL_FEATURE_DISABLED_MESSAGE_COLLECTION	Leider ist die Sammlung derzeit nicht verfügbar.	
GLOBAL_FEATURE_DISABLED_MESSAGE_FORGE	Leider ist die Arena derzeit nicht verfügbar.	
GLOBAL_FEATURE_DISABLED_MESSAGE_PLAY	Leider ist der Modus „Spielen“ derzeit nicht verfügbar.	
GLOBAL_FEATURE_DISABLED_MESSAGE_PRACTICE	Leider ist der Modus „Üben“ derzeit nicht verfügbar.	
GLOBAL_FEATURE_DISABLED_TITLE	Nicht verfügbar	
GLOBAL_FORGE_END_DONE	Fertig	
GLOBAL_FORGE_END_JOKE_0	Da war ordentlich Feuer drin!	
GLOBAL_FORGE_END_JOKE_1	Mir fehlen die Worte!	
GLOBAL_FORGE_END_JOKE_2	Ich kann es kaum fassen!	
GLOBAL_FORGE_END_JOKE_3	Ihr habt etwas Besonderes an Euch.	
GLOBAL_FORGE_END_JOKE_4	Ob Ihr das noch toppen könnt?	
GLOBAL_FORGE_END_JOKE_5	Da kommt bei mir der Tanzbär durch!	
GLOBAL_FORGE_END_JOKE_6	Dieser eine Zug war einfach genial!	
GLOBAL_FORGE_END_JOKE_7	SEHT HER!	
GLOBAL_FORGE_END_JOKE_8	Es ist noch nicht vorbei! Oh ... ist es doch.	
GLOBAL_FORGE_END_TITLE	Arena abgeschlossen	
GLOBAL_FRIEND_CHALLENGE_ACCEPT	Ja!	
GLOBAL_FRIEND_CHALLENGE_DECLINE	Nein	
GLOBAL_FRIEND_CHALLENGE_HEADER	Herausforderung	
GLOBAL_FRIEND_CHALLENGE_OPPONENT_CANCELED	{0} hat die Herausforderung abgebrochen.	0=friend name
GLOBAL_FRIEND_CHALLENGE_OPPONENT_DECLINED	{0} hat Eure Herausforderung abgelehnt.	0=friend name
GLOBAL_FRIEND_CHALLENGE_OPPONENT_FRIEND_REMOVED	Die Herausforderung wurde abgebrochen, da {0} nicht mehr Euer Freund ist.	0=friend name
GLOBAL_FRIEND_CHALLENGE_OPPONENT_WAITING_DECK	Es wird darauf gewartet, dass {0} ein Deck auswählt.	0=friend name
GLOBAL_FRIEND_CHALLENGE_OPPONENT_WAITING_RESPONSE	Es wird darauf gewartet, dass {0} die Herausforderung annimmt. 	0=friend name
GLOBAL_FRIEND_CHALLENGE_RECEIVED	Ihr wurdet von {0} herausgefordert.\n\nHerausforderung annehmen?	0=friend name
GLOBAL_FRIEND_CHALLENGE_TITLE	Spiel mit einem Freund	
GLOBAL_FRIENDLIST_ADD_FRIEND_BUTTON	Hinzufügen	
GLOBAL_FRIENDLIST_CURRENT_GAMES_HEADER	AKTUELLE SPIELE – {0}	0=number of friends you have unfinished games with
GLOBAL_FRIENDLIST_FRIENDS_HEADER	FREUNDE – {0}/{1} online	0=number of online friends 1=number of offline friends
GLOBAL_FRIENDLIST_FRIENDS_HEADER_ALL_ONLINE	FREUNDE – {0} online	
GLOBAL_FRIENDLIST_FRIENDS_HEADER_NO_ONLINE	FREUNDE	
GLOBAL_FRIENDLIST_MYSTATUS	ONLINE	
GLOBAL_FRIENDLIST_REMOVE_FRIEND_ALERT_MESSAGE	Seid Ihr Euch sicher, dass Ihr {0} entfernen wollt?	0=friend name
