TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>Passive Heldenfähigkeit</b>\nEuer Held ist <b>immun</b>. Noch drei Züge.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>Passive Heldenfähigkeit</b>\nEuer Held ist <b>immun</b>. Noch zwei Züge.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>Passive Heldenfähigkeit</b>\nEuer Held ist <b>immun</b>. Nur noch ein Zug!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>Passive Heldenfähigkeit</b>\nIhr habt einen Boss beschworen, aber Euer Held ist nicht mehr <b>immun</b>.	
MISSION_DEFAULTCOUNTERNAME	|4(Runde,Runden) bis zum Ausgang	
MISSION_GLOWING_POOL	Ein leuchtender Teich	
MISSION_NEFARIAN_TITLE	Schlächter von dummen, inkompetenten und enttäuschenden Lakaien	
MISSION_PIT_OF_SPIKES	Eine Stachelgrube	
MISSION_PRE_TUTORIAL_WANTED	Gesucht	
MISSION_STATUES_EYE	Das Auge der Statue	
MISSION_TAKE_THE_SHORTCUT	Abkürzung gefällig?	
TB_100TH_BANANA_INFO_OPP	Das Deck Eures Gegners besteht aus zufälligen Karten. Jedes Mal, wenn einer seiner Diener stirbt, erhält er eine Banane.	
TB_100TH_BANANA_INFO_YOU	Euer Deck besteht aus zufälligen Karten. Jedes Mal, wenn einer Eurer Diener stirbt, erhaltet Ihr eine Banane.	
TB_100TH_BANANA_OPP	Euer Gegner spielt das Kartenchaos „Bananenparty!“, das am 24. Juni 2015 als das 2. Kartenchaos zum ersten Mal live ging.	
TB_100TH_BANANA_YOU	Ihr spielt das Kartenchaos „Bananenparty!“, das am 24. Juni 2015 als das 2. Kartenchaos zum ersten Mal live ging.	
TB_100TH_CLONEBALL_INFO_OPP	Das Deck Eures Gegners besteht aus mehreren Kopien von zufälligen legendären Karten.	
TB_100TH_CLONEBALL_INFO_YOU	Euer Deck besteht aus mehreren Kopien von zufälligen legendären Karten.	
TB_100TH_CLONEBALL_OPP	Euer Gegner spielt das Kartenchaos „Klonball!“, das am 8. Juni 2016 als das 52. Kartenchaos zum ersten Mal live ging.	
TB_100TH_CLONEBALL_YOU	Ihr spielt das Kartenchaos „Klonball!“, das am 8. Juni 2016 als das 52. Kartenchaos zum ersten Mal live ging.	
TB_100TH_PARTYPORTAL_INFO_OPP	Das Deck dieses Spielers besteht aus zufälligen Portalkarten.	
TB_100TH_PARTYPORTAL_INFO_YOU	Das Deck dieses Spielers besteht aus zufälligen Portalkarten.	
TB_100TH_PARTYPORTAL_OPP	Euer Gegner spielt das Kartenchaos „Portalparty!“, das am 31. August 2016 als das 64. Kartenchaos zum ersten Mal live ging.	
TB_100TH_PARTYPORTAL_YOU	Ihr spielt das Kartenchaos „Portalparty!“, das am 31. August 2016 als das 64. Kartenchaos zum ersten Mal live ging.	
TB_100TH_PORTALS_INFO_OPP	Das Deck Eures Gegners enthält hauptsächlich Instabile Portale, sowie ein paar Zusatzkarten.	
TB_100TH_PORTALS_INFO_YOU	Euer Deck enthält hauptsächlich Instabile Portale, sowie ein paar Zusatzkarten.	
TB_100TH_PORTALS_OPP	Euer Gegner spielt das Kartenchaos „Zu viele Portale!“, das am 29. Juli 2015 als das 7. Kartenchaos zum ersten Mal live ging.	
TB_100TH_PORTALS_YOU	Ihr spielt das Kartenchaos „Zu viele Portale!“, das am 29. Juli 2015 als das 7. Kartenchaos zum ersten Mal live ging.	
TB_100TH_RANDEMONIUM_INFO_OPP	Das Deck Eures Gegners besteht aus zufälligen Karten, deren Kosten sich in jedem Zug ändern.	
TB_100TH_RANDEMONIUM_INFO_YOU	Euer Deck besteht aus zufälligen Karten, deren Kosten sich in jedem Zug ändern.	
TB_100TH_RANDOMONIUM_OPP	Euer Gegner spielt das Kartenchaos „Zufall total“, das am 14. Oktober 2015 als das 18. Kartenchaos zum ersten Mal live ging.	
TB_100TH_RANDOMONIUM_YOU	Ihr spielt das Kartenchaos „Zufall total“, das am 14. Oktober 2015 als das 18. Kartenchaos zum ersten Mal live ging.	
TB_100TH_RAVENIDOL_INFO_OPP	Das Deck Eures Gegners besteht aus 30 Rabengötzen.	
TB_100TH_RAVENIDOL_INFO_YOU	Euer Deck besteht aus 30 Rabengötzen.	
TB_100TH_RAVENIDOL_OPP	Euer Gegner spielt das Kartenchaos „Nicht viel Federlesens“, das am 20. April 2016 als das 45. Kartenchaos zum ersten Mal live ging.	
TB_100TH_RAVENIDOL_YOU	Ihr spielt das Kartenchaos „Nicht viel Federlesens“, das am 20. April 2016 als das 45. Kartenchaos zum ersten Mal live ging.	
TB_100TH_SHIFTER_INFO_OPP	Das Deck Eures Gegners enthält hauptsächlich Gestaltwandler Zerus, sowie ein paar Zusatzkarten.	
TB_100TH_SHIFTER_INFO_YOU	Euer Deck enthält hauptsächlich Gestaltwandler Zerus, sowie ein paar Zusatzkarten.	
TB_100TH_SHIFTER_OPP	Euer Gegner spielt das Kartenchaos „Doppelgänger-Konferenz“, das am 29. Juni 2016 als das 55. Kartenchaos zum ersten Mal live ging.	
TB_100TH_SHIFTER_YOU	Ihr spielt das Kartenchaos „Doppelgänger-Konferenz“, das am 29. Juni 2016 als das 55. Kartenchaos zum ersten Mal live ging.	
TB_100TH_SPELLBAG_INFO_OPP	Das Deck Eures Gegners besteht aus 30 zufälligen Zaubern, die jeweils einen Diener beschwören, wenn sie gewirkt werden.	
TB_100TH_SPELLBAG_INFO_YOU	Euer Deck besteht aus 30 zufälligen Zaubern, die jeweils einen Diener beschwören, wenn sie gewirkt werden.	
TB_100TH_SPELLBAG_OPP	Euer Gegner spielt das Kartenchaos „Valeeras Zauberklau“, das am 23. November 2016 als das 76. Kartenchaos zum ersten Mal live ging.	
TB_100TH_SPELLBAG_YOU	Ihr spielt das Kartenchaos „Valeeras Zauberklau“, das am 23. November 2016 als das 76. Kartenchaos zum ersten Mal live ging.	
TB_100TH_YOGG_INFO_OPP	Das Deck Eures Gegners besteht aus zufälligen Dienern, die beim Ausspielen jeweils einen zufälligen Zauber wirken.	
TB_100TH_YOGG_INFO_YOU	Euer Deck besteht aus zufälligen Dienern, die beim Ausspielen jeweils einen zufälligen Zauber wirken.	
TB_100TH_YOGG_OPP	Euer Gegner spielt das Kartenchaos „Yogg-Saron sucht den Superdiener!“, das am 13. Juni 2016 als das 57. Kartenchaos zum ersten Mal live ging.	
TB_100TH_YOGG_YOU	Ihr spielt das Kartenchaos „Yogg-Saron sucht den Superdiener!“, das am 13. Juni 2016 als das 57. Kartenchaos zum ersten Mal live ging.	
TB_DECKBUILDING_FIRSTCARDPLAYED	Jedes Mal, wenn Ihr eine Karte ausspielt, mischt Ihr eine Kopie davon in Euer Deck.	
TB_DECKBUILDING_FIRSTENDTURN	Mischt Eure Hand zurück ins Deck und zieht neue Karten.	
TB_DECKBUILDING_FIRSTPICKTHREE	Wählt eine neue Handkarte aus.	
TB_DECKBUILDING_STARTOFGAME	Euer Team wächst mit jedem Zug! Viel Glück!	
TB_DECKBUILDING_STARTOFGAME_START	Los geht's!	
TB_DECKRECIPE_MSG_DRUID	Deckformel: <b>Die Golems des Lotus</b>.	
TB_DECKRECIPE_MSG_HUNTER	Deckformel: <b>Wilde Meute</b>.	
TB_DECKRECIPE_MSG_MAGE	Deckformel: <b>Die Mischung macht's</b>.	
TB_DECKRECIPE_MSG_PALADIN	Deckformel: <b>Auf dem Schwarzmarkt</b>.	
TB_DECKRECIPE_MSG_PRIEST	Deckformel: <b>Feuer und Wasser</b>.	
TB_DECKRECIPE_MSG_ROGUE	Deckformel: <b>Die Docks von Gadgetzan</b>.	
TB_DECKRECIPE_MSG_SHAMAN	Deckformel: <b>Murlocbanden</b>.	
TB_DECKRECIPE_MSG_WARLOCK	Deckformel: <b>Dämonen der Kabale</b>.	
TB_DECKRECIPE_MSG_WARRIOR	Deckformel: <b>Ass im Ärmel</b>.	
TB_DECKRECIPE_OG_DRUID	Verschafft Euch mit Druidenzaubern zusätzliches Mana und ruft die Diener der Alten Götter wesentlich früher als erwartet herbei.	
TB_DECKRECIPE_OG_HUNTER	Fürchtet den Tod nicht, denn Eure Diener sind Euch lebendig ebenso nützlich wie tot. Tauscht sie immer wieder ein – früher oder später werdet Ihr den Gegner zermürben.	
