TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	Klassenherausf. (Schwarzfels)	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	Der Schwarzfels (Heroisch)	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	Der Schwarzfels	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	Klassenherausf. (Naxxramas)	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	Naxxramas (Heroisch)	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	Naxxramas	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_DRUID	Druidenherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_HUNTER	Jägerherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_MAGE	Magierherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PALADIN	Paladinherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PRIEST	Priesterherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_ROGUE	Schurkenherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_SHAMAN	Schamanenherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARLOCK	Hexenmeisterherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARRIOR	Kriegerherausf. (Schwarzfels)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_ATRAMEDES	Atramedes (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_BARON_GEDDON	Baron Geddon (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_CHROMAGGUS	Chromaggus (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DARK_IRON_ARENA	Dunkeleisenarena (Heroisch)	feel free to shorten long translations since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DRAKKISATH	General Drakkisath (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GARR	Garr (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GRIM_GUZZLER	Zum Grimmigen Säufer (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_MAJORDOMO	Ragnaros (Heroisch)	feel free to shorten long translations to 'Heroic Ragnaros' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_MALORIAK	Maloriak (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_NEFARIAN	Lord Victor Nefarius (Heroisch)	feel free to shorten long translations to 'Heroic Nefarius' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_OMNOTRON	Omnotron (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_OMOKK	Hochlord Omokk (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_RAZORGORE	Feuerkralle (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_REND_BLACKHAND	Rend Schwarzfaust (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_THAURISSAN	Imperator Thaurissan (Heroisch)	feel free to shorten long translations to 'Heroic Thaurissan' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_VAELASTRASZ	Vaelastrasz (Heroisch)	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_ZOMBIE_NEF	Nefarian (Heroisch)	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_ATRAMEDES	Kämpft gegen Atramedes	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_BARON_GEDDON	Kämpft gegen Baron Geddon	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_CHROMAGGUS	Kämpft gegen Chromaggus	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_DARK_IRON_ARENA	Kämpft in der Dunkeleisenarena	feel free to shorten long translations since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_DRAKKISATH	Kämpft gegen General Drakkisath	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_GARR	Kämpft gegen Garr	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_GRIM_GUZZLER	Kämpft im Grimmigen Säufer	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_MAJORDOMO	Kämpft gegen Ragnaros	feel free to shorten long translations to 'Battling Ragnaros' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_MALORIAK	Kämpft gegen Maloriak	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_NEFARIAN	Kämpft gegen Nefarius	feel free to shorten long translations to 'Battling Nefarius' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_OMNOTRON	Kämpft gegen Omnotron	
