TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Ihr könnt 10 Karten auf Eurer Hand haben.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Handgröße	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	Ihr habt Illidan besiegt! Erstellt einen kostenlosen Account, um online neue Gegner herauszufordern!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Account erstellen	
TUTORIAL_NO_ENDTURN	Noch nicht! Es gibt weitere Karten, die Ihr ausspielen könnt!	
TUTORIAL_NO_ENDTURN_ATK	Noch nicht! Ihr könnt noch angreifen.	
TUTORIAL_NO_ENDTURN_HP	Noch nicht! Setzt Eure Heldenfähigkeit ein.	
TUTORIAL_PROGRESS_LESSON_TITLE	Die Reise beginnt	
TUTORIAL_PROGRESS_SAVED	Fortschritt gespeichert	
TUTORIAL_PROGRESS_TITLE	Missionsfortschritt	
TUTORIAL_RAID_LEADER_DESCRIPTION	Die Fähigkeit dieses Dieners bleibt aktiv, bis er stirbt.	
TUTORIAL_RAID_LEADER_HEADLINE	Fähigkeiten	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	In jeder Runde zieht Ihr eine zufällige Karte aus Eurem Deck.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Euer Gegner zieht in jeder Runde eine Karte.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Hier werden Spielereignisse aufgezeichnet.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Verlauf	
TUTORIAL01_HELP_01	Falls Euch das Leben ausgeht, verliert Ihr.	
TUTORIAL01_HELP_02	Dieser Diener wurde in der letzten Runde ausgespielt.	
TUTORIAL01_HELP_03	Vernichtet diesen Gnoll!	
TUTORIAL01_HELP_04	Diener müssen eine Runde warten, bis sie angreifen können.	
TUTORIAL01_HELP_05	Greift Hogger an!	
TUTORIAL01_HELP_06	Konzentriert alles, was Ihr habt, auf Hogger!	
TUTORIAL01_HELP_07	Spart Euch das für den Feind auf!	
TUTORIAL01_HELP_08	Ignoriert den kümmerlichen Gnoll und erledigt Hogger.	
TUTORIAL01_HELP_09	Wenn Hogger das Leben ausgeht, gewinnt Ihr!	
TUTORIAL01_HELP_10	Greift mit Eurem Diener an!	
TUTORIAL01_HELP_11	Klicken, um anzugreifen.	
TUTORIAL01_HELP_12	Gibt an, wie viel Schaden verursacht wird.	
TUTORIAL01_HELP_13	Gibt an, wie viel Schaden erlitten werden kann.	
TUTORIAL01_HELP_14	Besiegt Hogger!	
TUTORIAL01_HELP_15	Spielt Diener aus und benutzt sie, um Hogger anzugreifen.\n\nVerursacht genug Schaden und Ihr gewinnt!	
TUTORIAL01_HELP_16	Los geht’s!	
TUTORIAL01_HELP_17	Klickt ihn an!	
TUTORIAL01_HELP_17_TOUCH	Tippt auf ihn!	
TUTORIAL01_HELP_18	Kostenlose Karten!	
TUTORIAL02_HELP_01	Ihr erhaltet in jeder Runde einen Manakristall.	
TUTORIAL02_HELP_02	Das Ausspielen von Karten verbraucht Mana.	
TUTORIAL02_HELP_03	Eure verbrauchten Manakristalle füllen sich in jeder Runde neu auf.	
TUTORIAL02_HELP_04	Ihr habt {0} Mana.	
TUTORIAL02_HELP_06	Raus mit Millhaus!	
TUTORIAL02_HELP_07	Verbraucht Euer Mana in jedem Zug, um diesen nervtötenden Gnom zu vernichten.	
TUTORIAL02_STARTING_HAND	Starthand	
TUTORIAL03_HELP_01	Dieser Gorilla verfügt über Spott.	
TUTORIAL03_HELP_02	Lang lebe der König!	
TUTORIAL03_HELP_03	Ihr versteht eine Karte nicht? Bewegt den Mauszeiger darüber!	
TUTORIAL03_HELP_03_TOUCH	Ihr versteht eine Karte nicht? Legt den Finger darauf!	
TUTORIAL04_HELP_01	Ihr könnt Eure Heldenfähigkeit einmal pro Runde einsetzen.	
TUTORIAL04_HELP_02	Macht ihn zum Schaf!	
TUTORIAL04_HELP_03	Hebt Euch das für den Moorkrabbler auf!	
TUTORIAL04_HELP_14	Dschungelfieber	
TUTORIAL04_HELP_15	Vernichtet seine Diener, bevor sie Euch überwältigen!	
TUTORIAL04_HELP_16	Überwältigt Diener mithilfe Eurer Heldenfähigkeit und Eurer Zauber!	
TUTORIAL05_HELP_01	Waffen verlieren Haltbarkeit, wenn der Held angreift.	
TUTORIAL05_HELP_02	Der Verräter	
TUTORIAL05_HELP_03	Dieser Kampf ist wirklich total unfair. Schiebt die Schuld einfach auf die fürchterlichen Spieldesigner!	
TUTORIAL05_HELP_04	Eure Diener mit Spott können Euch vor Angriffen schützen!	
TUTORIAL05_WEAPON_DESC	Lässt den Helden angreifen, bis die Haltbarkeit auf 0 fällt.	
TUTORIAL05_WEAPON_HEADLINE	Waffe	
TUTORIAL06_HELP_01	Lehrensucher Cho	
TUTORIAL06_HELP_02	Wenn Diener sich bekämpfen, dann erleiden *beide* Schaden.	
TUTORIAL06_HELP_03	Diener mit „Kampfschrei“ haben einen Effekt, wenn sie ausgespielt werden.	
TUTORIAL06_HELP_04	Vernichtet feindliche Diener, bevor sie zu einem Problem werden!	
