TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*Gelächter*	
TUTORIAL01_HOGGER_02	*Prust*	
TUTORIAL01_HOGGER_04	Ha ha ha! Rawrr.	
TUTORIAL01_HOGGER_05	Hehehehahaha!	
TUTORIAL01_HOGGER_06	Hehehehoohoohoo!	
TUTORIAL01_HOGGER_07	Ha haaa!	
TUTORIAL01_HOGGER_08	AAaarooh!!	
TUTORIAL01_JAINA_01	Zeigt, was Ihr draufhabt!	
TUTORIAL01_JAINA_02	Ich brauche Diener, die für mich kämpfen.	
TUTORIAL01_JAINA_03	Ihr seid an der Reihe, Gnoll.	
TUTORIAL01_JAINA_04	Das werdet Ihr bereuen!	
TUTORIAL01_JAINA_05	Exzellent.	
TUTORIAL01_JAINA_06	Ah! Ein weiterer Diener, hervorragend.	
TUTORIAL01_JAINA_07	Ihr seid genau da, wo ich Euch haben will.	
TUTORIAL01_JAINA_09	Haha! Und jetzt der Todesstoß!	
TUTORIAL01_JAINA_10	5 Angriff? Das Ding ist riesig!	
TUTORIAL01_JAINA_13	Zurück ins Verlies mit Euch, Hogger.	
TUTORIAL01_JAINA_15	Ha! Der Schaden reicht nicht aus, um meinen Diener zu töten.	
TUTORIAL01_JAINA_16	Ihr seid mein nächstes Ziel, Hogger!	
TUTORIAL01_JAINA_17	Hmm ... Soll ich einen Gnoll angreifen oder Hogger selbst?	
TUTORIAL01_JAINA_18	Ich kann entweder den Riesengnoll ausschalten oder seinen Meister angreifen.	
TUTORIAL01_JAINA_19	Eine ZAUBERKARTE! Sie kann nur ein Mal verwendet werden, also sollte ich sie überlegt einsetzen ...	
TUTORIAL01_JAINA_20	Nun, zumindest hat er diese Runde keine Karte ausgespielt.	
TUTORIAL01_JAINA_21	Zwei Karten?! Er hat wohl eine aufgespart.	
TUTORIAL02_JAINA_03	*Seufzt* Nein, wie?	
TUTORIAL02_JAINA_04	Ich muss eine Runde warten, bis sich mein Mana regeneriert hat.	
TUTORIAL02_JAINA_05	Ich brauche mehr Mana, bevor ich diese Karte ausspielen kann.	
TUTORIAL02_JAINA_07	Mehr Karten! Exzellent!	
TUTORIAL02_JAINA_08	Ah. Mein Mana ist wiederhergestellt.	
TUTORIAL02_MILLHOUSE_01	Was? Ich wollte anfangen!	
TUTORIAL02_MILLHOUSE_02	Jaina ... Macht Euch bereit für einen Kampf mit dem mächtigen Millhaus Manasturm!	
TUTORIAL02_MILLHOUSE_03	Was für ein Diener ist das denn? Ein Murloc? Bahahahaha.	
TUTORIAL02_MILLHOUSE_04	Oh! Oh! Diese Karte ist der Wahnsinn!	
TUTORIAL02_MILLHOUSE_05	Wartet nur, bis ich ein wenig mehr Mana habe!	
TUTORIAL02_MILLHOUSE_06	Jaina, auf Euch wartet nur das VER-DER-BEN!	
TUTORIAL02_MILLHOUSE_07	Noch ein Mana! Aufgepasst!	
TUTORIAL02_MILLHOUSE_08	Wisst Ihr, wie sich das anfühlt?	
TUTORIAL02_MILLHOUSE_09	WIE EIN SIEG! Ha!	
TUTORIAL02_MILLHOUSE_10	Hey! Passt auf den Schnurrbart auf!	
TUTORIAL02_MILLHOUSE_11	Ahahaha! Das wird Euch gefallen!	
TUTORIAL02_MILLHOUSE_13	Wartet nur, bis ich 10 Mana habe!	
TUTORIAL02_MILLHOUSE_15	Schnell! Ich will unbedingt diese Karte ausspielen!	
TUTORIAL02_MILLHOUSE_16	Komm schon, komm schon, komm schon.	
TUTORIAL02_MILLHOUSE_17	Hört auf, mich anzugreifen! Ich will dieses Spiel gewinnen!	
TUTORIAL02_MILLHOUSE_19	Pah! Ihr werdet von meinen Anwälten hören!	
TUTORIAL03_JAINA_01	Es ist König Mukla! Erledigt ihn, solange er allein ist!	
TUTORIAL03_JAINA_05	Mehr habt Ihr nicht drauf, Mukla? Nur Fässer?	
TUTORIAL03_JAINA_07	Tötet diesen Affen, sodass ich Mukla erledigen kann!	
TUTORIAL03_JAINA_12	Habt Ihr das gehört?	
TUTORIAL03_JAINA_13	Was zum ...?	
TUTORIAL03_JAINA_14	Warum bewerfen mich diese Affen mit Bananen?	
TUTORIAL03_JAINA_15	Ihr verrückten Affen!	
TUTORIAL03_JAINA_16	Er ist zu stark! Konzentriert Euch auf Mukla!	
TUTORIAL03_JAINA_17	Ich brauche einen Diener, um diesen Riesengorilla zu verspotten.	
TUTORIAL03_JAINA_18	Ich bin schutzlos!	
TUTORIAL03_JAINA_19	Das Ding ist riesig ... aber wenigstens kann es nicht verspotten.	
TUTORIAL03_MUKLA_01	rrrRRRAAAARRGH!	
TUTORIAL03_MUKLA_03	Heh heh heh ...	
