TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Flüchtig</b>, <b>Giftig</b>, <b>Gottesschild</b>, <b>Spott</b>, <b>Lebensentzug</b>, <b>Eifer</b>.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Flüchtig</b>,_<b>Giftig</b>.\nEure anderen Diener\n haben +1 Angriff.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	<b>Flüchtig</b>,_<b>Giftig</b>.\nFügt Eurem Helden am Ende Eures_Zuges_3_Schaden_zu.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	<b>Flüchtig</b>,_<b>Giftig</b>.\nVerdoppelt den Angriff dieses_Dieners zu Beginn Eures_Zuges.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Flüchtig</b>,_<b>Giftig</b>. Kostet\n(1) weniger für jeden befreundeten_Diener.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Flüchtig</b>,_<b>Giftig</b>.\n<b>Kampfschrei:</b>_Ruft eine_Kopie dieses Dieners_herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	<b>Flüchtig</b>,_<b>Giftig</b>.\n<b>Todesröcheln:</b> Mischt diesen Diener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Gottesschild</b>, <b>Spott</b>,\n<b>Lebensentzug</b>, <b>Eifer</b>.\nEure anderen Diener\nhaben +1 Angriff.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	<b>Gottesschild</b>, <b>Spott</b>, \n<b>Lebensentzug</b>, <b>Eifer</b>.\nFügt Eurem Helden am Ende_Eures_Zuges 3_Schaden_zu.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>Gottesschild</b>, <b>Spott</b>,\n<b>Lebensentzug</b>, <b>Eifer</b>.\nVerdoppelt den Angriff dieses_Dieners zu Beginn Eures_Zuges.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Gottesschild</b>, <b>Spott</b>,\n<b>Lebensentzug</b>, <b>Eifer</b>.\nKostet (1) weniger für jeden befreundeten_Diener.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Gottesschild</b>, <b>Spott</b>,\n<b>Lebensentzug</b>, <b>Eifer</b>.\n<b>Kampfschrei: </b>Ruft eine Kopie dieses Dieners herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Gottesschild</b>, <b>Spott</b>,\n<b>Lebensentzug</b>, <b>Eifer</b>.\n<b>Todesröcheln:</b> Mischt diesen\nDiener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	Eure anderen Diener haben +1 Angriff. Fügt Eurem Helden am Ende_Eures_Zuges_3_Schaden_zu.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	Eure anderen Diener haben +1_Angriff. Verdoppelt den Angriff dieses_Dieners zu Beginn Eures_Zuges.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	Eure anderen Diener haben +1_Angriff._Kostet_(1)_weniger_für jeden_befreundeten_Diener.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	Eure anderen Diener\nhaben +1_Angriff.\n<b>Kampfschrei:</b> Ruft eine Kopie dieses Dieners herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]Eure anderen Diener \nhaben +1 Angriff.\n<b>Todesröcheln:</b> Mischt diesen\nDiener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	Fügt Eurem Helden am Ende\nEures Zuges 3 Schaden zu.\nVerdoppelt den Angriff dieses_Dieners zu Beginn Eures_Zuges.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	Fügt Eurem Helden am Ende\nEures Zuges 3_Schaden zu.\nKostet (1)_weniger für jeden\nbefreundeten_Diener.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	Fügt Eurem Helden am Ende\nEures Zuges 3 Schaden zu.\n<b>Kampfschrei:</b> Ruft eine Kopie dieses Dieners herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]Fügt Eurem Helden am Ende\nEures Zuges 3 Schaden zu.\n<b>Todesröcheln:</b> Mischt diesen\nDiener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	Verdoppelt den Angriff dieses\nDieners zu Beginn Eures Zuges.\nKostet (1)_weniger für jeden\nbefreundeten_Diener.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	Verdoppelt den Angriff dieses\nDieners zu Beginn Eures Zuges.\n<b>Kampfschrei:</b> Ruft eine Kopie dieses Dieners herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]Verdoppelt den Angriff dieses\nDieners zu Beginn Eures Zuges.\n<b>Todesröcheln:</b> Mischt diesen\nDiener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Kostet (1) weniger für jeden befreundeten Diener.\n<b>Kampfschrei:</b> Ruft eine Kopie dieses Dieners herbei.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	Kostet (1) weniger für jeden befreundeten Diener.\n<b>Todesröcheln:</b> Mischt diesen Diener in Euer Deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>Kampfschrei:</b> Ruft eine\nKopie dieses Dieners herbei.\n<b>Todesröcheln:</b> Mischt diesen\nDiener in Euer Deck.	
