TAG	TEXT	COMMENT	AUDIOFILE
VO_TUTORIAL_01_ANNOUNCER_01	Ooh! A new challenger! It's Jaina Proudmoore, the mage!		VO_TUTORIAL_01_ANNOUNCER_01.wav
VO_TUTORIAL_01_ANNOUNCER_02	Who will accept this challenge?		VO_TUTORIAL_01_ANNOUNCER_02.wav
VO_TUTORIAL_01_ANNOUNCER_03	Oh! The Scourge of Elwynn... Hogger, the gnoll!		VO_TUTORIAL_01_ANNOUNCER_03.wav
VO_TUTORIAL_01_ANNOUNCER_04	Gather 'round! Gather 'round!		VO_TUTORIAL_01_ANNOUNCER_04.wav
VO_TUTORIAL_01_ANNOUNCER_05	Let the battle begin!		VO_TUTORIAL_01_ANNOUNCER_05.wav
TUTORIAL01_HOGGER_01	*laughter*		VO_TUTORIAL_01_HOGGER_01_01.wav
TUTORIAL01_HOGGER_02	*snort*		VO_TUTORIAL_01_HOGGER_09_09_ALT.wav
TUTORIAL01_HOGGER_04	ha ha ha! Rawrr.		VO_TUTORIAL_01_HOGGER_02_02.wav
TUTORIAL01_HOGGER_05	hehehehahaha!		VO_TUTORIAL_01_HOGGER_03_03.wav
TUTORIAL01_HOGGER_06	hehehehoohoohoo!		VO_TUTORIAL_01_HOGGER_04_04.wav
TUTORIAL01_HOGGER_07	Ha Haaa!		VO_TUTORIAL_01_HOGGER_06_06_ALT.wav
TUTORIAL01_HOGGER_08	AAaarooh!!		VO_TUTORIAL_01_HOGGER_08_08_ALT.wav
TUTORIAL01_JAINA_01	Bring it on!		VO_TUTORIAL_01_JAINA_01_01.wav
TUTORIAL01_JAINA_02	I need some minions to fight for me.		VO_TUTORIAL_01_JAINA_02_02.wav
TUTORIAL01_JAINA_03	Your move, GNOLL.		VO_TUTORIAL_01_JAINA_03_03.wav
TUTORIAL01_JAINA_04	You'll regret that!		VO_TUTORIAL_01_JAINA_04_04.wav
TUTORIAL01_JAINA_05	Excellent.		VO_TUTORIAL_01_JAINA_05_05.wav
TUTORIAL01_JAINA_06	Ha! Another minion, just what I needed.		VO_TUTORIAL_01_JAINA_06_06.wav
TUTORIAL01_JAINA_07	I've got you right where I want you.		VO_TUTORIAL_01_JAINA_07_07.wav
TUTORIAL01_JAINA_09	Ha! Now go for the throat!		VO_TUTORIAL_01_JAINA_09_08.wav
TUTORIAL01_JAINA_10	5 Attack? That thing is huge!		VO_TUTORIAL_01_JAINA_10_09.wav
TUTORIAL01_JAINA_13	Back to the Stockades with you, Hogger.		VO_TUTORIAL_01_JAINA_13_10.wav
TUTORIAL01_JAINA_15	Ha! That's not enough damage to kill my minion.		VO_TUTORIAL_01_JAINA_15_11.wav
TUTORIAL01_JAINA_16	I'm coming for you next, Hogger!		VO_TUTORIAL_01_JAINA_16_12.wav
TUTORIAL01_JAINA_17	Hmm... should I attack a Gnoll, or Hogger himself?		VO_TUTORIAL_01_JAINA_17_13.wav
TUTORIAL01_JAINA_18	I can kill this Massive Gnoll, or go for his master.		VO_TUTORIAL_01_JAINA_18_14.wav
TUTORIAL01_JAINA_19	A SPELL card! It can only be used once, so I better make it count...		VO_TUTORIAL_01_JAINA_19_15.wav
TUTORIAL01_JAINA_20	Well, at least he didn't play a card this turn...		VO_TUTORIAL_01_JAINA_20_16.wav
TUTORIAL01_JAINA_21	Two cards? He must have been saving one.		VO_TUTORIAL_01_JAINA_21_17.wav
TUTORIAL02_JAINA_03	*sigh* What?		VO_TUTORIAL_02_JAINA_03_18.wav
TUTORIAL02_JAINA_04	I need to wait a turn for my mana to recharge.		VO_TUTORIAL_02_JAINA_04_19.wav
TUTORIAL02_JAINA_05	I need more Mana before I can play that.		VO_TUTORIAL_02_JAINA_05_20.wav
TUTORIAL02_JAINA_07	More cards! Excellent!		VO_TUTORIAL_02_JAINA_07_21.wav
TUTORIAL02_JAINA_08	Ah. My mana has been restored.		VO_TUTORIAL_02_JAINA_08_22.wav
TUTORIAL02_MILLHOUSE_01	Bwa? I wanted to go first!		VO_TUTORIAL02_MILLHOUSE_01_04.wav
TUTORIAL02_MILLHOUSE_02	Jaina... prepare to face the mighty Millhouse Manastorm!		VO_TUTORIAL02_MILLHOUSE_02_05.wav
TUTORIAL02_MILLHOUSE_03	What kind of minion is that? A murloc? Bahahahaha!		VO_TUTORIAL02_MILLHOUSE_03_06.wav
TUTORIAL02_MILLHOUSE_04	Oh! Oh! This card is incredible!		VO_TUTORIAL02_MILLHOUSE_04_07.wav
TUTORIAL02_MILLHOUSE_05	Just you wait until I get some more mana!!		VO_TUTORIAL02_MILLHOUSE_05_08.wav
TUTORIAL02_MILLHOUSE_06	Jaina, I hope you like DOOOOOOM!!		VO_TUTORIAL02_MILLHOUSE_06_09.wav
TUTORIAL02_MILLHOUSE_07	Another Mana! Here it comes!		VO_TUTORIAL02_MILLHOUSE_07_10.wav
TUTORIAL02_MILLHOUSE_08	You know what this feels like?		VO_TUTORIAL02_MILLHOUSE_08_11.wav
