TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Elusive</b>, <b>Poisonous</b>, <b>Divine Shield</b>, <b>Taunt</b>, <b>Lifesteal</b>, <b>Rush</b>
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Elusive</b>, <b>Poisonous</b> \nYour other minions\nhave +1 Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Elusive</b>, <b>Poisonous</b>\nAt the end of your turn, deal\n_3 damage to your hero.
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>Elusive</b>, <b>Poisonous</b>\nAt the start of your turn, double\nthis minion's Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Elusive</b>, <b>Poisonous</b>\nCosts (1) less for each friendly minion.
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Elusive</b>, <b>Poisonous</b>\n<b>Battlecry:</b> Summon\na copy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Elusive</b>, <b>Poisonous</b>\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\nYour other minions\nhave +1 Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\nAt the end of your turn, deal\n_3 damage to your hero.
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\nAt the start of your turn, double\nthis minion's Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\nCosts (1) less for each friendly minion.
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\n<b>Battlecry:</b> Summon\na copy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Divine Shield</b>, <b>Taunt</b>,\n<b>Lifesteal</b>, <b>Rush</b>\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]Your other minions\nhave +1 Attack.\nAt the end of your turn, deal\n_3 damage to your hero.
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]Your other minions\nhave +1 Attack.\nAt the start of your turn, double\nthis minion's Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]Your other minions\nhave +1 Attack.\nCosts (1) less for each\n friendly minion.
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	[x]Your other minions\nhave +1 Attack.\n<b>Battlecry:</b> Summon a\ncopy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]Your other minions\nhave +1 Attack.\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]At the end of your turn,\ndeal 3 damage to your hero.\nAt the start of your turn, double\nthis minion's Attack.
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]At the end of your turn,\ndeal 3 damage to your hero.\nCosts (1) less for each\n friendly minion.
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	At the end of your turn,\ndeal 3 damage to your hero.\n<b>Battlecry:</b> Summon a\ncopy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]At the end of your turn,\ndeal 3 damage to your hero.\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]At the start of your turn,\ndouble this minion's Attack.\nCosts (1) less for each\nfriendly minion.
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	At the start of your turn,\ndouble this minion's Attack.\n<b>Battlecry:</b> Summon a\ncopy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]At the start of your turn,\ndouble this minion's Attack.\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Costs (1) less for each friendly minion.\n<b>Battlecry:</b> Summon a\ncopy of this.
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]Costs (1) less for each\nfriendly minion.\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>Battlecry:</b> Summon\na copy of this.\n<b>Deathrattle:</b> Shuffle this\ninto your deck.
