TAG	TEXT	COMMENT
FB_BUILDABRAWL001	¡Elige tu primera pelea de taberna!	
FB_BUILDABRAWL002	¡Elige tu segunda pelea de taberna!	
FB_ELO_GREATERSPIRITS	¡Elige un bonus superior!	
FB_ELO_SPIRITS	¡Elige un bonus!	
GALAKROND_ONCE	<b>Convoca</b> una vez para mejorarlo.	
GALAKROND_TWICE	<b>Convoca</b> dos veces para mejorarlo.	
GAMEPLAY_AI_OPPONENT_NAME	El tabernero	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Recibe daño de tus cartas para mejorarla).</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Recibe daño de tus cartas para mejorarla).</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Recibe daño de tus cartas para mejorarla).</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	Con {0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Arrastra para comprar.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Comprar esbirros <b>siempre</b> cuesta 3 de oro.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	No conservarás el oro que no uses.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Tus esbirros que sobrevivan al combate te ayudarán a infligir más daño.\n\nCuanto mayor sea el nivel de taberna, ¡mayor será el daño!	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	¡Vale!	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Combate	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Combate	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Daño en combate	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	¡Vale!	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Arrastra a los esbirros\nhasta tu héroe para comprarlos\npor <b>3 de oro</b>.\n\n¡Recluta un ejército para derrotar a tus enemigos!	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Comprar	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	¡Compra esbirros!	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	¡Compra esto para obtener un triple!	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Arrástralo hasta tu héroe.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Arrastra esbirros hasta Bob para venderlos.\n\n¡Liberarás espacio y obtendrás 1 de oro!	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Vender	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	¡Vende esbirros!	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Arrastra un esbirro hasta aquí para venderlo.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Elige a un esbirro.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Congela esbirros para volver a verlos el turno siguiente.	
