TAG	TEXT	COMMENT
GLOBAL_ACCOUNT	Cuenta	
GLOBAL_ADDFRIEND_BUTTON	Añadir como amigo	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Ya está en tu lista de amigos.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	Tienes que introducir una dirección de correo electrónico o BattleTag.	
GLOBAL_ADDFRIEND_HEADER	Añadir amigo	
GLOBAL_ADDFRIEND_INSTRUCTION	Introduce una dirección de correo electrónico o BattleTag.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Solicitud de amistad enviada.	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	Elegir	
GLOBAL_ADVENTURE_DESC_HEADER	Aventura	
GLOBAL_ADVENTURE_TRAY_HEADER	Elige una aventura	
GLOBAL_APPROXIMATE_DATETIME	~{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	~{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	Llave de novicio	
GLOBAL_ARENA_MEDAL_1	Llave de aprendiz	
GLOBAL_ARENA_MEDAL_10	Llave Natoescarcha	
GLOBAL_ARENA_MEDAL_11	Llave de arrabio	
GLOBAL_ARENA_MEDAL_12	Llave Forjaluz	
GLOBAL_ARENA_MEDAL_2	Llave de oficial	
GLOBAL_ARENA_MEDAL_3	Llave de cobre	
GLOBAL_ARENA_MEDAL_4	Llave de plata	
GLOBAL_ARENA_MEDAL_5	Llave de oro	
GLOBAL_ARENA_MEDAL_6	Llave de platino	
GLOBAL_ARENA_MEDAL_7	Llave de diamante	
GLOBAL_ARENA_MEDAL_8	Llave de campeón	
GLOBAL_ARENA_MEDAL_9	Llave de rubí	
GLOBAL_ARENA_SEASON_ERROR_NOT_ACTIVE	Lo sentimos. El modo de Arena solicitado ya no está disponible. Espera unos minutos y vuelve a intentarlo.	
GLOBAL_ASSET_DOWNLOAD	Descarga de elementos	
GLOBAL_ASSET_DOWNLOAD_ALERT	Descargas deshabilitadas durante la partida.	
GLOBAL_ASSET_DOWNLOAD_AWAITING_FETCH	Comprobando si hay actualizaciones...	
GLOBAL_ASSET_DOWNLOAD_AWAITING_OTHER_DOWNLOAD	Esperando	
GLOBAL_ASSET_DOWNLOAD_AWAITING_WIFI	Se necesita wifi	
GLOBAL_ASSET_DOWNLOAD_BYTE_SYMBOL	B	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_BODY	La descarga usa tus datos móviles.	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_HEADER	Datos móviles	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_ADDITIONAL_BODY	La wifi no está disponible. ¿Quieres usar tus datos móviles para descargar {0} de datos adicionales restantes?	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_HEADER	Datos móviles	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_INITIAL_BODY	La wifi no está disponible. ¿Quieres usar tus datos móviles para descargar {0} de datos requeridos restantes?	
GLOBAL_ASSET_DOWNLOAD_COMPLETE	Completada	
GLOBAL_ASSET_DOWNLOAD_DETAILS_AUDIO	Audio	
GLOBAL_ASSET_DOWNLOAD_DETAILS_HIGHRES	Texturas de alta resolución	
GLOBAL_ASSET_DOWNLOAD_DISABLED	No	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_BODY	Permite que Hearthstone descargue elementos.	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_HEADER	Habilitar descarga	
GLOBAL_ASSET_DOWNLOAD_ENABLED	Sí	
GLOBAL_ASSET_DOWNLOAD_ERROR_AGENT_IMPEDED	Conexión lenta	
GLOBAL_ASSET_DOWNLOAD_ERROR_CELLULAR_DISABLED	Datos móviles deshabilitados	
GLOBAL_ASSET_DOWNLOAD_ERROR_DOWNLOAD_DISABLED	Descarga deshabilitada	
GLOBAL_ASSET_DOWNLOAD_ERROR_OUT_OF_STORAGE	Sin almacenamiento	
GLOBAL_ASSET_DOWNLOAD_GIGABYTE_SYMBOL	GB	
GLOBAL_ASSET_DOWNLOAD_INTENTION_PAUSED	{0} (en pausa)	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_BODY	Descarga disponible. ¿Quieres descargar {0} de datos restantes?	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_HEADER	Datos adicionales	
GLOBAL_ASSET_DOWNLOAD_KILOBYTE_SYMBOL	KB	
GLOBAL_ASSET_DOWNLOAD_MEGABYTE_SYMBOL	MB	
GLOBAL_ASSET_DOWNLOAD_PAUSED	En pausa	
GLOBAL_ASSET_DOWNLOAD_SETTINGS	Ajustes	
GLOBAL_ASSET_DOWNLOAD_STATUS	Restante: {0} a {1}/s	
GLOBAL_ASSET_DOWNLOAD_STATUS_DECIMAL_FORMAT	{0},{1} {2}	
GLOBAL_ASSET_DOWNLOAD_STATUS_SHORT	{0} a {1}/s	
GLOBAL_ASSET_INTENTION_DONE	Listo	
GLOBAL_ASSET_INTENTION_DOWNLOADING_EXPANSION_MUSIC	Sonidos adicionales (2/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_FONTS	Fuentes	
GLOBAL_ASSET_INTENTION_DOWNLOADING_HERO_MUSIC	Música de los héroes	
GLOBAL_ASSET_INTENTION_DOWNLOADING_HIGH_RES_PORTRAITS	Alta resolución	
GLOBAL_ASSET_INTENTION_DOWNLOADING_LEGEND_STINGERS	Sonidos adicionales (1/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MINION_PLAY_SOUNDS	Sonidos de esbirros	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MISSION_SOUNDS	Sonidos de las aventuras	
GLOBAL_ASSET_INTENTION_DOWNLOADING_OTHER_MINION_SOUNDS	Sonidos adicionales (3/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_PREMIUM_ANIMATIONS	Animaciones doradas	
GLOBAL_ASSET_INTENTION_DOWNLOADING_SPELL_SOUNDS	Sonidos de los hechizos	
GLOBAL_ASSET_INTENTION_UNINITIALIZED	Iniciando	
GLOBAL_ATTACK	Ataque	
GLOBAL_BACK	Atrás	
GLOBAL_BASIC_DECK_NAME	{0}	0=class name
GLOBAL_BATTLEGROUNDS	Campos de batalla	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	Este oro es crédito por tus compras anteriores. ¡Muchas gracias!	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	Crédito por reinicio de cuentas	
GLOBAL_BRAWLISEUM	Anfitaberna	
GLOBAL_BUTTON_AWESOME	¡Genial!	
GLOBAL_BUTTON_BUY	COMPRAR	
GLOBAL_BUTTON_CLOSE	Cerrar	
GLOBAL_BUTTON_CONVERT	Convertir	
GLOBAL_BUTTON_GO	¡Vamos!	
GLOBAL_BUTTON_INFO_LETTER	i	
GLOBAL_BUTTON_NEXT	Siguiente	
GLOBAL_BUTTON_NO	No	
GLOBAL_BUTTON_NOT_NOW	Ahora no	
GLOBAL_BUTTON_OK	Aceptar	
GLOBAL_BUTTON_OR	O	
GLOBAL_BUTTON_OWNED	Adquirido	
GLOBAL_BUTTON_YES	Sí	
GLOBAL_CANCEL	Cancelar	
GLOBAL_CARD_SET_BOOMSDAY	El Proyecto Armagebum	
