TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>Poder de héroe pasivo</b>\nTu héroe es <b>inmune</b>. Quedan tres turnos.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>Poder de héroe pasivo</b>\nTu héroe es <b>inmune</b>. Quedan dos turnos.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>Poder de héroe pasivo</b>\nTu héroe es <b>inmune</b>. ¡Queda un turno!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>Poder de héroe pasivo</b>\nHas invocado a un jefe, pero has perdido tu <b>inmunidad</b>.	
MISSION_DEFAULTCOUNTERNAME	|4(Turno,Turnos) para escapar	
MISSION_GLOWING_POOL	Una poza brillante	
MISSION_NEFARIAN_TITLE	Asesino de esbirros decepcionantes, incompetentes y estúpidos	
MISSION_PIT_OF_SPIKES	Una fosa de pinchos	
MISSION_PRE_TUTORIAL_WANTED	Se busca	
MISSION_STATUES_EYE	El ojo de la estatua	
MISSION_TAKE_THE_SHORTCUT	¿Coges el atajo?	
TB_DECKBUILDING_FIRSTCARDPLAYED	Cuando juegas una carta, mete una copia de esta en tu mazo.	
TB_DECKBUILDING_FIRSTENDTURN	Ahora devuelve tu mano al mazo y vuelve a robar cartas.	
TB_DECKBUILDING_FIRSTPICKTHREE	Elige una nueva carta para tu mano.	
TB_DECKBUILDING_STARTOFGAME	¡Forma tu equipo a medida que juegas! ¡Suerte!	
TB_DECKBUILDING_STARTOFGAME_START	¡Vamos!	
TB_GIFTEXCHANGE_GIFTSPAWNED	Si en tu lado no hay caja, se te entregará una.	
TB_GIFTEXCHANGE_GIFTSTOLEN	¡Tienes un regalo! ¿Qué será?	
TB_GIFTEXCHANGE_START	¡Feliz Festival de Invierno! ¡A por los regalos!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	¡El destino elegido afecta a ambos jugadores!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	Recuerda, este bonus es solo para ti.	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	¡El destino de tu oponente también te afecta a ti!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	Recuerda, este bonus es solo para tu oponente.	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	¡El destino elegido afecta a ambos jugadores!	
TB_PICKYOURFATE_RANDOM_NEWFATE	¡Necesitas otro destino!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	¡Tu oponente necesita otro destino!	
TB_SHADOWTOWERS_ADJACENTMINIONS	Los esbirros junto a una torre están en <b>Sigilo</b> y no pueden atacar.	
TB_SHADOWTOWERS_SHADOWSPAWNED	Si uno de los dos lados no tiene una torre, se invoca una.	
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	Las torres que falten se reemplazarán al principio del turno de su dueño.	
