TAG	TEXT	COMMENT
ALT: ¿Qué? ¿Un chico de la Alianza? ¿Aquí? Espera, me suenas… ¡El hijo de Varian Wrynn!	
Balinda_Mirror_start	¡Proteged el búnker!	
Balinda_Start	El Valle de Alterac pertenece a la Alianza.	
Balinda_Threaten	¡Basura ordinaria!	
Balinda_WELL_PlAYED	¿Vienes a por tu siguiente encargo?	
BTA_BOSS_03h_BossStart_01	<_¡Rugido!_>	
BTA_BOSS_14h2_RustedFelReaver_Taunt	<_Ruidos mecánicos furiosos_>	
BTA_BOSS_21h_Supremus_Death	<_Muerte_>	
BTA_BOSS_21h_Supremus_EmoteResponse	<_Gruñido sísmico_>	
BTA_BOSS_21h_Supremus_Play	<_Rugido amenazante_>	
CarouselGryphon_DALA_Boss_34h_Death	<_Derrumbándose_>	
CarouselGryphon_DALA_Boss_34h_Emote_01	<_Sonido de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Emote_02	<_Sonido de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Emote_03	<_Sonido de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Start	<_Ruido chirriante_>	
CarouselGryphon_DALA_Boss_34h_Taunt	<_Ruido chirriante_>	
ChromaggusBoss_Death_1	¡Roaaaaarr!	
ChromaggusBoss_EmoteResponse_1	*Gruñido*.	
ChromaggusBoss_Start_1	¡Grrr!	
CowKing_TB_SPT_DPromo_Hero2_Death	Muuu…	
CowKing_TB_SPT_DPromo_Hero2_Play	Mú.	
DMF_070_DarkmoonRabbit_Attack	<_Chillido de conejo adorable y furioso_>	
DMF_070_DarkmoonRabbit_Death	<_Muerte_>	
DMF_070_DarkmoonRabbit_Play	<_Ruidos de conejo nervioso_>	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<_Chirrido_>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<_Chirrido_>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	¡Reeeaaaooo!	
GILA_BOSS_65h_Gobbles_EmoteResponse	¡Bahauaoour!	
GILA_BOSS_65h_Gobbles_Intro	¡Uuaauuoooo!	
KAR_114_Male_Human_Attack_01	¡Que siga el espectáculo!	
KAR_114_Male_Human_Death_01	¡Oooorgh!	
KAR_114_Male_Human_Idle_01	¡Hoy tenemos un relato de magia y fantasía!	
KAR_114_Male_Human_Idle_02	Hoy presentamos un relato de mundos perdidos.	
KAR_114_Male_Human_Idle_03	Hoy presentamos una terrible tragedia.	
KAR_114_Male_Human_Idle_04	¡Hoy tenemos un relato de redención memorable!	
LETL_833H_Attack_01	¡Rrrragh!	
LETL_833H_Death_01	¡Uuugh!	
LETL_833H_Intro_01	¡Grrr!	
LOE_07_MINE_CART_EMOTES	CLANK	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<_Rugido_>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<_Ira_>	
