TAG	TEXT	COMMENT
PRESENCE_STATUS_ARENA_FORGE	Forjando un mazo para la Arena	
PRESENCE_STATUS_ARENA_GAME	Luchando en la Arena	
PRESENCE_STATUS_ARENA_IDLE	Pasando el rato en la Arena	
PRESENCE_STATUS_ARENA_PURCHASE	Planteándose entrar en la Arena	
PRESENCE_STATUS_ARENA_QUEUE	Buscando un oponente para la Arena	
PRESENCE_STATUS_ARENA_REWARD	Obteniendo recompensas de la Arena	
PRESENCE_STATUS_COLLECTION	Estudiando la colección	
PRESENCE_STATUS_CRAFTING	Creando cartas	
PRESENCE_STATUS_DECKEDITOR	Creando un mazo	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	A punto de luchar contra un amigo	
PRESENCE_STATUS_FRIENDLY_GAME	Luchando contra un amigo	
PRESENCE_STATUS_HUB	Pasando el rato en el menú principal	
PRESENCE_STATUS_LOGIN	Iniciando el juego	
PRESENCE_STATUS_PACKOPENING	¡Abriendo sobres de cartas!	
PRESENCE_STATUS_PLAY_DECKPICKER	Entrando en el modo Jugar	
PRESENCE_STATUS_PLAY_GAME	¡Luchando en el modo Jugar!	
PRESENCE_STATUS_PLAY_QUEUE	Buscando un oponente	
PRESENCE_STATUS_PRACTICE_DECKPICKER	Entrando en el modo Práctica	
PRESENCE_STATUS_PRACTICE_GAME	Practicando contra el tabernero	
PRESENCE_STATUS_QUESTLOG	Leyendo el registro de misiones	
PRESENCE_STATUS_STORE	Explorando la tienda	
PRESENCE_STATUS_TUTORIAL_GAME	Luchando contra {0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	Empezando el juego por primera vez	
PRESENCE_STATUS_WELCOMEQUESTS	¡Examinando misiones nuevas!	
PRESENCE_TUTORIAL_CHO	Eremita Cho	
PRESENCE_TUTORIAL_HEMET	Hemet Nesingwary	
PRESENCE_TUTORIAL_HOGGER	Hogger	
PRESENCE_TUTORIAL_ILLIDAN	Illidan Tempestira	
PRESENCE_TUTORIAL_MILLHOUSE	Molino Tormenta de Maná	
PRESENCE_TUTORIAL_MUKLA	Rey Mukla	
