TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*risas*	
TUTORIAL01_HOGGER_02	*gruñidos*	
TUTORIAL01_HOGGER_04	¡Ja, ja, ja! Grrr.	
TUTORIAL01_HOGGER_05	¡Jejejejajaja!	
TUTORIAL01_HOGGER_06	¡Jejejejojojo!	
TUTORIAL01_HOGGER_07	¡Ja jaaa!	
TUTORIAL01_HOGGER_08	¡¡Aaúuuu!!	
TUTORIAL01_JAINA_01	¡Vamos allá!	
TUTORIAL01_JAINA_02	Necesito esbirros que luchen en mi nombre.	
TUTORIAL01_JAINA_03	Te toca, GNOLL.	
TUTORIAL01_JAINA_04	¡Te arrepentirás!	
TUTORIAL01_JAINA_05	Excelente.	
TUTORIAL01_JAINA_06	¡Otro esbirro! Justo lo que necesitaba.	
TUTORIAL01_JAINA_07	Te tengo en el punto de mira.	
TUTORIAL01_JAINA_09	¡Ja! Ahora a la yugular.	
TUTORIAL01_JAINA_10	¿5 p. de ataque? ¡Es enorme!	
TUTORIAL01_JAINA_13	Te mandaré de vuelta a las Mazmorras, Hogger.	
TUTORIAL01_JAINA_15	¡Bah! Ese daño no basta para matar a mi esbirro.	
TUTORIAL01_JAINA_16	¡Eres el siguiente, Hogger!	
TUTORIAL01_JAINA_17	Mmm... No sé si atacar a un gnoll o al propio Hogger...	
TUTORIAL01_JAINA_18	Puedo matar al gnoll enorme, o ir a por su jefe.	
TUTORIAL01_JAINA_19	¡Una carta de hechizo! Es de un solo uso, habrá que aprovecharla...	
TUTORIAL01_JAINA_20	Al menos no ha jugado ninguna carta este turno...	
TUTORIAL01_JAINA_21	¿Dos cartas? Ha debido de guardarse una.	
TUTORIAL02_JAINA_03	¿A qué?	
TUTORIAL02_JAINA_04	Tengo que esperar un turno para recargar maná.	
TUTORIAL02_JAINA_05	Necesito más maná para hacer eso.	
TUTORIAL02_JAINA_07	¡Más cartas! ¡Estupendo!	
TUTORIAL02_JAINA_08	¡Ah! Se me ha restaurado el maná.	
TUTORIAL02_MILLHOUSE_01	¿Eh? ¡Yo quería jugar primero!	
TUTORIAL02_MILLHOUSE_02	Jaina... ¡te enfrentas a Molino Tormenta de Maná!	
TUTORIAL02_MILLHOUSE_03	¿Qué clase de esbirro es ese? ¿Un múrloc? ¡Ja, ja, ja!	
TUTORIAL02_MILLHOUSE_04	¡Oh! ¡Oh, esta carta es increíble!	
TUTORIAL02_MILLHOUSE_05	¡Ya verás cuando tenga más maná!	
TUTORIAL02_MILLHOUSE_06	Jaina, espero que te guste la FATALIDAD.	
TUTORIAL02_MILLHOUSE_07	¡Más maná! ¡Allá voy!	
TUTORIAL02_MILLHOUSE_08	¿Sabes a qué huele?	
TUTORIAL02_MILLHOUSE_09	¡A VICTORIA! ¡Je, je!	
TUTORIAL02_MILLHOUSE_10	¡Aaaaah! ¡Ojo con el bigote!	
TUTORIAL02_MILLHOUSE_11	¡Esto te va a encantar!	
TUTORIAL02_MILLHOUSE_13	¡Ya verás cuando tenga 10 de maná!	
TUTORIAL02_MILLHOUSE_15	¡Date prisa! ¡Quiero jugar esta carta!	
TUTORIAL02_MILLHOUSE_16	¡Venga, venga, venga, venga!	
TUTORIAL02_MILLHOUSE_17	¡Deja de atacarme! ¡Quiero ganar la partida!	
TUTORIAL02_MILLHOUSE_19	¡Tendrás noticias de mis abogados!	
TUTORIAL03_JAINA_01	¡Es el rey Mukla! ¡Ataca ahora que está solo!	
TUTORIAL03_JAINA_05	¿Eso es todo, Mukla? ¿Solo tienes barriles?	
TUTORIAL03_JAINA_07	Mata al simio para que pueda atacar a Mukla.	
TUTORIAL03_JAINA_12	¿Has oído algo?	
