TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Esquivo</b>,\n<b>Veneno</b>, <b>Renacer</b>,\n<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Esquivo</b>, <b>Veneno</b>, <b>Renacer</b>\nTus otros esbirros\ntienen_+1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Esquivo</b>, <b>Veneno</b>, <b>Renacer</b>\nAl final de tu turno, inflige\n____3 p. de daño a tu héroe._	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	<b>Esquivo</b>, <b>Veneno</b>, <b>Renacer</b>\nAl comienzo de tu turno, duplica_los p. de ataque de_este_esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Esquivo</b>, <b>Veneno</b>, <b>Renacer</b>\nCuesta (1) cristal menos por_cada_esbirro_amistoso.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Esquivo</b>,\n<b>Veneno</b>, <b>Renacer</b>\n<b>Grito de batalla:</b> Invoca\n__una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Esquivo</b>, <b>Veneno</b>, <b>Renacer</b>\n<b>Último aliento:</b> Mete este\nesbirro en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\nTus otros esbirros\ntienen_+1/+1.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\nAl final de tu turno, inflige\n____3 p. de daño a tu héroe._	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\nAl comienzo de tu turno, duplica_los p. de ataque de_este_esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\nCuesta (1) cristal menos por_cada_esbirro_amistoso.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\n<b>Grito de batalla:</b> Invoca\n__una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Escudo divino</b>, <b>Provocar</b>,\n<b>Robo de vida</b>, <b>Embestir</b>\n<b>Último aliento:</b> Mete este\nesbirro en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	Tus otros esbirros tienen +1/+1. Al final de tu turno, inflige 3 p. de daño a tu héroe.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	Tus otros esbirros tienen +1/+1. Al comienzo de tu turno, duplica los p. de ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]Tus otros esbirros tienen +1/+1.\nCuesta (1) cristal menos\npor cada esbirro amistoso.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	Tus otros esbirros tienen +1/+1.\n<b>Grito de batalla:</b> Invoca una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	Tus otros esbirros tienen +1/+1.\n<b>Último aliento:</b> Mete este esbirro_en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	Al final de tu turno, inflige 3 p. de_daño a tu héroe. Al comienzo de_tu turno, duplica los p. de ataque de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	Al final de tu turno, inflige 3_p._de daño a tu héroe. Cuesta (1) cristal menos por_cada_esbirro_amistoso.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	Al final de tu turno, inflige 3_p._de_daño a tu héroe.\n<b>Grito de batalla:</b> Invoca una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	Al final de tu turno, inflige 3_p._de daño a tu héroe.\n<b>Último_aliento:</b> Mete este esbirro en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	Al comienzo de tu turno,\nduplica los p. de ataque de este_esbirro. Cuesta (1) cristal menos_por_cada_esbirro_amistoso.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	Al comienzo de tu turno, duplica los p. de ataque de este esbirro. <b>Grito de batalla:</b> Invoca una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	Al comienzo de tu turno, duplica los p. de ataque de este esbirro. <b>Último aliento:</b> Mete este esbirro en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Cuesta (1) cristal menos por_cada esbirro amistoso.\n<b>Grito de batalla:</b> Invoca una copia de este esbirro.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	Cuesta (1) cristal menos por_cada esbirro amistoso.\n<b>Último aliento:</b> Mete este esbirro_en tu mazo.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>Grito de batalla:</b> Invoca una copia de este esbirro.\n<b>Último aliento:</b> Mete este esbirro_en tu mazo.	
