TAG	TEXT	COMMENT
FB_BUILDABRAWL001	¡Elige tu primera Gresca de la taberna!	
FB_BUILDABRAWL002	¡Elige tu segunda Gresca de la taberna!	
FB_ELO_GREATERSPIRITS	¡Elige una bonificación mayor!	
FB_ELO_SPIRITS	¡Elige una bonificación!	
GAMEPLAY_AI_OPPONENT_NAME	El Tabernero	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Recibe daño de tus cartas para mejorar esta carta).</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Recibe daño de tus cartas para mejorar esta carta).</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Recibe daño de tus cartas para mejorar esta carta).</i>	
GAMEPLAY_BURNED_CARDS_HISTORY_TEXT	Si intentas robar una carta con la mano llena, esa carta se destruirá.	
GAMEPLAY_BURNED_CARDS_TITLE	Cartas quemadas	
GAMEPLAY_CHOOSE_ONE	Elige una opción	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MINIONS	Elige uno para todos tus esbirros:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MURLOCS	Elige uno para todos tus múrlocs:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_RECRUITS	Elige uno para todos tus reclutas:	
GAMEPLAY_CHOOSE_ONE_HERO_POWER	Elige una opción	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
GAMEPLAY_COIN_TOSS_LOST	Obtienes una carta adicional	
GAMEPLAY_COIN_TOSS_WON	Empiezas tú	
GAMEPLAY_COPY_DEATHRATTLE	Estertor copiado de {0}.	
GAMEPLAY_DIAMOND_SPELLSTONE_1	<i>(Juega 4 hechizos para mejorar esta carta).</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_2	<i>(Juega 3 hechizos más para mejorar esta carta).</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_3	<i>(Juega 2 hechizos más para mejorar esta carta).</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_4	<i>(Juega 1 hechizo más para mejorar esta carta).</i>	
GAMEPLAY_DISCONNECT_BODY	¡Partida terminada y grabada! Reinicia Hearthstone para continuar. 	
GAMEPLAY_DISCONNECT_BODY_RESET	¡Partida terminada y grabada! Te estamos reconectando con los servidores de Hearthstone. 	
GAMEPLAY_DISCONNECT_HEADER	Desconectado 	
GAMEPLAY_DISCOVER_JUGGERNAUT	Elige a tu capitán rival...	
GAMEPLAY_DISCOVER_MYSTERY	¿Qué eligió tu adversario?	
GAMEPLAY_DONE_TURN	LISTO	
GAMEPLAY_EMOTE_LABEL_DISABLED_EMOTES	...	
GAMEPLAY_EMOTE_LABEL_FIREWORKS	Guau	
