TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	Tú ganas... ¡PERO TU MUNDO SIGUE TENIENDO LOS DÍAS CONTADOS!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	HAY DEMASIADOS ESBIRROS.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	ESO NO SE PUEDE HACER.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	¡HAY DEMASIADAS CARTAS!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	YA ATAQUÉ.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	¡ACABA DE ENTRAR!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	ESA COSA YA ATACÓ.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	¡NO HAY SUFICIENTE MANÁ!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	¿PARA DÓNDE SE FUE A PARAR MI ARMA?	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	NO PUEDO HACER ESA JUGADA.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	ESTÁ EN SIGILO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	NO ES VÁLIDO.	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	¡ESE ESBIRRO CON PROVOCACIÓN ESTÁ EN MI CAMINO!	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	¡ENCIENDAN LAS LLAMAS!	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	¡BUENA PARTIDA!	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	¡Te enfrentas a Jaraxxus, señor Eredar de la Legión Ardiente!	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	¡LA MUERTE TE VISITARÁ EN HALLOWEEN!	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	¡Mi mazo! ¡ME ESTOY QUEDANDO SIN CARTAS!	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	¡FELIZ AÑO NUEVO!	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	¡NOOOOO! ¡NO ME QUEDAN CARTAS!	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	¡FELIZ JARDÍN NOBLE!	
GAMEPLAY_EMOTE_EX1_323h_OOPS	¡ERROR!	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	¡SOY JARRRRRRAXXUS!	
GAMEPLAY_EMOTE_EX1_323h_SORRY	JARAXXUS lo... lo siente.	
GAMEPLAY_EMOTE_EX1_323h_THANKS	GRACIAS.	
GAMEPLAY_EMOTE_EX1_323h_THINK1	Mmm...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	Me pregunto...	
GAMEPLAY_EMOTE_EX1_323h_THINK3	Cómo te destruiré...	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	¡OLVIDO!	
GAMEPLAY_EMOTE_EX1_323h_TIMER	¡SE ACABA EL TIEMPO!	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	¡BUENA JUGADA!	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	ESTE FESTIVAL DE INVIERNO, ¡ME DARÉ UN FESTÍN CON TU ALMA!	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	¡ALUCINANTE!	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	¡Elijo la muerte!	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	Tengo demasiados esbirros.	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	No puedo hacer eso.	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	¡Mi mano está llena!	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	Ya ataqué.	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	Ese esbirro necesita un turno de descanso.	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	Ese esbirro ya atacó.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	No tengo suficiente maná.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	Necesito un arma.	
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	No puedo hacer esa jugada.	
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	No puedo hacer objetivo en esbirros en Sigilo.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	Ese objetivo no es válido.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	Hay un esbirro con Provocación en el camino.	
GAMEPLAY_EMOTE_HERO_01_EVENT_FIRE_FESTIVAL	¡Enciendan las piras!	
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	¡Feliz año nuevo!	
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	Buena partida.	
GAMEPLAY_EMOTE_HERO_01_GREETINGS	Heh, encantado.	
GAMEPLAY_EMOTE_HERO_01_GREETINGS_RESPONSE	Ja, ja. Encantado.	
GAMEPLAY_EMOTE_HERO_01_HALLOWS_END	Feliz Halloween.	
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	¡Casi no me quedan cartas!	
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	¡Ja, ja! ¡Veamos qué tienes!	
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	¡No me quedan cartas!	
GAMEPLAY_EMOTE_HERO_01_NOBLEGARDEN	¡Feliz Jardín Noble!	
GAMEPLAY_EMOTE_HERO_01_OOPS	Fue un error.	
GAMEPLAY_EMOTE_HERO_01_PIRATE_DAY	¡YARRRRTY JARRRTY JARRR-TI-JAR!	
GAMEPLAY_EMOTE_HERO_01_SORRY	Lo siento mucho.	
GAMEPLAY_EMOTE_HERO_01_START	¡Victoria o muerte!	
GAMEPLAY_EMOTE_HERO_01_THANKS	Te lo agradezco.	
GAMEPLAY_EMOTE_HERO_01_THINK1	Mmm...	
GAMEPLAY_EMOTE_HERO_01_THINK2	Mmm... me pregunto...	
GAMEPLAY_EMOTE_HERO_01_THINK3	Ahora qué...	
GAMEPLAY_EMOTE_HERO_01_THREATEN	¡Te aplastaré!	
GAMEPLAY_EMOTE_HERO_01_TIMER	¡Debo elegir!	
GAMEPLAY_EMOTE_HERO_01_WELL_PLAYED	Buena jugada.	
GAMEPLAY_EMOTE_HERO_01_WINTERVEIL_GREETINGS	¡Feliz festín del Festival de Invierno!	
GAMEPLAY_EMOTE_HERO_01_WOW	¡Increíble!	
GAMEPLAY_EMOTE_HERO_01A_CELEBRATE	¡Hip, hip, hurra!	
GAMEPLAY_EMOTE_HERO_01A_CONCEDE	Me has vencido.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_FULL_MINIONS	Tengo demasiados esbirros.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_GENERIC	No puedo hacer eso.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_HAND_FULL	¡Mi mano está completa!	
GAMEPLAY_EMOTE_HERO_01A_ERROR_I_ATTACKED	Ya he atacado.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_JUST_PLAYED	Ese esbirro necesita un turno de descanso.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_MINION_ATTACKED	Ese esbirro ya atacó.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_NEED_MANA	No tengo suficiente maná.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_NEED_WEAPON	Necesito un arma.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_PLAY	No puedo hacer esa jugada.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_STEALTH	No puedo hacer objetivo en esbirros en Sigilo.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_TARGET	Ese no es un objetivo válido.	
GAMEPLAY_EMOTE_HERO_01A_ERROR_TAUNT	Debo atacar a ese esbirro con Provocación.	
GAMEPLAY_EMOTE_HERO_01A_EVENT_LUNAR_NEW_YEAR	¡Feliz año nuevo!	
GAMEPLAY_EMOTE_HERO_01A_FIRE_FESTIVAL	¡Feliz Festival de Fuego del Solsticio de Verano!	
GAMEPLAY_EMOTE_HERO_01A_GOOD_GAME	Buena partida.	
GAMEPLAY_EMOTE_HERO_01A_GREETINGS	Saludos.	
GAMEPLAY_EMOTE_HERO_01A_GREETINGS_RESPONSE	Saludos para ti.	
GAMEPLAY_EMOTE_HERO_01A_HALLOWS_END	Que tengas un feliz Halloween.	
GAMEPLAY_EMOTE_HERO_01A_LOW_CARDS	Casi no me quedan cartas.	
GAMEPLAY_EMOTE_HERO_01A_MIRROR_START	¡Sí, Khaz'Modan!	
GAMEPLAY_EMOTE_HERO_01A_NO_CARDS	¡No me quedan cartas!	
GAMEPLAY_EMOTE_HERO_01A_NOBLEGARDEN	¡Feliz Jardín Noble!	
GAMEPLAY_EMOTE_HERO_01A_OOPS	Eso... no salió como esperaba.	
