TAG	TEXT	COMMENT
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Esa persona ya está en tu lista de amigos.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	Debes ingresar una dirección de correo electrónico o una BattleTag.	
GLOBAL_ADDFRIEND_HEADER	Agregar un amigo	
GLOBAL_ADDFRIEND_INSTRUCTION	Ingresa una BattleTag o una dirección de correo electrónico.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Solicitud de amistad enviada.	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	Elegir	
GLOBAL_ADVENTURE_DESC_HEADER	Aventura	
GLOBAL_ADVENTURE_TRAY_HEADER	Elige una Aventura	
GLOBAL_APPROXIMATE_DATETIME	~{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	~{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	Llave de novicio	
GLOBAL_ARENA_MEDAL_1	Llave de aprendiz	
GLOBAL_ARENA_MEDAL_10	Llave Natoescarcha	
GLOBAL_ARENA_MEDAL_11	Llave de magma	
GLOBAL_ARENA_MEDAL_12	Llave Forjaluz	
GLOBAL_ARENA_MEDAL_2	Llave de jornalero	
GLOBAL_ARENA_MEDAL_3	Llave de cobre	
GLOBAL_ARENA_MEDAL_4	Llave de plata	
GLOBAL_ARENA_MEDAL_5	Llave de oro	
GLOBAL_ARENA_MEDAL_6	Llave de platino	
GLOBAL_ARENA_MEDAL_7	Llave de diamante	
GLOBAL_ARENA_MEDAL_8	Llave de campeón	
GLOBAL_ARENA_MEDAL_9	Llave de rubí	
GLOBAL_ATTACK	Ataque	
GLOBAL_BACK	Atrás	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	Este oro es un crédito por tus compras anteriores. ¡Gracias!	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	Crédito por limpieza de cuenta	
GLOBAL_BUTTON_NEXT	Siguiente	
GLOBAL_BUTTON_NO	No	
GLOBAL_BUTTON_OK	Aceptar	
GLOBAL_BUTTON_YES	Sí	
GLOBAL_CANCEL	Cancelar	
GLOBAL_CARD_SET_BRM	Montaña Roca Negra	
GLOBAL_CARD_SET_BRM_SEARCHABLE_SHORTHAND_NAMES	mrn	This is a space-separated list indicating all of the allowable search keywords that can be used in Collection Manager screen's text-search feature to narrow down the cards to this specific Card Set via shorthand names (note: the full name above is also used for this feature). Also note: letter case is ignored.
GLOBAL_CARD_SET_CORE	Básico	
GLOBAL_CARD_SET_EXPERT1	Clásico	
GLOBAL_CARD_SET_GVG	Goblins versus Gnomos	
GLOBAL_CARD_SET_GVG_SEARCHABLE_SHORTHAND_NAMES	gvg	This is a space-separated list indicating all of the allowable search keywords that can be used in Collection Manager screen's text-search feature to narrow down the cards to this specific Card Set via shorthand names (note: the full name above is also used for this feature). Also note: letter case is ignored.
GLOBAL_CARD_SET_NAXX	Naxxramas	
GLOBAL_CARD_SET_NAXX_SEARCHABLE_SHORTHAND_NAMES	Nax Naxx	This is a space-separated list indicating all of the allowable search keywords that can be used in Collection Manager screen's text-search feature to narrow down the cards to this specific Card Set via shorthand names (note: the full name above is also used for this feature). Also note: letter case is ignored.
GLOBAL_CARD_SET_PROMO	Promo	
GLOBAL_CARD_SET_REWARD	Recompensa	
GLOBAL_CARDTYPE_ENCHANTMENT	Encantamiento	
GLOBAL_CARDTYPE_HERO	Héroe	
GLOBAL_CARDTYPE_HEROPOWER	Poder de héroe	
GLOBAL_CARDTYPE_ITEM	Objeto	
GLOBAL_CARDTYPE_MINION	Esbirro	
GLOBAL_CARDTYPE_SPELL	Hechizo	
GLOBAL_CARDTYPE_TOKEN	Ficha	
GLOBAL_CARDTYPE_WEAPON	Arma	
GLOBAL_CHAT_BUBBLE_RECEIVER_NAME	Para: {0}	0=player name
GLOBAL_CHAT_CHALLENGE	Desafío	
GLOBAL_CHAT_NO_FRIENDS_ONLINE	En este momento no tienes ningún amigo en línea.	
GLOBAL_CHAT_NO_RECENT_CONVERSATIONS	Usa el menú de amigos para iniciar una conversación con un amigo.	
GLOBAL_CHAT_RECEIVER_OFFLINE	{0} está desconectado.	0=player name
GLOBAL_CHAT_RECEIVER_ONLINE	{0} está en línea.	0=player name
GLOBAL_CHOOSE_PAYMENT	Elegir pago	
GLOBAL_CLASS_DEATHKNIGHT	Caballero de la Muerte	
GLOBAL_CLASS_DRUID	Druida	
GLOBAL_CLASS_HUNTER	Cazador	
GLOBAL_CLASS_MAGE	Mago	
GLOBAL_CLASS_NEUTRAL	Neutral	
GLOBAL_CLASS_PALADIN	Paladín	
GLOBAL_CLASS_PRIEST	Sacerdote	
GLOBAL_CLASS_ROGUE	Pícaro	
GLOBAL_CLASS_SHAMAN	Chamán	
GLOBAL_CLASS_WARLOCK	Brujo	
GLOBAL_CLASS_WARRIOR	Guerrero	
GLOBAL_CLICK_TO_CONTINUE	Haz clic para continuar	
GLOBAL_CLICK_TO_CONTINUE_TOUCH	Toca para continuar	
GLOBAL_COLLECTION_GOLDEN	Dorada	
GLOBAL_CONCEDE	Rendirse	
GLOBAL_CONFIRM	Confirmar	
GLOBAL_COST	Costo	
GLOBAL_CURRENT_DATE	{0:MM/dd/yy}	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_CURRENT_TIME	{0:h:mm tt}	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_DATETIME_AFK_DAY	Ausente hace más de un día	
GLOBAL_DATETIME_AFK_DAYS	Ausente hace {0} |4(día,días)	
GLOBAL_DATETIME_AFK_HOURS	Ausente hace {0} |4(hora,horas)	
GLOBAL_DATETIME_AFK_MINUTES	Ausente hace {0} |4(minuto,minutos)	
GLOBAL_DATETIME_AFK_MONTH	Ausente hace más de un mes	
GLOBAL_DATETIME_AFK_SECONDS	Ausente hace menos de un minuto	
GLOBAL_DATETIME_AFK_WEEKS	Ausente hace {0} |4(semana,semanas)	
GLOBAL_DATETIME_FRIENDREQUEST_DAY	ayer	
GLOBAL_DATETIME_FRIENDREQUEST_DAYS	hace {0} |4(día,días)	
GLOBAL_DATETIME_FRIENDREQUEST_HOURS	hace {0} |4(hora,horas)	
GLOBAL_DATETIME_FRIENDREQUEST_MINUTES	hace {0} |4(minuto,minutos)	
GLOBAL_DATETIME_FRIENDREQUEST_MONTH	hace más de un mes	
GLOBAL_DATETIME_FRIENDREQUEST_SECONDS	hace menos de un minuto	
GLOBAL_DATETIME_FRIENDREQUEST_WEEKS	hace {0} |4(semana,semanas)	
GLOBAL_DATETIME_LASTONLINE_DAY	Última conexión: ayer	
GLOBAL_DATETIME_LASTONLINE_DAYS	Última conexión: hace {0} |4(día,días)	
GLOBAL_DATETIME_LASTONLINE_HOURS	Última conexión: hace {0} |4(hora,horas)	
GLOBAL_DATETIME_LASTONLINE_MINUTES	Última conexión: hace {0} |4(minuto,minutos)	
GLOBAL_DATETIME_LASTONLINE_MONTH	Última conexión: hace más de un mes	
GLOBAL_DATETIME_LASTONLINE_SECONDS	Última conexión: hace un minuto	
GLOBAL_DATETIME_LASTONLINE_WEEKS	Última conexión: hace {0} |4(semana,semanas)	
GLOBAL_DATETIME_SPINNER_DAY	> 1 día	
GLOBAL_DATETIME_SPINNER_DAYS	{0} |4(día,días)	
GLOBAL_DATETIME_SPINNER_HOURS	{0} |4(hora,horas)	
GLOBAL_DATETIME_SPINNER_MINUTES	{0} |4(minuto,minutos)	
GLOBAL_DATETIME_SPINNER_MONTH	> 1 mes	
GLOBAL_DATETIME_SPINNER_SECONDS	{0} |4(seg,segs)	
GLOBAL_DATETIME_SPINNER_WEEKS	{0} |4(semana,semanas)	
GLOBAL_DATETIME_SPLASHSCREEN_DAY	> 1 día	
GLOBAL_DATETIME_SPLASHSCREEN_DAYS	{0} |4(día,días)	
GLOBAL_DATETIME_SPLASHSCREEN_HOURS	{0} |4(hora,horas)	
GLOBAL_DATETIME_SPLASHSCREEN_MINUTES	{0} |4(minuto,minutos)	
GLOBAL_DATETIME_SPLASHSCREEN_MONTH	Más de 1 mes	
GLOBAL_DATETIME_SPLASHSCREEN_SECONDS	< 1 min.	
GLOBAL_DATETIME_SPLASHSCREEN_WEEKS	{0} |4(semana,semanas)	
GLOBAL_DEFAULT_ALERT_HEADER	Alerta	
GLOBAL_DONE	Listo	
GLOBAL_ERROR_ACCOUNT_LICENSES	Tuvimos un problema al verificar tus pertenencias. Es posible que falten algunas cosas. ¡Lo sentimos! Volveremos a intentarlo la próxima vez que inicies sesión.	
GLOBAL_ERROR_ASSET_CREATE_PERSISTENT_DATA_PATH	No se pudo crear una carpeta para guardar datos en {0}.	0=folder path
GLOBAL_ERROR_ASSET_DOWNLOAD_FAILED	No se pudo descargar el activo {0}.	0=asset name
GLOBAL_ERROR_ASSET_INCORRECT_DATA	El activo {0} contenía datos incorrectos.	0=asset name
GLOBAL_ERROR_ASSET_LOAD_FAILED	No se pudo cargar el activo {0}.	0=asset name
GLOBAL_ERROR_ASSET_NO_FILE_PATH	No se pudo encontrar una ruta de archivo para el activo {0}.	0=asset name
GLOBAL_ERROR_CURRENCY_INVALID	El cliente ha intentado utilizar una moneda no válida para realizar una compra.	
GLOBAL_ERROR_GAME_DENIED	Se produjo un error al iniciar tu partida. Espera unos minutos y vuelve a intentarlo.	
GLOBAL_ERROR_GAME_OPPONENT_TIMEOUT	No se pudo iniciar la partida porque tu adversario no se pudo conectar. Inténtalo otra vez.	
GLOBAL_ERROR_GENERIC_HEADER	Error	
GLOBAL_ERROR_INACTIVITY_KICK	Has estado mucho tiempo inactivo en Hearthstone y se cerró la conexión. Reinicia el juego cuando estés listo.	
GLOBAL_ERROR_NETWORK_ACCOUNT_BANNED	Tu cuenta ha sido clausurada.	
GLOBAL_ERROR_NETWORK_ACCOUNT_SUSPENDED	Tu cuenta ha sido suspendida.	
GLOBAL_ERROR_NETWORK_CONNECTION_TIMEOUT	Tu conexión superó el tiempo de espera. Verifica tu conexión a Internet.	
GLOBAL_ERROR_NETWORK_DISCONNECT	Se ha desconectado tu sesión en el servicio de Battle.net. Reinicia Hearthstone para reconectarte.	
GLOBAL_ERROR_NETWORK_DISCONNECT_GAME_SERVER	Has quedado desconectado del servicio de juego de Hearthstone.	
GLOBAL_ERROR_NETWORK_DISCONNECT_GENERIC	Has quedado desconectado.	
GLOBAL_ERROR_NETWORK_DUPLICATE_LOGIN	Esta cuenta de Battle.net ha iniciado sesión en Hearthstone desde otro dispositivo.\n\nEl cliente se ha desconectado porque solo se permite una conexión por vez.	
GLOBAL_ERROR_NETWORK_GENERIC	Se produjo un error de red interno.	
GLOBAL_ERROR_NETWORK_INCORRECT_REGION	Tu cuenta de Battle.net no puede participar en la prueba beta de Hearthstone de esta región. Inténtalo de nuevo cuando la versión beta de Hearthstone esté disponible en tu región.	
GLOBAL_ERROR_NETWORK_LOGIN_FAILURE	No se ha podido iniciar tu sesión en el juego a través de Battle.net. Espera unos minutos y vuelve a intentarlo.	
GLOBAL_ERROR_NETWORK_LOST_GAME_CONNECTION	Tu partida se ha desconectado del servicio de juego de Battle.net. Para reconectarte, inicia otra partida.	
GLOBAL_ERROR_NETWORK_NO_CONNECTION	No se pudo conectar. Verifica tu conexión a Internet.	
