TAG	TEXT	COMMENT
Balinda_Mirror_start	¡Protejan el búnker!	
Balinda_Start	El Valle de Alterac le pertenece a la Alianza.	
Balinda_Threaten	¡Escoria inmunda!	
Balinda_WELL_PlAYED	¿Listos para su próxima misión?	
BTA_BOSS_03h_BossStart_01	<_¡Rrraaarrr!_>	
BTA_BOSS_14h2_RustedFelReaver_Taunt	<_Ruidos mecánicos de furia_>	
BTA_BOSS_21h_Supremus_Death	<_Muerte_>	
BTA_BOSS_21h_Supremus_EmoteResponse	<_Quejido sísmico_>	
BTA_BOSS_21h_Supremus_Play	<_Rugido amenazante_>	
CarouselGryphon_DALA_Boss_34h_Death	<_Desmoronándose_>	
CarouselGryphon_DALA_Boss_34h_Emote_01	<_Música de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Emote_02	<_Música de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Emote_03	<_Música de carrusel_>	
CarouselGryphon_DALA_Boss_34h_Start	<_Chirridos_>	
CarouselGryphon_DALA_Boss_34h_Taunt	<_Chirridos_>	
ChromaggusBoss_Death_1	¡Rrraaaaaarrr!	
ChromaggusBoss_EmoteResponse_1	*Rugido*	
ChromaggusBoss_Start_1	¡Rrrraaarr!	
CowKing_TB_SPT_DPromo_Hero2_Death	Muuuu…	
CowKing_TB_SPT_DPromo_Hero2_Play	Muu.	
DMF_070_DarkmoonRabbit_Attack	<Chillido adorable de conejo enojado>	
DMF_070_DarkmoonRabbit_Death	<Muerte>	
DMF_070_DarkmoonRabbit_Play	<Ruidos de conejo agitado>	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<_Chillido_>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<_Chillido_>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	¡Reeeaaaooo!	
GILA_BOSS_65h_Gobbles_EmoteResponse	¡Baahaauuaaoowr!	
GILA_BOSS_65h_Gobbles_Intro	¡Uwaauuoooo!	
KAR_114_Male_Human_Attack_01	¡El espectáculo debe continuar!	
KAR_114_Male_Human_Death_01	<Muerte>	
KAR_114_Male_Human_Idle_01	¡Esta noche, un relato de asombro y magia!	
KAR_114_Male_Human_Idle_02	Esta noche, un relato de mundos distantes.	
KAR_114_Male_Human_Idle_03	Esta noche, un relato de horrible tragedia.	
KAR_114_Male_Human_Idle_04	¡Esta noche, un relato sobre una redención gloriosa!	
LETL_833H_Attack_01	<_¡Rugido sobrecogedor!_>	
LETL_833H_Death_01	<_Muerte_>	
LETL_833H_Intro_01	<_¡Rugido furioso!_>	
LOE_07_MINE_CART_EMOTES	Clonk	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<_Rugido_>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<_Furia_>	
LOOTA_BOSS_52h_TreasureVault_Emote	<_Cling_>	
NightbaneBoss_Attack_1	<Rugido agresivo>	
NightbaneBoss_Death_1	<Rugido de dolor>	
NightbaneBoss_Start_1	<Rugido amenazante>	
OnyxiaBoss_Death_1	¡Rrraaaaaarrr!	
OnyxiaBoss_EmoteResponse_1	*Rugido*	
OnyxiaBoss_Start_1	¡Rrrraaarr!	
