TAG	TEXT	COMMENT
PRESENCE_STATUS_ARENA_FORGE	Armando un mazo de Arena	
PRESENCE_STATUS_ARENA_GAME	Luchando en la Arena	
PRESENCE_STATUS_ARENA_IDLE	Pasando el rato en la Arena	
PRESENCE_STATUS_ARENA_PURCHASE	Pensando en entrar en la Arena	
PRESENCE_STATUS_ARENA_QUEUE	Buscando adversario para la Arena	
PRESENCE_STATUS_ARENA_REWARD	Recibiendo recompensas de la Arena	
PRESENCE_STATUS_COLLECTION	Explorando la colección	
PRESENCE_STATUS_CRAFTING	Creando cartas	
PRESENCE_STATUS_DECKEDITOR	Armando un mazo	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	Por luchar contra un amigo	
PRESENCE_STATUS_FRIENDLY_GAME	Luchando contra un amigo	
PRESENCE_STATUS_HUB	Pasando el rato en el menú principal	
PRESENCE_STATUS_LOGIN	Poniendo en marcha el juego	
PRESENCE_STATUS_PACKOPENING	¡Abriendo paquetes!	
PRESENCE_STATUS_PLAY_DECKPICKER	Rumbo al modo Jugar	
PRESENCE_STATUS_PLAY_GAME	¡Luchando en el modo Jugar!	
PRESENCE_STATUS_PLAY_QUEUE	Buscando un adversario	
PRESENCE_STATUS_PRACTICE_DECKPICKER	Rumbo al modo Práctica	
PRESENCE_STATUS_PRACTICE_GAME	Practicando contra el Tabernero	
PRESENCE_STATUS_QUESTLOG	Visitando el diario de misiones	
PRESENCE_STATUS_STORE	Paseando por la Tienda	
PRESENCE_STATUS_TUTORIAL_GAME	Intentando derrotar a {0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	Empezando a jugar por primera vez	
PRESENCE_STATUS_WELCOMEQUESTS	Analizando nuevas misiones	
PRESENCE_TUTORIAL_CHO	Eremita Cho	
PRESENCE_TUTORIAL_HEMET	Hemet Nesingwary	
PRESENCE_TUTORIAL_HOGGER	Hogger	
PRESENCE_TUTORIAL_ILLIDAN	Illidan Tempestira	
PRESENCE_TUTORIAL_MILLHOUSE	Molino Tormenta de Maná	
PRESENCE_TUTORIAL_MUKLA	Rey Mukla	
