TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*risa*	
TUTORIAL01_HOGGER_02	*resoplido*	
TUTORIAL01_HOGGER_04	¡Ja ja ja! Rooorrr.	
TUTORIAL01_HOGGER_05	¡Jejejejajaja!	
TUTORIAL01_HOGGER_06	¡Jejejejoojoojoo!	
TUTORIAL01_HOGGER_07	¡Ja jaaa!	
TUTORIAL01_HOGGER_08	¡Aaarooh!	
TUTORIAL01_JAINA_01	¡Veamos qué tienes!	
TUTORIAL01_JAINA_02	Necesito esbirros que peleen para mí.	
TUTORIAL01_JAINA_03	Tu turno, GNOLL.	
TUTORIAL01_JAINA_04	¡Te arrepentirás por eso!	
TUTORIAL01_JAINA_05	Excelente.	
TUTORIAL01_JAINA_06	Hm. Otro esbirro. Justo lo que necesitaba.	
TUTORIAL01_JAINA_07	Te tengo justo donde te quería.	
TUTORIAL01_JAINA_09	¡Ja! ¡Ahora apunta a la yugular!	
TUTORIAL01_JAINA_10	¿5 de Ataque? ¡Esa cosa es enorme!	
TUTORIAL01_JAINA_13	Regresa a las Mazmorras, Hogger.	
TUTORIAL01_JAINA_15	¡Ja! No es suficiente daño para matar a mi esbirro.	
TUTORIAL01_JAINA_16	Tú eres el próximo, Hogger.	
TUTORIAL01_JAINA_17	Mmm... ¿ataco a un Gnoll o directamente a Hogger?	
TUTORIAL01_JAINA_18	Puedo matar a este Gnoll gigante o atacar a su maestro.	
TUTORIAL01_JAINA_19	¡Una carta de HECHIZO! Solo puede usarse una vez, así que tengo que usarla bien...	
TUTORIAL01_JAINA_20	Bueno, por lo menos no jugó una carta este turno...	
TUTORIAL01_JAINA_21	¿Dos cartas? Seguro tenía una guardada.	
TUTORIAL02_JAINA_03	*suspiro* ¿Dime?	
TUTORIAL02_JAINA_04	Debo esperar un turno para recargar mi maná.	
TUTORIAL02_JAINA_05	Necesito más maná para poder jugar esa carta.	
TUTORIAL02_JAINA_07	¡Más cartas! Excelente.	
TUTORIAL02_JAINA_08	Bien. He recuperado mi maná.	
TUTORIAL02_MILLHOUSE_01	¡¿Qué?! ¡Yo quería empezar!	
TUTORIAL02_MILLHOUSE_02	Jaina... ¡prepárate para enfrentar al poderoso Molino Tormenta de Maná!	
TUTORIAL02_MILLHOUSE_03	¿Qué clase de esbirro es ese? ¿Un múrloc? ¡Jajajaja!	
TUTORIAL02_MILLHOUSE_04	¡Oh! ¡Esta carta es increíble!	
TUTORIAL02_MILLHOUSE_05	¡Espera a que tenga un poco más de maná!	
TUTORIAL02_MILLHOUSE_06	Jaina, ¡espero que te guste la FATALIDAAAAAD!	
TUTORIAL02_MILLHOUSE_07	¡Más maná! ¡Ahí viene!	
TUTORIAL02_MILLHOUSE_08	¿Sabes qué sabor tiene esto?	
TUTORIAL02_MILLHOUSE_09	¡EL DE LA VICTORIA! ¡Obvio!	
TUTORIAL02_MILLHOUSE_10	¡Cuidado con el bigote!	
TUTORIAL02_MILLHOUSE_11	¡Esto te va a encantar!	
TUTORIAL02_MILLHOUSE_13	¡Espera a que tenga 10 de maná!	
TUTORIAL02_MILLHOUSE_15	¡Rápido! ¡Me muero por jugar esta carta!	
TUTORIAL02_MILLHOUSE_16	¡Vamos, vamos, vamos!	
TUTORIAL02_MILLHOUSE_17	¡Deja de atacarme! ¡Estoy intentando ganar esta partida!	
