TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Choisissez votre 1er Bras de fer	
FB_BUILDABRAWL002	Choisissez votre 2e Bras de fer	
FB_ELO_GREATERSPIRITS	Choisissez un bonus supérieur	
FB_ELO_SPIRITS	Choisissez un bonus	
GALAKROND_ONCE	<b>Conjurez</b> une fois pour l’améliorer.	
GALAKROND_TWICE	<b>Conjurez</b> deux fois pour l’améliorer.	
GAMEPLAY_AI_OPPONENT_NAME	Aubergiste	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(S’améliore quand vos cartes vous infligent des dégâts.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(S’améliore quand vos cartes vous infligent des dégâts.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(S’améliore quand vos cartes vous infligent des dégâts.)</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	{0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Faire glisser pour acheter.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Acheter un serviteur coûte <b>TOUJOURS</b> 3 pièces d’or.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	Vous perdrez les pièces d’or non utilisées.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Vos serviteurs survivant au combat vous permettent d’infliger des dégâts supplémentaires.\n\nPlus le niveau de taverne est élevé, plus les dégâts sont importants !	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	OK !	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Combat	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Combat	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Dégâts de combat	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	OK !	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Faites glisser un serviteur vers votre héros pour le recruter en échange de <b>3 pièces d’or</b>.\n\nCréez une armée pouvant vaincre tous vos adversaires !	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Acheter	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	Acheter des serviteurs	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	Achetez ce serviteur pour en faire un triple !	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Faites-le glisser jusqu’à votre héros.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Faites glisser des serviteurs vers Bob pour les vendre.\n\nÇa libère de la place et vous gagnez 1 pièce d’or en échange !	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Vendre	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	Vendre des serviteurs	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Faites glisser un serviteur ici pour le vendre.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Choisissez un serviteur.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Gelez des serviteurs pour les retrouver au tour suivant.	
GAMEPLAY_BACON_MINION_MOVE_TUTORIAL	Faites-les glisser vers la droite pour les réorganiser.	
GAMEPLAY_BACON_MINION_UPGRADE_TAVERN_TUTORIAL	Améliorer la taverne	
GAMEPLAY_BACON_MULLIGAN_AVAILABLE_RACES	Types de serviteurs dans cette partie : {0}, {1}, {2}, {3}, {4}	0=first race, 1=second race, 2=third race, 3=fourth race, 4=fifth race
GAMEPLAY_BACON_MULLIGAN_CHOOSE_HERO_BANNER	Choisissez un héros	
GAMEPLAY_BACON_MULLIGAN_WAITING_BANNER	{0}/{1} joueurs prêts	0=number of players ready, 1=number of players in game
GAMEPLAY_BACON_MULLIGAN_WAITING_BANNER_SUBTITLE	Temps restant	
GAMEPLAY_BACON_PLAY_MINION_TUTORIAL	Jouez-le !	
GAMEPLAY_BACON_RECENT_COMBATS	Combats récents	
GAMEPLAY_BACON_RECENT_UPGRADE	Amélioration la plus récente	
GAMEPLAY_BACON_RECRUIT_REMINDER_TUTORIAL	Choisissez un serviteur.	
GAMEPLAY_BACON_RECRUIT_REMINDER_TUTORIAL_2	Achetez un serviteur.	
GAMEPLAY_BACON_REFRESH_TUTORIAL	Découvrez de nouvelles recrues.	
GAMEPLAY_BACON_REFRESH_UPGRADE_TUTORIAL	Trouvez de meilleures recrues !	
GAMEPLAY_BACON_SHOP_END_TURN_BUTTON_TEXT	Recruter	
GAMEPLAY_BACON_SHOP_PHASE_NAME	Recruter	
GAMEPLAY_BACON_TAVERN_PASS_IN_GAME_HELP	Débloquez les avantages de champs de bataille pour choisir ce héros	
GAMEPLAY_BACON_TAVERN_TIER	Niveau de taverne	
GAMEPLAY_BACON_TEXT_EMOTE_GREETINGS	Bonjour	
GAMEPLAY_BACON_TEXT_EMOTE_INVALID	…	
GAMEPLAY_BACON_TEXT_EMOTE_OOPS	Oups	
GAMEPLAY_BACON_TEXT_EMOTE_SORRY	Désolé	
GAMEPLAY_BACON_TEXT_EMOTE_THANKS	Merci	
GAMEPLAY_BACON_TEXT_EMOTE_THREATEN	!!!	
GAMEPLAY_BACON_TEXT_EMOTE_WELL_PLAYED	Bien joué	
GAMEPLAY_BACON_TEXT_EMOTE_WOW	Admirable	
GAMEPLAY_BACON_TRIPLE_BODY_TUTORIAL	Quand vous avez 3 copies d’un même serviteur, elles se combinent en une copie dorée plus puissante.\n\nJouez-la pour obtenir une récompense !	
GAMEPLAY_BACON_TRIPLE_BUTTON_TUTORIAL	Combiner	
GAMEPLAY_BACON_TRIPLE_TITLE_TUTORIAL	Amélioration en triple	
GAMEPLAY_BACON_TRIPLES_ICON	Triples	
GAMEPLAY_BACON_WIN_STREAK_ICON	Série de victoires	
GAMEPLAY_BURNED_CARDS_HISTORY_TEXT	Piocher quand votre main est pleine détruit la carte.	
GAMEPLAY_BURNED_CARDS_TITLE	Cartes brûlées	
GAMEPLAY_CHOOSE_ONE	Choisir	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MINIONS	Choix pour tous vos serviteurs	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MURLOCS	Choix pour tous vos Murlocs	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_RECRUITS	Choix pour toutes vos recrues	
GAMEPLAY_CHOOSE_ONE_HERO_POWER	Choisir	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
