TAG	TEXT	COMMENT
GLOBAL_BUTTON_YES	Yes	
GLOBAL_BUTTON_NO	No	
GLOBAL_BUTTON_OK	Ok	
GLOBAL_CARD_SET_CORE	Core	
GLOBAL_CARD_SET_EXPERT1	Expert	
GLOBAL_CARDTYPE_ENCHANTMENT	Enchantment	
GLOBAL_CARDTYPE_HERO	Hero	
GLOBAL_CARDTYPE_HEROPOWER	HeroPower	
GLOBAL_CARDTYPE_ITEM	Item	
GLOBAL_CARDTYPE_MINION	Minion	
GLOBAL_CARDTYPE_SPELL	Spell	
GLOBAL_CARDTYPE_TOKEN	Token	
GLOBAL_CARDTYPE_WEAPON	Weapon	
GLOBAL_CLASS_DEATHKNIGHT	Death Knight	
GLOBAL_CLASS_DRUID	Druid	
GLOBAL_CLASS_HUNTER	Hunter	
GLOBAL_CLASS_MAGE	Mage	
GLOBAL_CLASS_NEUTRAL	Neutral	
GLOBAL_CLASS_PALADIN	Paladin	
GLOBAL_CLASS_PRIEST	Priest	
GLOBAL_CLASS_ROGUE	Rogue	
GLOBAL_CLASS_SHAMAN	Shaman	
GLOBAL_CLASS_WARLOCK	Warlock	
GLOBAL_CLASS_WARRIOR	Warrior	
GLOBAL_KEYWORD_BATTLECRY	Battlecry	
GLOBAL_KEYWORD_BATTLECRY_TEXT	Does something when you play it from your hand.	
GLOBAL_KEYWORD_CHARGE	Charge	
GLOBAL_KEYWORD_CHARGE_TEXT	Enters the battlefield ready to attack.	
GLOBAL_KEYWORD_DIVINE_SHIELD	Divine Shield	
GLOBAL_KEYWORD_DIVINE_SHIELD_TEXT	The first time this minion takes damage, ignore it.	
GLOBAL_KEYWORD_DIVINE_SHIELD_REF_TEXT	The first time a Shielded minion takes damage, ignore it.	
GLOBAL_KEYWORD_ENRAGED	Enraged	
GLOBAL_KEYWORD_ENRAGED_TEXT	Gains the specified power while damaged	
GLOBAL_KEYWORD_FREEZE	Freeze	
GLOBAL_KEYWORD_FREEZE_TEXT	Frozen characters lose their next attack.	
GLOBAL_KEYWORD_FROZEN	Frozen	
GLOBAL_KEYWORD_FROZEN_TEXT	Misses its next attack.	
GLOBAL_KEYWORD_IMMUNE	Immune	
GLOBAL_KEYWORD_IMMUNE_TEXT	Cannot be damaged	
GLOBAL_KEYWORD_SECRET	Secret	
GLOBAL_KEYWORD_SECRET_TEXT	Hidden until a specific action occurs.	
GLOBAL_KEYWORD_SPELLPOWER	Spell Power	
GLOBAL_KEYWORD_SPELLPOWER_TEXT	Your spell cards deal {0} extra damage.	0=amount of spell power
GLOBAL_KEYWORD_STEALTH	Stealth	
GLOBAL_KEYWORD_STEALTH_TEXT	Cannot be attacked until it attacks.	
GLOBAL_KEYWORD_STEALTH_REF_TEXT	Can't be attacked or targetted until it attacks.	
GLOBAL_KEYWORD_TAUNT	Taunt	
GLOBAL_KEYWORD_TAUNT_TEXT	Enemies must attack this minion.	
GLOBAL_KEYWORD_TAUNT_REF_TEXT	Enemies must attack minions that have Taunt.	
GLOBAL_KEYWORD_WINDFURY	Windfury	
GLOBAL_KEYWORD_WINDFURY_TEXT	Can attack twice each turn.	
GLOBAL_KEYWORD_DEATHRATTLE	Deathrattle	
GLOBAL_KEYWORD_DEATHRATTLE_TEXT	Does something when it dies.	
GLOBAL_KEYWORD_COMBO	Combo	
GLOBAL_KEYWORD_COMBO_TEXT	A bonus if you already played a card this turn.	
GLOBAL_KEYWORD_RECALL	Recall: X	
GLOBAL_KEYWORD_RECALL_TEXT	You have X less mana next turn.	
GLOBAL_KEYWORD_SILENCE	Silence	
GLOBAL_KEYWORD_SILENCE_TEXT	Removes all card text and enchantments.	
GLOBAL_KEYWORD_COUNTER	Counter	
GLOBAL_KEYWORD_COUNTER_TEXT	A card that is Countered has no effect.	
GLOBAL_ATTACK	Attack	
GLOBAL_COST	Cost	
GLOBAL_HEALTH	Health	
GLOBAL_RACE_BLOODELF	Blood Elf	
GLOBAL_RACE_DEMON	Demon	
GLOBAL_RACE_DRAENEI	Draenei	
GLOBAL_RACE_DRAGON	Dragon	
GLOBAL_RACE_DWARF	Dwarf	
GLOBAL_RACE_ELEMENTAL	Elemental	
GLOBAL_RACE_GNOME	Gnome	
GLOBAL_RACE_GOBLIN	Goblin	
GLOBAL_RACE_HUMAN	Human	
GLOBAL_RACE_MECHANICAL	Mechanical	
GLOBAL_RACE_MURLOC	Murloc	
GLOBAL_RACE_NERUBIAN	Nerubian	
GLOBAL_RACE_NIGHTELF	Night Elf	
GLOBAL_RACE_OGRE	Ogre	
GLOBAL_RACE_ORC	Orc	
GLOBAL_RACE_PET	Beast	
GLOBAL_RACE_PIRATE	Pirate	
GLOBAL_RACE_SCOURGE	Scourge	
GLOBAL_RACE_TAUREN	Tauren	
GLOBAL_RACE_TOTEM	Totem	
GLOBAL_RACE_TROLL	Troll	
GLOBAL_RACE_UNDEAD	Undead	
GLOBAL_RACE_WORGEN	Worgen	
GLOBAL_RARITY_COMMON	Common	
GLOBAL_RARITY_EPIC	Epic	
GLOBAL_RARITY_LEGENDARY	Legendary	
GLOBAL_RARITY_RARE	Rare	
GLOBAL_RARITY_FREE	Free	
GLOBAL_SET_EXPERT1	Expert Set	
GLOBAL_SET_CORE	Basic Set	
GLOBAL_WINS	Wins	
GLOBAL_LOSSES	Losses	
GLOBAL_PLAY	Play	
GLOBAL_BACK	Back	
GLOBAL_DONE	Done	
GLOBAL_CANCEL	Cancel	
GLOBAL_EXIT	Exit	
GLOBAL_CONFIRM	Confirm	
GLOBAL_OKAY	Okay	
GLOBAL_QUIT	Quit	
GLOBAL_CONCEDE	Concede	
GLOBAL_RESUME_GAME	Resume	
GLOBAL_GAME_MENU	Game Menu	
GLOBAL_FRIENDLY	Friendly	
GLOBAL_FRIEND_CHALLENGE_HEADER	A New Challenge!	
GLOBAL_FRIEND_CHALLENGE_BODY_1	You've been challenged by	
GLOBAL_FRIEND_CHALLENGE_BODY_2	.\n\nDo you accept?	
GLOBAL_FRIEND_CHALLENGE_YES	Yes!	
GLOBAL_FRIEND_CHALLENGE_NO	No.	
GLOBAL_FRIEND_DECLINE_HEADER	Challenge	
GLOBAL_FRIEND_DECLINE_BODY1	declined your challenge.	
GLOBAL_FRIEND_DECLINE_BODY2	Error trying to challenge	
GLOBAL_GAME_DENIED_HEADER	Game Failed	
GLOBAL_GAME_DENIED_BODY	Could not start game.	
GLOBAL_ERROR_STREAMING_TITLE	STREAMING ERROR	
GLOBAL_ERROR_STREAMING_ASSET_TIMEOUT	Timed out while waiting for streaming system. Was loading asset {0}.	0=asset name
GLOBAL_ERROR_ASSET_TITLE	ASSET ERROR	
GLOBAL_ERROR_ASSET_NO_WORKING_DIRECTORY	Failed to find a working directory.	
GLOBAL_ERROR_ASSET_NO_FILE_PATH	Failed to find a file path for asset {0}.	0=asset name
GLOBAL_ERROR_ASSET_LOADING_TIMEOUT	Timed out while waiting for asset {0} to load.	0=asset name
GLOBAL_ERROR_ASSET_DOWNLOAD_FAILED	Failed to download asset {0}.	0=asset name
GLOBAL_ERROR_ASSET_INCORRECT_DATA	Asset {0} contained incorrect data.	0=asset name
GLOBAL_ERROR_ACHIEVE_TITLE	ACHIEVEMENTS ERROR	
GLOBAL_ERROR_ACHIEVE_GENERIC	There was an internal achievements error.	
GLOBAL_ERROR_ACHIEVE_GENERIC_TIMEOUT	Achievements timed out while requesting data.	
GLOBAL_ERROR_NETWORK_TITLE	NETWORK ERROR	
GLOBAL_ERROR_NETWORK_GENERIC	There was an internal network error.	
GLOBAL_ERROR_NETWORK_GENERIC_TIMEOUT	Network timed out while requesting data.	
GLOBAL_ERROR_NETWORK_POST_LOGIN_TIMEOUT	Network timed out while requesting post-Login data.	
GLOBAL_ERROR_NETWORK_OPTIONS_TIMEOUT	Network timed out while requesting player options data.	
GLOBAL_MEDAL_REWARD_CONGRATULATIONS	Congratulations!	
GLOBAL_MEDAL_REWARD_DESCRIPTION	Medal earned this week	
GLOBAL_MEDAL_TOOLTIP_HEADER	{0} Medal	0=medal name
GLOBAL_MEDAL_TOOLTIP_BODY	Win tournament games to advance to the next medal!\n\nNext Medal:\n{0}	0=medal name
GLOBAL_DATETIME_ELAPSED_LESS_THAN_MINUTE	Less than a minute ago	
GLOBAL_DATETIME_ELAPSED_MINUTES	{0:n0} minutes ago	
GLOBAL_DATETIME_ELAPSED_HOURS	{0:n0} hours ago	
GLOBAL_DATETIME_ELAPSED_YESTERDAY	Yesterday	
GLOBAL_DATETIME_ELAPSED_DAYS	{0:n0} days ago	
GLOBAL_DATETIME_ELAPSED_WEEKS	{0:n0} weeks ago	
GLOBAL_FRIENDLIST_REQUEST_SENT_TIME	Sent {0}	0=one of the GLOBAL_DATETIME_ELAPSED_ strings
GLOBAL_FRIENDLIST_REQUESTS_HEADER	FRIEND REQUESTS - {0:n0}	0=number of received friend requests
GLOBAL_FRIENDLIST_CURRENT_GAMES_HEADER	CURRENT GAMES - {0:n0}	0=number of friends you have unfinished games with
GLOBAL_FRIENDLIST_FRIENDS_HEADER	FRIENDS - {0:n0}/{1:n0} Online	0=number of online friends 1=number of offline friends
GLOBAL_FRIENDLIST_ADD_FRIEND_BUTTON	+ Add Friend	
GLOBAL_FRIENDLIST_REMOVE_FRIEND_BUTTON	- Remove Friend	
GLOBAL_ADDFRIEND_HEADER	Add a Friend	
