TAG	TEXT	COMMENT
BOH_ANDUIN_06	Ce serviteur fait partie de votre quête ! Battez-le, ainsi que les deux adversaires légendaires suivants.	
BOH_ANDUIN_08	Battez les serviteurs légendaires de Sylvanas pour remporter le combat !	
BOH_FAELIN_06	Attaquez les serviteurs de l’autre côté du plateau pour les empêcher de couler !	
BOH_FAELIN_06a	Terrassez les serviteurs adverses pour que la capitaine Maya puisse aider plus de passagers, de passagères et de membres de l’équipage à s’échapper !	
BOH_FAELIN_06b	Serviteurs restant à secourir	
BOH_FAELIN_MISSION1_LOREBOOK_01	Jour 601 : toujours pas de passagers ou de passagères. J’aurais peut-être dû concevoir un sous-marin moins onéreux. Mais où serait le plaisir ? Le Léviathan vaut bien tout l’or du monde ! Et puis, un jour ou l’autre, QUELQU’UN aura sûrement besoin de visiter les fonds marins. À part moi, bien sûr. Je ne suis quand même pas devenue une bricoleuse hors pair pour traîner dans des endroits quelconques. 	
BOH_FAELIN_MISSION1_LOREBOOK_02	Conçu dans la tradition des vaisseaux submersibles de la Deuxième Guerre, le Léviathan possède des caractéristiques uniques. Son noyau de fusion amélioré s’est avéré remarquablement stable en toutes circonstances, en dehors des incendies, et son interface centrale n’a jamais été piratée, à l’exception de son disjoncteur général.	
BOH_FAELIN_MISSION10a_LOREBOOK_01	Toute personne reconnue coupable d’avoir encouragé les tentatives de rébellion de Jarod Chantelombre, Malfurion Hurlorage, Tyrande Murmevent ou de leurs complices s’exposera à une sanction rapide et brutale, pouvant aller jusqu’à l’emprisonnement ou l’exécution. Publié sur ordre de Sa Majesté la Lumière des Lumières, la reine Azshara.	
BOH_FAELIN_MISSION10a_LOREBOOK_02	La victoire des troupes résistantes face aux démons de la reine Azshara marqua le début de la Fracture. Cette force cataclysmique détruisit le palais de Zin-Azshari, précipitant tout son peuple au fond de la mer. Pourtant, aucune âme ne périt… Toutes se muèrent en Nagas grotesques, ce qui leur permit de survivre sous l’eau.	
BOH_FAELIN_MISSION10a_LOREBOOK_02b	La victoire des troupes résistantes face aux démons de la reine Azshara marqua le début de la Fracture. Cette force cataclysmique détruisit le palais de Zin-Azshari, précipitant tout son peuple au fond de la mer. Pourtant, aucune âme ne périt… Toutes se muèrent en Nagas grotesques, ce qui leur permit de survivre sous l’eau.	
BOH_FAELIN_MISSION10a_LOREBOOK_03	Cher Faelin, je me suis dit qu’une lettre serait la meilleure façon de vous exprimer toute ma gratitude. Je sais que ma petite réunion de famille a été compliquée, mais votre intervention a vraiment fait la différence. J’espère que notre amitié résistera à tous les obstacles qui se dresseront sur notre chemin !	
BOH_FAELIN_MISSION10a_LOREBOOK_04	Grâce, j’espère que vous recevrez bien ce message… même si je l’ai jeté à la mer… Je voulais juste m’excuser de nouveau. J’aimerais pouvoir m’expliquer davantage, mais sachez que vous avez rendu un grand service au royaume de Hurlevent. Si nous nous revoyons un jour, j’espère que nous pourrons discuter de ça en tant qu’amis.	
BOH_FAELIN_MISSION10b_LOREBOOK_01	Bien que nombre de fidèles d’Élune soient de puissantes forces guerrières, leurs capacités n’ont pas encore été éprouvées. La Grande prêtresse m’a autorisé à concevoir une épreuve qui déterminera les limites de leur force spirituelle et de leur résistance physique. Nous pourrions l’établir à Zin-Azshari pour attirer plus de recrues.	
BOH_FAELIN_MISSION10b_LOREBOOK_02	Bien des années se sont écoulées depuis que la reine Azshara ou l’un de ses hérauts ont jugé bon de visiter notre temple à Suramar. Je crois que la Grande prêtresse a des soupçons qu’elle ne peut exprimer. Le dernier cadeau que m’a offert le palais était un grand cristal pour mon épreuve de guerrier.	
BOH_FAELIN_MISSION11_LOREBOOK_01	Il nous a été rapporté que le peuple de Suramar est inquiet et souhaite recevoir davantage de nouvelles du palais. Désignez une personne ambassadrice, quelqu’un de bien placé mais agréable, et envoyez-la-nous immédiatement. Je vous assure qu’une fois apaisé, le peuple sera facile à gérer.	
BOH_FAELIN_MISSION11_LOREBOOK_02	Faelin, je tiens à ce que tu saches que tu me manques déjà. Mais tu dois me croire quand je te dis que Zin-Azshari n’est plus la même. Quelque chose ne tourne pas rond et personne ne le voit. Je m’inquiète pour toi, même si nous devons être séparés pendant un certain temps. En espérant que ce ne soit pas trop long…	
BOH_FAELIN_MISSION12_LOREBOOK_01	Peu importe le nombre de tours que tu me joues ou le nombre de fois où on se dispute…\nOu combien de fois j’oublie ton anniversaire ou ne réponds pas à tes lettres…\nNous serons amis pour toujours. Oui, pour toujours !	
BOH_FAELIN_MISSION12_LOREBOOK_02	La maison Evenlar est une ancienne famille étroitement liée à la reine. On prétend qu’il y a toujours un Evenlar dans la suite royale d’Azshara, ce dont nous sommes particulièrement fiers. De l’autre côté, nous avons également un parent dans le temple d’Élune à Suramar, ce qui fut une surprise pour nous tous.	
BOH_FAELIN_MISSION13_LOREBOOK_01	Les érudits et les officiels vous le diront peut-être, mais je connais la vérité. Il n’y a qu’une seule loi dans tout Zin-Azshari, celle de plaire à la reine. Si vous violez cette loi, vous vous retrouverez… dans cet endroit.	
BOH_FAELIN_MISSION13_LOREBOOK_02	Me libéreront-ils un jour ? La reine connaît mes véritables intentions, j’en suis certain. Ma famille est peut-être encore de mon côté. S’ils intervenaient en ma faveur, ils risqueraient tout… Et même mon ami doit encore m’avoir en estime, puisqu’il ne connaît pas la vérité. En essayant de faire plaisir à tout le monde, je n’ai fait que les trahir.	
BOH_FAELIN_MISSION15_LOREBOOK_01	Ma chère, vous savez que nous vous accordons notre confiance en ce qui concerne la petite affaire des prisonniers de la surface. Je présume qu’ils ont agi seuls, et qu’ils ne sont en aucune sorte liés à un groupe organisé. Exécutez-les à votre guise ou, s’ils s’avèrent pugnaces, faites-les conduire jusqu’à moi, que je puisse me divertir.	
BOH_FAELIN_MISSION15_LOREBOOK_02	Des choses contre nature se tapissent dans les profondeurs de ces lieux. Un ancien pouvoir, qui n’est ni démoniaque ni arcanique, les habite. Nul en surface ne pourrait comprendre les sacrifices auxquels nous avons consenti pour survivre… ou les pouvoirs que la reine maîtrise désormais…	
BOH_FAELIN_MISSION16_LOREBOOK_01	Jamais personne ne saura ce qui m’a été murmuré depuis les ténèbres. Ils ne pourraient imaginer ce que j’ai risqué… et enduré… pour obtenir une telle beauté et susciter un tel effroi. Ces paradoxes ne sauraient trouver d’écho parmi les esprits étriqués, alors je vais leur transmettre la seule chose qu’ils sont à même de comprendre : le pouvoir.	
BOH_FAELIN_MISSION16_LOREBOOK_02	Ma tante était jadis une prêtresse d’Élune. Sous la bénédiction de la déesse de la lune, elle créa des amulettes pour protéger sa famille. Quand Zainra rejoignit la cour, elle refusa la sienne, alors je la pris ainsi que la mienne, en attendant de la confier à la bonne personne.	
BOH_FAELIN_MISSION2_LOREBOOK_01	C’est en l’honneur d’Azshara que la cité de Zin-Azshari fut baptisée ainsi. Par sa sagesse et son pouvoir, notre reine a su mener les Elfes à leur apogée, et notre formidable réussite est devenue l’objet de toutes les convoitises. Notre avenir promet d’être des plus brillants.	
BOH_FAELIN_MISSION2_LOREBOOK_02	Le capitaine semble nerveux depuis quelque temps. Il fait des rêves étranges sans rien vouloir me dire. Lorsque je me suis approché de lui la nuit dernière, il parlait d’armées de serpents et d’une voix de femme qui lui demandait de trouver des reliques. Je songe sérieusement à déserter et à devenir jardinier.	
BOH_FAELIN_MISSION3_LOREBOOK_01	J’allais écumer de nouvelles mers quand j’ai eu vent d’un navire plus intéressant prêt à être réquisitionné. Et le plus beau, c’est que son équipage est une bande d’amateurs ! Hah ! Parfois, je me dis que j’ai vraiment trop de chance !	
BOH_FAELIN_MISSION3_LOREBOOK_02	Depuis que Double-Crochet nous a donné ses premières instructions à Suramar, on file le barlu. Soi-disant qu’il vaut plus que nous tous ! J’avais jamais vu le cap’taine lorgner autant quelque chose depuis ce perroquet qu’elle a barbé au vieux Cliquechipe.	
BOH_FAELIN_MISSION3_LOREBOOK_03	Notre voyage est bien mal embarqué. L’ambassadeur est dans son monde, et l’équipage tente tant bien que mal de rester en vie avec tous les pirates qui nous entourent. Mais c’est peut-être l’occasion rêvée de reprendre ce qui m’appartient… et de régler cette histoire une fois pour toutes.	
BOH_FAELIN_MISSION5A_LOREBOOK_01	Brusquement, la tempête se lève,\nles vagues se brisent puis se soulèvent,\net balaient ceux dont le doux rêve\nne tenait qu’à signer une trêve.	
BOH_FAELIN_MISSION5A_LOREBOOK_02	J’ai travaillé pour l’ambassadeur pendant des années, je sais quand il est anxieux. Il doit regretter que nous ne soyons pas plus proches de notre destination. Je ne sais pas si les autres comprendront ses véritables motivations. Je cherche sans doute moi-même à les saisir.	
BOH_FAELIN_MISSION5A_LOREBOOK_03	Je dois dire que cet ambassadeur est un curieux personnage, mais je l’apprécie de plus en plus. Bien qu’il jure ne vouloir que retourner sur ses terres natales, je me demande s’il n’a pas d’autres idées en tête. J’ai l’impression de déceler comme de la tristesse dans ses yeux… ou alors il n’est simplement pas encore habitué à l’odeur des Murlocs !	
