TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	Graooooor !	
ChromaggusBoss_EmoteResponse_1	*Grognement*	
ChromaggusBoss_Start_1	Graor !	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<Couine.>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<Couine.>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	Reeaaoo !	
GILA_BOSS_65h_Gobbles_EmoteResponse	Bahauaooor !	
GILA_BOSS_65h_Gobbles_Intro	Ouhauoooo !	
LOE_07_MINE_CART_EMOTES	CLANG	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<Rugit.>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<Enrage.>	
LOOTA_BOSS_52h_TreasureVault_Emote	<Jackpot !>	
OnyxiaBoss_Death_1	Graooooor !	
OnyxiaBoss_EmoteResponse_1	*Grognement*	
OnyxiaBoss_Start_1	Graor !	
POPUP_FROST_BRAWL	Fatigue_! Celui qui a le plus de points de vie à la fin du prochain tour gagne la partie.	
POPUP_FROST_BRAWL_ARMOR	Dans ce Bras de fer, impossible de se cacher derrière son armure_!	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<Rote.>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<Grince.>	
VO_Ahune_Male_Elemental_Brawl_01	OUI_! ÉCRASEZ RAGNAROS_!	
VO_Ahune_Male_Elemental_Brawl_02	QUI A LE POUVOIR MAINTENANT, IMBÉCILE DE FEU_?!	
VO_Ahune_Male_Elemental_Brawl_03	VOILÀ MA REVANCHE_!	
VO_Ahune_Male_Elemental_Brawl_04	QUI EST LE PLUS SUSCEPTIBLE D’ÊTRE TUÉ PAR UN AVENTURIER, MAINTENANT_?	
VO_Ahune_Male_Elemental_Brawl_05	C’EST QUI L’INSECTE, MAINTENANT_?!	
VO_Ahune_Male_Elemental_Brawl_07	LA PIERRE DE GLACE A FONDU_!	
VO_Ahune_Male_Elemental_Brawl_08	QUI DÉTRUIRA LE PLUS D’IMBÉCILES_?	
