TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BOH	Lit le Livre des héros	
PRESENCE_ADVENTURE_MODE_BOM	Lit le Livre des mercenaires	
PRESENCE_ADVENTURE_MODE_BOT	Visite le labo du Dr Boum	
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	Défi de classe de Rochenoire	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	Mont Rochenoire (Héroïque)	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	Mont Rochenoire	
PRESENCE_ADVENTURE_MODE_BTA	Participe à L’épreuve du gangrefeu	
PRESENCE_ADVENTURE_MODE_BTA_HEROIC	Participe à un défi de L’épreuve de gangrefeu	
PRESENCE_ADVENTURE_MODE_BTP	Explore le passé d’Illidan !	
PRESENCE_ADVENTURE_MODE_DAL	Prévoit un casse	
PRESENCE_ADVENTURE_MODE_DRG	S'envole dans la Désolation des dragons	
PRESENCE_ADVENTURE_MODE_GIL	S’équipe pour une chasse aux monstres	
PRESENCE_ADVENTURE_MODE_ICC_NORMAL	Dans la Couronne de glace	
PRESENCE_ADVENTURE_MODE_KAR_CLASS_CHALLENGE	Défi de classe de Karazhan	
PRESENCE_ADVENTURE_MODE_KAR_HEROIC	Karazhan (héroïque)	
PRESENCE_ADVENTURE_MODE_KAR_NORMAL	Karazhan	
PRESENCE_ADVENTURE_MODE_LOE_CLASS_CHALLENGE	Défi de classe de la Ligue des explorateurs	
PRESENCE_ADVENTURE_MODE_LOE_HEROIC	Ligue des explorateurs (héroïque)	
PRESENCE_ADVENTURE_MODE_LOE_NORMAL	Ligue des explorateurs	
PRESENCE_ADVENTURE_MODE_LOOT	S’équipe pour une virée en donjon	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	Défi de classe de Naxxramas	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	Naxxramas (héroïque)	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	Naxxramas	
PRESENCE_ADVENTURE_MODE_RETURNING_PLAYER_CHALLENGE	Fait son retour en jeu	
PRESENCE_ADVENTURE_MODE_TRL	Se prépare pour les Jeux trolls…	
PRESENCE_ADVENTURE_MODE_ULD	Organise une expédition	
PRESENCE_SCENARIO_BOH_FIGHT_01	Persuade l’archimage Antonidas	
PRESENCE_SCENARIO_BOH_FIGHT_02	Démasque le prince Kael’thas	
PRESENCE_SCENARIO_BOH_FIGHT_03	Se dispute avec le prince Arthas	
PRESENCE_SCENARIO_BOH_FIGHT_04	Calme Grommash Hurlenfer	
PRESENCE_SCENARIO_BOH_FIGHT_05	Trompe Archimonde	
PRESENCE_SCENARIO_BOH_FIGHT_06	Défend Theramore	
PRESENCE_SCENARIO_BOH_FIGHT_07	Tient Thrall pour responsable	
PRESENCE_SCENARIO_BOH_FIGHT_08	Expulse les Saccage-Soleil	
PRESENCE_SCENARIO_BOH10_FIGHT_01	Rencontre un prince	
PRESENCE_SCENARIO_BOH10_FIGHT_02	Vole Tichondrius	
PRESENCE_SCENARIO_BOH10_FIGHT_03	Pille la tombe de Sargeras	
PRESENCE_SCENARIO_BOH10_FIGHT_04	Se chamaille avec Malfurion	
PRESENCE_SCENARIO_BOH10_FIGHT_05	Sauve l’Outreterre	
PRESENCE_SCENARIO_BOH10_FIGHT_06	Insulte Anub’arak	
PRESENCE_SCENARIO_BOH10_FIGHT_07	Défie Arthas en duel	
PRESENCE_SCENARIO_BOH10_FIGHT_08	Se fait trahir par Akama	
PRESENCE_SCENARIO_BOH2_FIGHT_01	Plaide pour l’action	
PRESENCE_SCENARIO_BOH2_FIGHT_02	Persuade le chef de guerre	
PRESENCE_SCENARIO_BOH2_FIGHT_03	Apprivoise Misha	
PRESENCE_SCENARIO_BOH2_FIGHT_04	Restaure l’honneur de Mogrin	
