TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Vous pouvez avoir 10 cartes dans votre main.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Taille de la main	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	Vous avez vaincu Illidan ! Créez un compte gratuitement pour défier de nouveaux adversaires en ligne !	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Créer un compte	
TUTORIAL_NO_ENDTURN	Pas encore ! Il vous reste des cartes à jouer !	
TUTORIAL_NO_ENDTURN_ATK	Pas encore ! Vous pouvez encore attaquer.	
TUTORIAL_NO_ENDTURN_HP	Pas encore ! Utilisez votre pouvoir héroïque.	
TUTORIAL_PROGRESS_LESSON_TITLE	Le début du voyage	
TUTORIAL_PROGRESS_SAVED	Progression sauvegardée	
TUTORIAL_PROGRESS_TITLE	Progression de la mission	
TUTORIAL_RAID_LEADER_DESCRIPTION	Le pouvoir de ce serviteur dure jusqu’à sa mort.	
TUTORIAL_RAID_LEADER_HEADLINE	Pouvoirs	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	Vous piochez une carte aléatoire dans votre deck à chaque tour.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Votre adversaire pioche une carte à chaque tour.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Journal des évènements de la partie	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Historique	
TUTORIAL_WANTED	Avis de recherche	
TUTORIAL01_HELP_01	Si vos points de vie tombent à zéro, vous perdez.	
TUTORIAL01_HELP_02	Vous avez joué cette carte au tour précédent.	
TUTORIAL01_HELP_03	Écrasez ce gnoll !	
TUTORIAL01_HELP_04	Les serviteurs doivent attendre un tour pour attaquer.	
TUTORIAL01_HELP_05	Attaquez Lardeur !	
TUTORIAL01_HELP_06	Envoyez tout ce que vous avez contre Lardeur !	
TUTORIAL01_HELP_07	Gardez ça pour l’adversaire !	
TUTORIAL01_HELP_08	Ignorez ce gnoll minable et finissez-en avec Lardeur.	
TUTORIAL01_HELP_09	Quand les points de vie de Lardeur sont à zéro, vous gagnez.	
TUTORIAL01_HELP_10	Attaquez avec votre serviteur !	
TUTORIAL01_HELP_11	Cliquez pour attaquer.	
TUTORIAL01_HELP_12	Points de dégâts qu’ils infligent.	
TUTORIAL01_HELP_13	Points de dégâts qu’ils peuvent subir.	
TUTORIAL01_HELP_14	Battez Lardeur !	
TUTORIAL01_HELP_15	Jouez des serviteurs et utilisez-les pour attaquer Lardeur.\n\nInfligez-lui suffisamment de dégâts et vous gagnerez !	
TUTORIAL01_HELP_16	Commencer	
TUTORIAL01_HELP_17	Cliquez sur lui !	
TUTORIAL01_HELP_17_TOUCH	Touchez-le !	
TUTORIAL01_HELP_18	Des cartes gratuites !	
TUTORIAL02_HELP_01	Vous gagnez un cristal de mana par tour.	
TUTORIAL02_HELP_02	Jouer les cartes coûte du mana.	
TUTORIAL02_HELP_03	Vos cristaux de mana vides se remplissent à nouveau au tour suivant.	
TUTORIAL02_HELP_04	Cristaux de mana actuels : {0}	
TUTORIAL02_HELP_06	Attaquez Milhouse !	
TUTORIAL02_HELP_07	Dépensez votre mana efficacement pour écraser ce gnome agaçant !	
TUTORIAL02_STARTING_HAND	Main de départ	
TUTORIAL03_HELP_01	Ce gorille a Provocation.	
TUTORIAL03_HELP_02	Vive le roi	
TUTORIAL03_HELP_03	Vous ne comprenez pas une carte ? Passez la souris dessus !	
TUTORIAL03_HELP_03_TOUCH	Vous ne comprenez pas une carte ? Appuyez dessus !	
TUTORIAL04_HELP_01	Vous pouvez utiliser votre pouvoir héroïque une fois par tour.	
TUTORIAL04_HELP_02	Transformez-le en mouton !	
TUTORIAL04_HELP_03	Gardez ça pour le rampant des tourbières !	
TUTORIAL04_HELP_14	Bienvenue dans la jungle	
TUTORIAL04_HELP_15	Tuez ses serviteurs ou il vous écrasera !	
TUTORIAL04_HELP_16	Maîtrisez les serviteurs avec votre pouvoir héroïque et vos sorts !	
TUTORIAL05_HELP_01	Les armes perdent de la durabilité quand vous attaquez.	
TUTORIAL05_HELP_02	Le Traître	
TUTORIAL05_HELP_03	Ce combat est totalement déséquilibré. La faute aux méchants concepteurs du jeu.	
TUTORIAL05_HELP_04	Vos serviteurs avec Provocation peuvent vous protéger des attaques !	
TUTORIAL05_WEAPON_DESC	Permet à votre héros d’attaquer jusqu’à ce que l’arme ait perdu tous ses points de durabilité.	
TUTORIAL05_WEAPON_HEADLINE	Arme	
TUTORIAL06_HELP_01	Chroniqueur Cho	
TUTORIAL06_HELP_02	Quand des serviteurs s’affrontent, ils subissent *tous les deux* des dégâts.	
TUTORIAL06_HELP_03	Les serviteurs avec « Cri de guerre » font une action spéciale quand vous les jouez.	
TUTORIAL06_HELP_04	Détruisez les serviteurs adverses avant qu’ils ne deviennent un problème !	
TUTR_HELPER_Fight_01_AttackHero	Attaquez Rexxar avec votre serviteur !	
TUTR_HELPER_Fight_01_AttackHuffer	Attaquez le serviteur adverse !	
TUTR_HELPER_Fight_01_HeroPower	Utilisez votre pouvoir héroïque sur ce serviteur !	
TUTR_HELPER_Fight_01_HistoryTiles	L’historique affiche les actions précédentes.	
TUTR_HELPER_Fight_01_Mana	Le mana augmente à chaque tour. Jouer des cartes coûte du mana.	
TUTR_HELPER_Fight_01_Mana_02	Les cristaux de mana sont réinitialisés à chaque tour.	
TUTR_HELPER_Fight_01_MinionsDestroyed	Les serviteurs s’infligent des dégâts mutuels lorsqu’ils attaquent.	
TUTR_HELPER_Fight_01_PlayCard	Faites glisser ce serviteur sur le plateau pour le jouer !	
TUTR_HELPER_Fight_01_PlayHuffer	La valeur d’attaque à gauche correspond aux dégâts qu’un serviteur inflige aux adversaires.	
TUTR_HELPER_Fight_01_PlayHuffer_02	Les points de vie à droite correspondent aux dégâts qu’un serviteur peut subir avant de mourir.	
TUTR_HELPER_Fight_01_PlayMinion	Vous pouvez survoler les cartes avec votre souris pour afficher leurs capacités.	
TUTR_HELPER_Fight_01_PlayMinion_Mobile	Touchez et maintenez la pression sur une carte pour afficher ses capacités.	
TUTR_HELPER_Fight_01_PlaySpell	Faites glisser ce sort sur le serviteur adverse pour le détruire !	
