TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*rit*	
TUTORIAL01_HOGGER_02	*renifle*	
TUTORIAL01_HOGGER_04	Ha ha ha ! Grarr.	
TUTORIAL01_HOGGER_05	Héhéhé hahaha !	
TUTORIAL01_HOGGER_06	Héhéhé hohoho !	
TUTORIAL01_HOGGER_07	Ha haaa !	
TUTORIAL01_HOGGER_08	AAaarooh !!	
TUTORIAL01_JAINA_01	Venez vous battre !	
TUTORIAL01_JAINA_02	J’ai besoin de serviteurs qui combattront pour moi.	
TUTORIAL01_JAINA_03	C’est à vous, GNOLL.	
TUTORIAL01_JAINA_04	Vous allez le regretter !	
TUTORIAL01_JAINA_05	Excellent.	
TUTORIAL01_JAINA_06	Ha ! Un autre serviteur, pile ce qu’il me fallait.	
TUTORIAL01_JAINA_07	Vous êtes exactement là où je le souhaitais.	
TUTORIAL01_JAINA_09	Ha ha ! Et maintenant, à la gorge !	
TUTORIAL01_JAINA_10	5 en Attaque ? Ce truc est énorme !	
TUTORIAL01_JAINA_13	Vous retournez en prison, Lardeur.	
TUTORIAL01_JAINA_15	Hum ! Ces dégâts ne suffiront pas à tuer mon serviteur !	
TUTORIAL01_JAINA_16	Je m’occuperai de vous après, Lardeur.	
TUTORIAL01_JAINA_17	Hum… Il vaut mieux que j’attaque un gnoll, ou Lardeur ?	
TUTORIAL01_JAINA_18	Je peux tuer cet énorme gnoll, ou attaquer son maître.	
TUTORIAL01_JAINA_19	Une carte SORT ! Elle ne sert qu’une fois, je dois donc l’utiliser au bon moment…	
TUTORIAL01_JAINA_20	Ha ! Eh bien, au moins il n’a pas joué de carte, cette fois-ci.	
TUTORIAL01_JAINA_21	Deux cartes ?! Il a dû en mettre une de côté.	
TUTORIAL02_JAINA_03	*soupir* Quoi ?	
TUTORIAL02_JAINA_04	Je dois attendre un tour que mon mana se recharge.	
TUTORIAL02_JAINA_05	J’ai besoin de plus de mana avant de pouvoir jouer ça.	
TUTORIAL02_JAINA_07	De nouvelles cartes ! Excellent !	
TUTORIAL02_JAINA_08	Ahh. J’ai récupéré mon mana.	
TUTORIAL02_MILLHOUSE_01	Mais… ? Je voulais commencer !	
TUTORIAL02_MILLHOUSE_02	Jaina… Préparez-vous à affronter le puissant Milhouse Tempête-de-mana !	
TUTORIAL02_MILLHOUSE_03	Qu’est-ce que c’est que ce serviteur ? Un Murloc ? Bah ah ah ah ah !	
TUTORIAL02_MILLHOUSE_04	Oh ! Oh ! Cette carte est incroyable !	
TUTORIAL02_MILLHOUSE_05	Attendez que j’aie plus de mana !	
TUTORIAL02_MILLHOUSE_06	Jaina, j’espère que vous aimez PERRRRRDRE !!	
