TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Insaisissable</b>, <b>Toxicité</b>, <b>Bouclier divin</b>, <b>Provocation</b>, <b>Vol de vie</b>, <b>Ruée</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Insaisissable</b>, <b>Toxicité</b>\nVos autres serviteurs\nont_+1_ATQ.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Insaisissable</b>,\n<b>Toxicité</b>\nÀ la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>Insaisissable</b>,\n<b>Toxicité</b>\nAu début de votre tour,\ndouble l’ATQ de\nce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Insaisissable</b>, <b>Toxicité</b>\nCoûte_(1)_|4(cristal,cristaux)\nde moins pour chaque\nserviteur allié.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Insaisissable</b>, <b>Toxicité</b>\n<b>Cri de guerre_:</b> invoque\nune copie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Insaisissable</b>, <b>Toxicité</b>\n<b>Râle d’agonie_:</b> place ce serviteur\ndans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\nVos autres serviteurs\nont +1_ATQ.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\nÀ la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\nAu début de votre tour,\ndouble l’Attaque de\nce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\nCoûte_(1)_|4(cristal,cristaux) de moins pour chaque serviteur allié.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\n<b>Cri de guerre_:</b> invoque une copie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Bouclier divin</b>, <b>Provocation</b>\n<b>Vol de vie</b>, <b>Ruée</b>\n<b>Râle d’agonie_:</b> place ce serviteur\ndans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]Vos autres serviteurs\nont +1_ATQ.\nÀ la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]Vos autres serviteurs\nont +1_ATQ.\nAu début de votre tour, double\nl’ATQ de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]Vos autres serviteurs\nont +1_ATQ.\nCoûte (1)_|4(cristal,cristaux) de moins\npour chaque serviteur allié.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	[x]Vos autres serviteurs\nont +1_ATQ.\n<b>Cri de guerre_:</b> invoque\nune copie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]Vos autres serviteurs\nont_+1_ATQ.\n<b>Râle d’agonie_:</b> place ce serviteur\ndans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]À la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts. Au début de\nvotre tour, double l’ATQ\nde ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]À la fin de votre tour, votre\nhéros ou héroïne subit\n3_points de dégâts.\nCoûte_(1)_|4(cristal,cristaux) de moins pour\nchaque serviteur allié.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	À la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts.\n<b>Cri de guerre_:</b> invoque une\ncopie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]À la fin de votre tour,\nvotre héros ou héroïne subit\n3_points de dégâts.\n<b>Râle d’agonie_:</b> place ce\nserviteur dans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]Au début de votre tour,\ndouble l’ATQ de ce serviteur.\nCoûte_(1)_|4(cristal,cristaux) de moins pour\nchaque serviteur allié.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	Au début de votre tour,\ndouble l’ATQ de ce serviteur.\n<b>Cri de guerre_:</b> invoque une copie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]Au début de votre tour,\ndouble l’ATQ de ce serviteur.\n<b>Râle d’agonie_:</b> place ce\nserviteur dans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Coûte_(1)_|4(cristal,cristaux) de moins pour chaque serviteur allié.\n<b>Cri de guerre_:</b> invoque une copie de ce serviteur.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]Coûte_(1)_|4(cristal,cristaux) de moins pour\nchaque serviteur allié.\n<b>Râle d’agonie_:</b> place ce\nserviteur dans votre deck.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>Cri de guerre_:</b> invoque\nune copie de ce serviteur.\n<b>Râle d’agonie_:</b> place ce\nserviteur dans votre deck.	
