TAG	TEXT	COMMENT
GAMEPLAY_AI_OPPONENT_NAME	Locandiere	
GAMEPLAY_BANNER_STARTING_HAND	Mano iniziale	
GAMEPLAY_BANNER_SUBTITLE	Scegli se sostituire le carte	
GAMEPLAY_BANNER_WAITING	L'avversario sta ancora scegliendo...	
GAMEPLAY_COIN_TOSS_LOST	Ottieni una carta aggiuntiva	
GAMEPLAY_COIN_TOSS_WON	Inizi per primo	
GAMEPLAY_EMOTE_LABEL_GREETINGS	Salve	
GAMEPLAY_EMOTE_LABEL_OOPS	Ops!	
GAMEPLAY_EMOTE_LABEL_SORRY	Mi dispiace	
GAMEPLAY_EMOTE_LABEL_THANKS	Grazie	
GAMEPLAY_EMOTE_LABEL_THREATEN	Minaccia	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	Ben fatto	
GAMEPLAY_EMOTE_SQUELCH	Silenzia	
GAMEPLAY_EMOTE_UNSQUELCH	Desilenzia	
GAMEPLAY_END_OF_GAME_DEFEAT	Sconfitta!	
GAMEPLAY_END_OF_GAME_VICTORY	Vittoria!	
GAMEPLAY_END_TURN	FINE TURNO	
GAMEPLAY_ENEMY_TURN	ATTESA	
GAMEPLAY_ERROR_PLAY_REJECTED	Troppo tardi! Il tuo turno è finito.	
GAMEPLAY_FATIGUE_HISTORY_TEXT	Provare a pescare da un mazzo esaurito infligge danni crescenti al tuo eroe.	
GAMEPLAY_FATIGUE_TEXT	Hai finito le carte! Subisci {0} |4(danno,danni).	
GAMEPLAY_FATIGUE_TITLE	Fatica	
GAMEPLAY_GOLDHERO_WINS	Vittorie!	
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MOBILE_TUTORIAL_JAINA	Jaina Marefiero	
GAMEPLAY_MULLIGAN_REPLACE	SOSTITUISCI	
GAMEPLAY_NOTIFICATION_MAX_HAND_SIZE	Puoi avere al massimo {0} |4(carta,carte) in mano	
GAMEPLAY_NOTIFICATION_MAX_MANA	Puoi avere al massimo {0} |4(Cristallo,Cristalli) di Mana	
GAMEPLAY_PlayErrors_REQ_ATTACK_GREATER_THAN_0	Un personaggio senza valore di Attacco non può attaccare	
GAMEPLAY_PlayErrors_REQ_ATTACKER_CAN_ATTACK	Questo personaggio non può attaccare	
GAMEPLAY_PlayErrors_REQ_ATTACKER_NOT_FROZEN	I personaggi Congelati non possono attaccare	
GAMEPLAY_PlayErrors_REQ_CAN_BE_ATTACKED	Questo personaggio non può essere attaccato	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_HERO_POWERS	Bersaglio non valido per un Potere Eroe	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_OPPONENTS	Questo personaggio non può essere scelto come bersaglio	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_SPELLS	Bersaglio non valido per le Magie	
GAMEPLAY_PlayErrors_REQ_CHARGE_TARGET	Seleziona un personaggio con Carica	
GAMEPLAY_PlayErrors_REQ_DAMAGED_TARGET	Seleziona un personaggio danneggiato	
GAMEPLAY_PlayErrors_REQ_ENCHANTED_TARGET	Seleziona un personaggio Incantato	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET	Seleziona un nemico	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET_NOT_IMMUNE	Questo personaggio è Immune	
GAMEPLAY_PlayErrors_REQ_ENOUGH_MANA	Mana insufficiente	
GAMEPLAY_PlayErrors_REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY	Possiedi già un totem di ogni tipo	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_TARGET	Seleziona un personaggio amico	
GAMEPLAY_PlayErrors_REQ_FROZEN_TARGET	Seleziona un personaggio Congelato	
GAMEPLAY_PlayErrors_REQ_HERO_OR_MINION_TARGET	Il bersaglio deve essere un personaggio	
GAMEPLAY_PlayErrors_REQ_HERO_TARGET	Il bersaglio deve essere un eroe	
GAMEPLAY_PlayErrors_REQ_MINIMUM_ENEMY_MINIONS	L'avversario deve controllare almeno {0} |4(servitore,servitori)	
GAMEPLAY_PlayErrors_REQ_MINIMUM_TOTAL_MINIONS	|4(Deve,Devono) esserci almeno {0} |4(servitore,servitori) sul campo di battaglia	
GAMEPLAY_PlayErrors_REQ_MINION_CAP	Non puoi controllare altri servitori	
GAMEPLAY_PlayErrors_REQ_MINION_CAP_IF_TARGET_AVAILABLE	Non puoi controllare altri servitori	
GAMEPLAY_PlayErrors_REQ_MINION_TARGET	Seleziona un servitore	
GAMEPLAY_PlayErrors_REQ_MUST_TARGET_TAUNTER	Il bersaglio deve essere un servitore con Provocazione	
GAMEPLAY_PlayErrors_REQ_NONSELF_TARGET	Il bersaglio di un servitore non può essere il servitore stesso	
GAMEPLAY_PlayErrors_REQ_NONSTEALTH_ENEMY_TARGET	I personaggi con Furtività non possono essere scelti come bersagli o attaccati	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_ACTIVATE	Questo personaggio ha già attaccato	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_HERO_POWER	I Poteri Eroe possono essere usati una sola volta per turno	
GAMEPLAY_PlayErrors_REQ_NOT_MINION_JUST_PLAYED	I servitori non possono attaccare nel turno in cui vengono giocati	
GAMEPLAY_PlayErrors_REQ_NUM_MINION_SLOTS	Controlli troppi servitori per poterlo fare	
GAMEPLAY_PlayErrors_REQ_SECRET_CAP	Puoi avere al massimo {0} |4(Segreto,Segreti)	
GAMEPLAY_PlayErrors_REQ_SUBCARD_IS_PLAYABLE	Nessuna di queste opzioni è valida	
GAMEPLAY_PlayErrors_REQ_TARGET_ATTACKED_THIS_TURN	Il bersaglio deve essere un personaggio che ha già attaccato	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_COMBO	Non puoi farlo senza un bersaglio	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_NO_COMBO	Non puoi farlo senza un bersaglio	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE	Non puoi farlo senza un bersaglio	
GAMEPLAY_PlayErrors_REQ_TARGET_MAGNET	È presente un servitore che sei obbligato a scegliere come bersaglio	
GAMEPLAY_PlayErrors_REQ_TARGET_MAX_ATTACK	Seleziona un personaggio con Attacco pari a {0} o inferiore	
GAMEPLAY_PlayErrors_REQ_TARGET_MIN_ATTACK	Seleziona un personaggio con Attacco pari a {0} o superiore	
GAMEPLAY_PlayErrors_REQ_TARGET_TAUNTER	Sei obbligato ad attaccare un servitore con Provocazione	
GAMEPLAY_PlayErrors_REQ_TARGET_TO_PLAY	Non puoi farlo senza un bersaglio	
GAMEPLAY_PlayErrors_REQ_TARGET_WITH_RACE	La razza scelta non è giusta	
GAMEPLAY_PlayErrors_REQ_UNDAMAGED_TARGET	Il bersaglio deve essere un personaggio non danneggiato	
GAMEPLAY_PlayErrors_REQ_UNIQUE_SECRET	Hai già questo Segreto	
GAMEPLAY_PlayErrors_REQ_WEAPON_EQUIPPED	Devi avere un'arma	
GAMEPLAY_PRE_TUTORIAL_WANTED	Ricercato	
GAMEPLAY_SECRET_BANNER_TITLE	Segreto!	
GAMEPLAY_SECRET_DESC	Nascosto finché non si verifica un'azione specifica... Fai attenzione!	
GAMEPLAY_SECRET_NAME	Segreto	
GAMEPLAY_SECRET_NAME_HUNTER	Segreto del Cacciatore	
GAMEPLAY_SECRET_NAME_MAGE	Segreto del Mago	
GAMEPLAY_SECRET_NAME_PALADIN	Segreto del Paladino	
GAMEPLAY_TOOLTIP_DECK_DESCRIPTION	Hai ancora {0} |4(carta,carte).	
GAMEPLAY_TOOLTIP_DECK_HEADLINE	Mazzo	
GAMEPLAY_TOOLTIP_ENEMYDECK_DESC	Il tuo avversario ha ancora {0} |4(carta,carte).	
GAMEPLAY_TOOLTIP_ENEMYDECK_HEADLINE	Mazzo avversario	
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC	Il tuo avversario ha {0} |4(carta,carte) in mano.	0= number of cards in hand.
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC_SINGLE	Il tuo avversario ha {0} |4(carta,carte) in mano.	0= number of cards in hand.
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC_TUT	Le carte in mano al tuo avversario. Ogni giocatore ne pesca una a ogni turno.	
GAMEPLAY_TOOLTIP_ENEMYHAND_HEADLINE	Mano dell'avversario	
GAMEPLAY_TOOLTIP_FATIGUE_DECK_DESCRIPTION	Hai finito le carte! Quando proverai a pescarne altre subirai danni.	
GAMEPLAY_TOOLTIP_FATIGUE_DECK_HEADLINE	Affaticato	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_DESCRIPTION	Il tuo avversario ha finito le carte! Quando proverà a pescarne altre subirà danni.	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_HEADLINE	Affaticato	
GAMEPLAY_TOOLTIP_MANA_DESCRIPTION	All'inizio del tuo turno i Cristalli di Mana vuoti si ricaricheranno e ne otterrai uno aggiuntivo.	
GAMEPLAY_TOOLTIP_MANA_HEADLINE	Cristalli di Mana	
GAMEPLAY_TOOLTIP_MANA_RECALL_DESCRIPTION	Nel turno precedente hai giocato una carta con Sovraccarico.	
GAMEPLAY_TOOLTIP_MANA_RECALL_HEADLINE	Cristalli di Mana bloccati	
GAMEPLAY_TUTORIAL_ATTACK	Attacco	
GAMEPLAY_TUTORIAL_ATTACKER	Attaccante	
GAMEPLAY_TUTORIAL_COST	Costo	
GAMEPLAY_TUTORIAL_DEFENDER	Difensore	
GAMEPLAY_TUTORIAL_HEALTH	Salute	
GAMEPLAY_TUTORIAL_HERO_POWER	Potere Eroe	
GAMEPLAY_TUTORIAL_MINION	Servitore	
GAMEPLAY_TUTORIAL_TAUNT	Provocazione	
GAMEPLAY_TUTORIAL_TAUNT_DESCRIPTION	I nemici devono attaccare questo servitore.	
GAMEPLAY_TUTORIAL_USED	Usato	
GAMEPLAY_TUTORIAL_YOUR_MANA	Il tuo Mana	
GAMEPLAY_TUTORIAL_YOUR_TURN	All'inizio del tuo turno	
GAMEPLAY_TUTORIAL01_HERO	Boccalarga	
GAMEPLAY_TUTORIAL02_HERO	Millhouse Manalampo	
GAMEPLAY_TUTORIAL03_HERO	Re Mukla	
GAMEPLAY_TUTORIAL04_HERO	Hemet Nesingwary	
GAMEPLAY_TUTORIAL05_HERO	Illidan Grantempesta	
GAMEPLAY_TUTORIAL06_HERO	Ramingo Cho	
GAMEPLAY_UNKNOWN_OPPONENT_NAME	SCONOSCIUTO	
GAMEPLAY_WIN_REWARD_PROGRESS	Vittorie {0}/{1}	
GAMEPLAY_YOUR_TURN	Tocca a te!	
