TAG	TEXT	COMMENT
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Questa persona è già nel tuo elenco amici.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	Devi digitare un indirizzo e-mail o un BattleTag.	
GLOBAL_ADDFRIEND_HEADER	Aggiungi un amico	
GLOBAL_ADDFRIEND_INSTRUCTION	Inserisci il BattleTag o l'indirizzo e-mail.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Richiesta d'amicizia inviata.	
GLOBAL_ATTACK	Attacco	
GLOBAL_BACK	Indietro	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	Questo è l'oro accreditato per gli acquisti passati. Grazie mille!	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	Credito del reset dell'account	
GLOBAL_BUTTON_NO	No	
GLOBAL_BUTTON_OK	OK	
GLOBAL_BUTTON_YES	Sì	
GLOBAL_CANCEL	Annulla	
GLOBAL_CARD_SET_CORE	Base	
GLOBAL_CARD_SET_EXPERT1	Avanzato	
GLOBAL_CARD_SET_PROMO	Promozione	
GLOBAL_CARD_SET_REWARD	Ricompensa	
GLOBAL_CARDTYPE_ENCHANTMENT	Incantamento	
GLOBAL_CARDTYPE_HERO	Eroe	
GLOBAL_CARDTYPE_HEROPOWER	Potere Eroe	
GLOBAL_CARDTYPE_ITEM	Oggetto	
GLOBAL_CARDTYPE_MINION	Servitore	
GLOBAL_CARDTYPE_SPELL	Magia	
GLOBAL_CARDTYPE_TOKEN	Pedina	
GLOBAL_CARDTYPE_WEAPON	Arma	
GLOBAL_CHAT_BUBBLE_RECEIVER_NAME	A: {0}	0=player name
GLOBAL_CHAT_CHALLENGE	Sfida	
GLOBAL_CHAT_NO_FRIENDS_ONLINE	Nessuno dei tuoi amici è attualmente connesso.	
GLOBAL_CHAT_NO_RECENT_CONVERSATIONS	Usa il menu degli amici per avviare una conversazione con un amico.	
GLOBAL_CHAT_RECEIVER_OFFLINE	{0} non è connesso.	0=player name
GLOBAL_CHAT_RECEIVER_ONLINE	{0} è connesso.	0=player name
GLOBAL_CLASS_DEATHKNIGHT	Cavaliere della Morte	
GLOBAL_CLASS_DRUID	Druido	
GLOBAL_CLASS_HUNTER	Cacciatore	
GLOBAL_CLASS_MAGE	Mago	
GLOBAL_CLASS_NEUTRAL	Generiche	
GLOBAL_CLASS_PALADIN	Paladino	
GLOBAL_CLASS_PRIEST	Sacerdote	
GLOBAL_CLASS_ROGUE	Ladro	
GLOBAL_CLASS_SHAMAN	Sciamano	
GLOBAL_CLASS_WARLOCK	Stregone	
GLOBAL_CLASS_WARRIOR	Guerriero	
GLOBAL_CLICK_TO_CONTINUE	Clicca per continuare	
GLOBAL_COLLECTION_GOLDEN	(Dorata)	
GLOBAL_CONCEDE	Resa	
GLOBAL_CONFIRM	Conferma	
GLOBAL_COST	Costo	
GLOBAL_CURRENT_TIME	{0:HH:mm}	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_DATETIME_FRIENDREQUEST_DAY	ieri	
GLOBAL_DATETIME_FRIENDREQUEST_DAYS	{0} |4(giorno,giorni) fa	
GLOBAL_DATETIME_FRIENDREQUEST_HOURS	{0} |4(ora,ore) fa	
GLOBAL_DATETIME_FRIENDREQUEST_MINUTES	{0} |4(minuto,minuti) fa	
GLOBAL_DATETIME_FRIENDREQUEST_MONTH	più di un mese fa	
GLOBAL_DATETIME_FRIENDREQUEST_SECONDS	meno di un minuto fa	
GLOBAL_DATETIME_FRIENDREQUEST_WEEKS	{0} |4(settimana,settimane) fa	
GLOBAL_DATETIME_LASTONLINE_DAY	ultima connessione: ieri	
GLOBAL_DATETIME_LASTONLINE_DAYS	ultima connessione: {0} |4(giorno,giorni) fa	
GLOBAL_DATETIME_LASTONLINE_HOURS	ultima connessione: {0} |4(ora,ore) fa	
GLOBAL_DATETIME_LASTONLINE_MINUTES	ultima connessione: {0} |4(minuto,minuti) fa	
GLOBAL_DATETIME_LASTONLINE_MONTH	ultima connessione: più di un mese fa	
GLOBAL_DATETIME_LASTONLINE_SECONDS	ultima connessione: meno di un minuto fa	
GLOBAL_DATETIME_LASTONLINE_WEEKS	ultima connessione: {0} |4(settimana,settimane) fa	
GLOBAL_DATETIME_SPLASHSCREEN_DAY	> 1 giorno	
GLOBAL_DATETIME_SPLASHSCREEN_DAYS	{0} |4(giorno,giorni)	
GLOBAL_DATETIME_SPLASHSCREEN_HOURS	{0} |4(ora,ore)	
GLOBAL_DATETIME_SPLASHSCREEN_MINUTES	{0} |4(minuto,minuti)	
GLOBAL_DATETIME_SPLASHSCREEN_MONTH	Più di un mese	
GLOBAL_DATETIME_SPLASHSCREEN_SECONDS	< 1 min	
GLOBAL_DATETIME_SPLASHSCREEN_WEEKS	{0} |4(settimana,settimane)	
GLOBAL_DEFAULT_ALERT_HEADER	Avviso	
GLOBAL_DONE	Fine	
GLOBAL_ERROR_ASSET_CREATE_PERSISTENT_DATA_PATH	Impossibile creare una cartella per salvare i dati in {0}.	0=folder path
GLOBAL_ERROR_ASSET_DOWNLOAD_FAILED	Impossibile scaricare l'elemento {0}.	0=asset name
GLOBAL_ERROR_ASSET_INCORRECT_DATA	L'elemento {0} contiene dati errati.	0=asset name
GLOBAL_ERROR_ASSET_LOAD_FAILED	Impossibile caricare l'elemento {0}.	0=asset name
GLOBAL_ERROR_ASSET_NO_FILE_PATH	Impossibile trovare il percorso per l'elemento {0}.	0=asset name
GLOBAL_ERROR_CURRENCY_INVALID	È stato richiesto l'utilizzo di una valuta non valida per l'acquisto.	
GLOBAL_ERROR_GAME_DENIED	Errore durante l'avvio del gioco! Attendi qualche minuto e riprova.	
GLOBAL_ERROR_GAME_OPPONENT_TIMEOUT	La partita non si è avviata poiché l'avversario non si è connesso. Riprova.	
GLOBAL_ERROR_GENERIC_HEADER	Errore	
GLOBAL_ERROR_INACTIVITY_KICK	È passato molto dalla tua ultima azione su Hearthstone e sei stato disconnesso dal server. Rilancia il gioco quando sei pronto!	
GLOBAL_ERROR_NETWORK_ACCOUNT_BANNED	Il tuo account è stato sospeso permanentemente.	
