TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>Potere Eroe Passivo</b>\nIl tuo eroe è <b>Immune</b>. Tre turni rimanenti.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>Potere Eroe Passivo</b>\nIl tuo eroe è <b>Immune</b>. Due turni rimanenti.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>Potere Eroe Passivo</b>\nIl tuo eroe è <b>Immune</b>. Un turno rimanente!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>Potere Eroe Passivo</b>\nEvoca un boss ma non è più <b>Immune</b>.	
MISSION_DEFAULTCOUNTERNAME	|4(Turno,Turni) all'uscita	
MISSION_GLOWING_POOL	Pozza Luminosa	
MISSION_NEFARIAN_TITLE	Sterminatore di Servitori Deludenti, Stupidi e Incompetenti	
MISSION_PIT_OF_SPIKES	Fossa con Spuntoni	
MISSION_PRE_TUTORIAL_WANTED	Ricercato	
MISSION_STATUES_EYE	Occhio della Statua	
MISSION_TAKE_THE_SHORTCUT	Prendere la Scorciatoia?	
TB_DECKBUILDING_FIRSTCARDPLAYED	Quando giochi una carta, ne mette una copia nel tuo mazzo.	
TB_DECKBUILDING_FIRSTENDTURN	Rimetti le carte che hai in mano nel tuo mazzo e ripesca.	
TB_DECKBUILDING_FIRSTPICKTHREE	Scegli una nuova carta per la tua mano.	
TB_DECKBUILDING_STARTOFGAME	Costruisci la tua squadra mentre giochi! Buona fortuna!	
TB_DECKBUILDING_STARTOFGAME_START	Via!	
TB_DECKRECIPE_OG_DRUID	Sfrutta le Magie che forniscono Mana per evocare i servitori degli Dei Antichi prima dell'avversario.	
TB_DECKRECIPE_OG_HUNTER	Non temere la morte: i tuoi servitori sono utili anche nel momento del trapasso. Preparati a sacrificare i tuoi servitori, il vantaggio sarà tutto tuo.	
TB_DECKRECIPE_OG_MAGE	Lancia tutte le Magie che puoi: ognuna di esse alimenta la rinascita di Yogg-Saron!	
TB_DECKRECIPE_OG_PALADIN	Proteggi i tuoi servitori con Scudo Divino, così che possano eliminare più nemici!	
TB_DECKRECIPE_OG_PRIEST	Cura i tuoi servitori per tenerli in vita abbastanza a lungo da assistere all'ascesa del terribile C'thun!	
TB_DECKRECIPE_OG_ROGUE	Usa in modo aggressivo i tuoi servitori! Molti di loro forniscono un vantaggio alla morte, per cui sacrificali senza remore.	
TB_DECKRECIPE_OG_SHAMAN	Evoca quanti più servitori possibile e poi evolvili! Muta i servitori che hanno già fatto il proprio lavoro per ottenere il massimo!	
TB_DECKRECIPE_OG_WARLOCK	Potenzia il tuo esercito con gli innumerevoli servitori degli Dei Antichi. Invadi il campo con servitori piccoli e annienta il tuo avversario.	
TB_DECKRECIPE_OG_WARRIOR	Proteggiti mentre cresce la tua devozione per C'thun. Accumula Armatura per rendere futili gli sforzi del nemico prima dell'evocazione del Dio Antico.	
TB_GIFTEXCHANGE_GIFTSPAWNED	Se dalla tua parte non ci sono casse, ne verrà consegnata una.	
TB_GIFTEXCHANGE_GIFTSTOLEN	Hai ottenuto un dono! Cosa mai potrà essere?	
TB_GIFTEXCHANGE_START	Buona festa di Grande Inverno! Prendete questi Doni Natalizi!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	I fati scelti influenzano entrambi i giocatori!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	Ricorda, questo bonus vale solo per te.	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	Il fato dell'avversario influenza anche te!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	Ricorda, questo bonus vale solo per il tuo avversario.	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	I fati scelti influenzano entrambi i giocatori!	
TB_PICKYOURFATE_RANDOM_NEWFATE	Ti serve un nuovo fato!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	Al tuo avversario serve un nuovo fato!	
TB_SHADOWTOWERS_ADJACENTMINIONS	I servitori adiacenti a una Torre ottengono <b>Furtività</b> e non possono attaccare.	
TB_SHADOWTOWERS_SHADOWSPAWNED	Se un lato del campo non ha una Torre, ne verrà evocata una.	
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	Le Torri mancanti vengono sostituite all'inizio del proprio turno.	
