TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BOH	Legge il Libro degli Eroi	
PRESENCE_ADVENTURE_MODE_BOM	Legge il Libro dei Mercenari	
PRESENCE_ADVENTURE_MODE_BOT	Esplora i Laboratori Boom	
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	Sfida di Classe (Roccianera)	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	Massiccio Roccianera (Eroica)	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	Massiccio Roccianera	
PRESENCE_ADVENTURE_MODE_BTA	Inizia un'Ordalia del Vilfuoco	
PRESENCE_ADVENTURE_MODE_BTA_HEROIC	Inizia una Sfida del Vilfuoco	
PRESENCE_ADVENTURE_MODE_BTP	Esplora il passato di Illidan!	
PRESENCE_ADVENTURE_MODE_DAL	Pianifica un Colpo grosso	
PRESENCE_ADVENTURE_MODE_DRG	Spicca il volo a Dracombra	
PRESENCE_ADVENTURE_MODE_GIL	Si prepara a una Caccia ai Mostri	
PRESENCE_ADVENTURE_MODE_ICC_NORMAL	Si avventura nella Rocca	
PRESENCE_ADVENTURE_MODE_KAR_CLASS_CHALLENGE	Sfida di Classe (Karazhan)	
PRESENCE_ADVENTURE_MODE_KAR_HEROIC	Karazhan (Eroica)	
PRESENCE_ADVENTURE_MODE_KAR_NORMAL	Karazhan	
PRESENCE_ADVENTURE_MODE_LOE_CLASS_CHALLENGE	Sfida di Classe (Esploratori)	
PRESENCE_ADVENTURE_MODE_LOE_HEROIC	Lega degli Esploratori (Eroica)	
PRESENCE_ADVENTURE_MODE_LOE_NORMAL	Lega degli Esploratori	
PRESENCE_ADVENTURE_MODE_LOOT	Si prepara a una spedizione	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	Sfida di Classe (Naxxramas)	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	Naxxramas (Eroica)	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	Naxxramas	
PRESENCE_ADVENTURE_MODE_RETURNING_PLAYER_CHALLENGE	Ha fatto un gradito ritorno!	
PRESENCE_ADVENTURE_MODE_TRL	Si prepara per la Sfida...	
PRESENCE_ADVENTURE_MODE_ULD	Pianifica una spedizione	
PRESENCE_SCENARIO_BOH_FIGHT_01	Persuade l'Arcimago Antonidas	
PRESENCE_SCENARIO_BOH_FIGHT_02	Dà una lezione al Principe Kael'thas	
PRESENCE_SCENARIO_BOH_FIGHT_03	Discute con il Principe Arthas	
PRESENCE_SCENARIO_BOH_FIGHT_04	Cerca di calmare Grommash Malogrido	
PRESENCE_SCENARIO_BOH_FIGHT_05	Supera in astuzia Archimonde	
PRESENCE_SCENARIO_BOH_FIGHT_06	Difende Theramore	
PRESENCE_SCENARIO_BOH_FIGHT_07	Mette alle strette Thrall	
PRESENCE_SCENARIO_BOH_FIGHT_08	Espelle i Predatori del Sole	
PRESENCE_SCENARIO_BOH10_FIGHT_01	Incontra un principe	
PRESENCE_SCENARIO_BOH10_FIGHT_02	Ruba a Tichondrius	
PRESENCE_SCENARIO_BOH10_FIGHT_03	Assalta la Tomba di Sargeras	
PRESENCE_SCENARIO_BOH10_FIGHT_04	Litiga con Malfurion	
PRESENCE_SCENARIO_BOH10_FIGHT_05	Salva le Terre Esterne	
PRESENCE_SCENARIO_BOH10_FIGHT_06	Insulta Anub'arak	
PRESENCE_SCENARIO_BOH10_FIGHT_07	Duella con Arthas	
PRESENCE_SCENARIO_BOH10_FIGHT_08	Viene tradito da Akama	
PRESENCE_SCENARIO_BOH2_FIGHT_01	Si prepara all'azione	
PRESENCE_SCENARIO_BOH2_FIGHT_02	Convince il Capoguerra	
PRESENCE_SCENARIO_BOH2_FIGHT_03	Stringe amicizia con Misha	
PRESENCE_SCENARIO_BOH2_FIGHT_04	Ripristina l'onore di Mogrin	
PRESENCE_SCENARIO_BOH2_FIGHT_05	Indaga con Jaina	
PRESENCE_SCENARIO_BOH2_FIGHT_06	Salva Baine Zoccolo Sanguinario	
PRESENCE_SCENARIO_BOH2_FIGHT_07	Respinge l'invasione di Daelin	
PRESENCE_SCENARIO_BOH2_FIGHT_08	Salva i Mok'Nathal	
PRESENCE_SCENARIO_BOH3_FIGHT_01	Incontra la Madre Anziana	
PRESENCE_SCENARIO_BOH3_FIGHT_02	Discute con Rehgar	
PRESENCE_SCENARIO_BOH3_FIGHT_03	Conquista Nordania	
PRESENCE_SCENARIO_BOH3_FIGHT_04	Spegne gli incendi a Orgrimmar	
PRESENCE_SCENARIO_BOH3_FIGHT_05	Affronta un Mak'gora	
PRESENCE_SCENARIO_BOH3_FIGHT_06	Attacca Theramore	
PRESENCE_SCENARIO_BOH3_FIGHT_07	Suona la Campana Divina	
PRESENCE_SCENARIO_BOH3_FIGHT_08	È sotto assedio a Orgrimmar	
PRESENCE_SCENARIO_BOH4_FIGHT_01	Impressiona l'Arcivescovo Faol	
PRESENCE_SCENARIO_BOH4_FIGHT_02	Difende Lordaeron	
PRESENCE_SCENARIO_BOH4_FIGHT_03	Combatte con Varok Faucisaure	
