TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Puoi avere 10 carte in mano.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Carte in mano	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	Hai sconfitto Illidan! Crea gratuitamente un account e sfida nuovi avversari online!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Crea account	
TUTORIAL_NO_ENDTURN	Aspetta! Hai ancora delle carte da giocare!	
TUTORIAL_NO_ENDTURN_ATK	Aspetta! Puoi ancora attaccare.	
TUTORIAL_NO_ENDTURN_HP	Aspetta! Usa il Potere Eroe.	
TUTORIAL_PROGRESS_LESSON_TITLE	L'avventura ha inizio	
TUTORIAL_PROGRESS_SAVED	Progresso salvato	
TUTORIAL_PROGRESS_TITLE	Progresso missione	
TUTORIAL_RAID_LEADER_DESCRIPTION	Questo servitore ha un potere che perdura fino alla sua morte.	
TUTORIAL_RAID_LEADER_HEADLINE	Poteri	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	Peschi una carta casuale ogni turno.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Il tuo avversario pesca una carta ogni turno.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Questo è un registro degli eventi di gioco.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Cronologia	
TUTORIAL_WANTED	Ricercato	
TUTORIAL01_HELP_01	Perdi quando finisci la tua Salute.	
TUTORIAL01_HELP_02	Questa carta è stata giocata nel turno precedente.	
TUTORIAL01_HELP_03	Sbarazzati di questo Gnoll!	
TUTORIAL01_HELP_04	I servitori devono attendere un turno prima di attaccare.	
TUTORIAL01_HELP_05	Attacca Boccalarga!	
TUTORIAL01_HELP_06	Colpisci Boccalarga con tutto quello che hai!	
TUTORIAL01_HELP_07	Usala contro gli avversari!	
TUTORIAL01_HELP_08	Ignora il debole Gnoll e finisci Boccalarga.	
TUTORIAL01_HELP_09	Vinci quando Boccalarga finisce la sua Salute.	
TUTORIAL01_HELP_10	Attacca col tuo servitore!	
TUTORIAL01_HELP_11	Clicca per attaccare.	
TUTORIAL01_HELP_12	La quantità di danni che infligge.	
TUTORIAL01_HELP_13	La quantità di danni che può subire.	
TUTORIAL01_HELP_14	Sconfiggi Boccalarga!	
TUTORIAL01_HELP_15	Gioca dei servitori e usali per attaccare Boccalarga.\n\nInfliggi abbastanza danni\ne vincerai!	
TUTORIAL01_HELP_16	Via!	
TUTORIAL01_HELP_17	Clicca su di lui!	
TUTORIAL01_HELP_17_TOUCH	Toccalo!	
TUTORIAL01_HELP_18	Carte gratis!	
TUTORIAL02_HELP_01	Ottieni un Cristallo di Mana ogni turno.	
TUTORIAL02_HELP_02	Le carte richiedono Mana per essere giocate.	
TUTORIAL02_HELP_03	I Cristalli di Mana utilizzati si ricaricano ogni turno.	
TUTORIAL02_HELP_04	Hai {0} Mana	
TUTORIAL02_HELP_06	Batti Millhouse!	
TUTORIAL02_HELP_07	Usa il tuo Mana ogni turno per sconfiggere questo Gnomo davvero seccante!	
TUTORIAL02_STARTING_HAND	Mano iniziale	
TUTORIAL03_HELP_01	Questo gorilla ha Provocazione.	
TUTORIAL03_HELP_02	Salute al re!	
TUTORIAL03_HELP_03	Non capisci il funzionamento di una carta? Passaci sopra con il puntatore del mouse!	
TUTORIAL03_HELP_03_TOUCH	Non capisci il funzionamento di una carta? Toccala e tieni premuto!	
TUTORIAL04_HELP_01	Puoi usare il Potere Eroe una volta per turno.	
TUTORIAL04_HELP_02	Trasformalo in una pecora!	
TUTORIAL04_HELP_03	Tienila per l'Aberrazione delle Paludi!	
TUTORIAL04_HELP_14	Caccia grossa	
TUTORIAL04_HELP_15	Uccidi i suoi servitori\no ti annienterà!	
TUTORIAL04_HELP_16	Sconfiggi i servitori nemici con il tuo Potere Eroe e le Magie!	
TUTORIAL05_HELP_01	Le armi perdono Integrità quando vengono utilizzate per attaccare.	
TUTORIAL05_HELP_02	Il Traditore	
TUTORIAL05_HELP_03	Questo scontro non è affatto bilanciato.\nDa' pure la colpa ai pessimi game designer!	
TUTORIAL05_HELP_04	I tuoi servitori con Provocazione possono proteggerti dagli attacchi!	
TUTORIAL05_WEAPON_DESC	Permette all'eroe di attaccare finché non finisce l'Integrità.	
TUTORIAL05_WEAPON_HEADLINE	Arma	
TUTORIAL06_HELP_01	Sfida alla sapienza	
TUTORIAL06_HELP_02	Quando i servitori si combattono a vicenda, <b>entrambi</b> subiscono danni.	
TUTORIAL06_HELP_03	I servitori con "Grido di Battaglia" eseguono azioni speciali quando vengono giocati.	
TUTORIAL06_HELP_04	Elimina i servitori nemici prima che possano causarti problemi!	
TUTR_HELPER_Fight_01_AttackHero	Attacca Rexxar col tuo servitore!	
TUTR_HELPER_Fight_01_AttackHuffer	Attacca il servitore nemico!	
TUTR_HELPER_Fight_01_HeroPower	Usa il tuo Potere Eroe su quel servitore!	
TUTR_HELPER_Fight_01_HistoryTiles	La cronologia mostra le azioni precedenti.	
