TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	AHRAHRAHR!!!	
TUTORIAL01_HOGGER_02	SGRUNT!	
TUTORIAL01_HOGGER_04	Ah ah ah! Rawrr.	
TUTORIAL01_HOGGER_05	Ehehehahahah!	
TUTORIAL01_HOGGER_06	Ehehehoohoohooh!	
TUTORIAL01_HOGGER_07	Ah ah ah!	
TUTORIAL01_HOGGER_08	Aaarooh!!!	
TUTORIAL01_JAINA_01	Fatti sotto!	
TUTORIAL01_JAINA_02	Ho bisogno di servitori che combattano per me.	
TUTORIAL01_JAINA_03	Tocca a te, GNOLL.	
TUTORIAL01_JAINA_04	Te ne pentirai!	
TUTORIAL01_JAINA_05	Eccellente.	
TUTORIAL01_JAINA_06	Mmm! Un altro servitore, proprio ciò che mi serviva.	
TUTORIAL01_JAINA_07	Adesso ti ho in pugno.	
TUTORIAL01_JAINA_09	Ah! Ora dagli il colpo di grazia.	
TUTORIAL01_JAINA_10	5 di Attacco? Quell'essere è immenso!	
TUTORIAL01_JAINA_13	Torna nelle Segrete, Boccalarga.	
TUTORIAL01_JAINA_15	Servono più danni per uccidere il mio servitore.	
TUTORIAL01_JAINA_16	Fra poco tocca a te, Boccalarga!	
TUTORIAL01_JAINA_17	Mmm... Attacco uno Gnoll o direttamente Boccalarga?	
TUTORIAL01_JAINA_18	Posso uccidere questo Gnoll Massiccio o colpire direttamente il suo padrone.	
TUTORIAL01_JAINA_19	Una carta MAGIA! Può essere utilizzata una sola volta, devo sfruttarla al massimo...	
TUTORIAL01_JAINA_20	Accidenti! Be', per lo meno non ha utilizzato una carta in questo turno.	
TUTORIAL01_JAINA_21	Due carte? Ah! Doveva averne una in serbo...	
TUTORIAL02_JAINA_03	Ahhh... Quale?	
TUTORIAL02_JAINA_04	Devo attendere un turno perché si rigeneri il mio Mana.	
TUTORIAL02_JAINA_05	Mi serve più Mana per usare questa carta.	
TUTORIAL02_JAINA_07	Altre carte! Eccellente!	
TUTORIAL02_JAINA_08	Ah. Il mio Mana si è rigenerato.	
TUTORIAL02_MILLHOUSE_01	Uffa! Volevo cominciare per primo!	
TUTORIAL02_MILLHOUSE_02	Jaina... preparati ad affrontare il potente Millhouse Manalampo!	
TUTORIAL02_MILLHOUSE_03	Che razza di servitore è quello? Un Murloc? Bahahahah!	
TUTORIAL02_MILLHOUSE_04	Oh oh! Questa carta è fantastica!	
TUTORIAL02_MILLHOUSE_05	Aspetta che metta insieme ancora un po' di Mana!	
TUTORIAL02_MILLHOUSE_06	Jaina, spero ti piaccia la ROOOOOOVINA!	
TUTORIAL02_MILLHOUSE_07	Altro Mana! Ecco che arriva!	
TUTORIAL02_MILLHOUSE_08	Sai qual è il mio passatempo preferito?	
TUTORIAL02_MILLHOUSE_09	VINCERE! Ah!	
TUTORIAL02_MILLHOUSE_10	Ah! Attenta ai miei baffi!	
TUTORIAL02_MILLHOUSE_11	Vedrai, questa ti piacerà!	
TUTORIAL02_MILLHOUSE_13	Vedrai quando avrò 10 Mana!	
TUTORIAL02_MILLHOUSE_15	Veloce! Non vedo l'ora di utilizzare questa carta!	
TUTORIAL02_MILLHOUSE_16	Dai, dai, dai, dai!	
TUTORIAL02_MILLHOUSE_17	Smettila di attaccarmi! Sto cercando di vincere la partita!	
TUTORIAL02_MILLHOUSE_19	Avrai notizie dal mio avvocato!	
TUTORIAL03_JAINA_01	Quello è Re Mukla! Attaccalo finché è da solo!	
TUTORIAL03_JAINA_05	Tutto qui, Mukla? Solo dei miseri barili?	
TUTORIAL03_JAINA_07	Uccidi quella scimmia, così potrò eliminare Mukla!	
TUTORIAL03_JAINA_12	Lo hai sentito anche tu?	
TUTORIAL03_JAINA_13	Ma cosa...?	
TUTORIAL03_JAINA_14	Perché quelle scimmie mi stanno tirando delle banane?	
TUTORIAL03_JAINA_15	Stupide scimmie!	
TUTORIAL03_JAINA_16	È troppo forte! Preoccupati di eliminare Mukla!	
TUTORIAL03_JAINA_17	Serve un servitore con Provocazione per quel gorilla gigante!	
TUTORIAL03_JAINA_18	Sono senza difese!	
TUTORIAL03_JAINA_19	Quell'essere è immenso... ma per lo meno non ha Provocazione.	
TUTORIAL03_MUKLA_01	rrrRRRAAAARRGH!	
TUTORIAL03_MUKLA_03	Eh eh eh...	
TUTORIAL03_MUKLA_04	Oh! Oh! Oh!	
TUTORIAL03_MUKLA_05	Ah! Oh ooh!	
TUTORIAL03_MUKLA_06	Raooh! Oh! Ooh!	
TUTORIAL04_HEMET_01	Ma guarda che bella donzella!	
TUTORIAL04_HEMET_02	Eh? Nessuno parla così al vecchio Hemet!	
TUTORIAL04_HEMET_03	Ah! Comincio io!	
TUTORIAL04_HEMET_04	Oh, buona fortuna, ti servirà!	
TUTORIAL04_HEMET_06	Ah, forse sei abituata ad affrontare solo servitori...	
TUTORIAL04_HEMET_07	...Ma qui c'è Hemet! E adora combattere le sue battaglie di persona.	
TUTORIAL04_HEMET_08	Una bestia! Ah ah ah, ne farò un trofeo!	
TUTORIAL04_HEMET_09	Spellerò quella bestia! Mi serve una sciarpa nuova.	
TUTORIAL04_HEMET_10	Bene, grazie per avermi portato uno stuzzichino!	
TUTORIAL04_HEMET_11	Ah ah! La gioia della caccia!	
TUTORIAL04_HEMET_12a	Ah! Andiamo!	
TUTORIAL04_HEMET_12b	Ah! Non si fa!	
TUTORIAL04_HEMET_13	Eh, forse dovrei ridarmi alla scrittura...	
TUTORIAL04_HEMET_15	Sai, tutto questo mi ricorda quando cacciavo la grande tigre Bangalash.	
TUTORIAL04_HEMET_16	Dimmi un po', hai mai letto il mio libro, Verdi Colline di Rovotorto?	
TUTORIAL04_HEMET_17	Tutto questo non sarebbe potuto succedere a Rovotorto!	
TUTORIAL04_HEMET_18	Ma-ma-ma-ma... sei soltanto una ragazzina!	
TUTORIAL04_HEMET_19	Inchinati di fronte alla mia IMMENSA Aberrazione delle Paludi!	
TUTORIAL04_HEMET_20	Ah ah! Fucilata!	
TUTORIAL04_JAINA_01	Chiudi il becco.	
TUTORIAL04_JAINA_02	Ma io ricevo una carta aggiuntiva.	
TUTORIAL04_JAINA_03	Non ho carte che richiedano un solo Mana.	
TUTORIAL04_JAINA_04	Ho anch'io i miei trucchetti, Nano.	
TUTORIAL04_JAINA_05	Infliggo un danno a un servitore o direttamente a Nesingwary?	
TUTORIAL04_JAINA_08	Uno di Salute? Un bersaglio perfetto.	
TUTORIAL04_JAINA_09	Devo trovare un modo per neutralizzare quel nemico.	
TUTORIAL05_ILLIDAN_01	Tu non sei pronta!!!	All of Illidan's lines are iconic from WoW, please use the same translation if possible.
TUTORIAL05_ILLIDAN_02	Assapora un odio vecchio di diecimila anni!	
TUTORIAL05_ILLIDAN_03	Guarda negli occhi del Traditore!	
TUTORIAL05_ILLIDAN_04	Chi sarà il prossimo ad assaggiare le mie lame?	
TUTORIAL05_ILLIDAN_05	Ammira le Fiamme di Azzinoth!	
TUTORIAL05_ILLIDAN_06	Tu non sai nulla del potere!	
TUTORIAL05_ILLIDAN_08	Contempla la potenza... del mio demone interiore!	
TUTORIAL05_ILLIDAN_09	Non posso essere toccato da rifiuti come voi!	
TUTORIAL05_ILLIDAN_10	Quanta arroganza!	
TUTORIAL05_ILLIDAN_11	Ora ci divertiamo!	
TUTORIAL05_JAINA_01	Non saprei, ho fatto solo cinque missioni.	
TUTORIAL05_JAINA_02	Il suo Potere Eroe... è così forte!	
TUTORIAL05_JAINA_05	Concentra i tuoi sforzi su Illidan!	
TUTORIAL05_JAINA_06	Non possiamo indugiare! Uccidilo!	
TUTORIAL06_CHO_01	Oh Jaina, è bello rivederti.	
TUTORIAL06_CHO_02	Mostrami ciò che hai imparato!	
TUTORIAL06_CHO_03	Ah ah! Bene! Bene!	
TUTORIAL06_CHO_04	Oh! Una saggia giocata.	
TUTORIAL06_CHO_05	La guerra dovrebbe essere l'ultima risorsa.	
TUTORIAL06_CHO_06	Umpf. Forse...	
TUTORIAL06_CHO_07	Ah! Prova a raggiungermi!	
TUTORIAL06_CHO_08	Ah! Sembrano tutti... così piccoli... da quassù!	
TUTORIAL06_CHO_09	Un solo punto di danno può fare la differenza tra la vittoria e la sconfitta.	
TUTORIAL06_CHO_12	Oh... Sei davvero potente.	
TUTORIAL06_CHO_15	Non sono molto pratico di spade e archi, ma d'altro canto ho molti amici.	
TUTORIAL06_CHO_17	Ho nuovi amici che sanno curare, non solo combattere!	
TUTORIAL06_CHO_20	Oh! Sei davvero forte, Jaina!	
TUTORIAL06_CHO_21	La paura porta all'odio. L'odio alla rabbia. La rabbia al mal di stomaco.	
TUTORIAL06_JAINA_01	Ramingo della Sapienza Cho.	
TUTORIAL06_JAINA_02	Non mi tirerò indietro.	
TUTORIAL06_JAINA_03	Sei un ingenuo, Ramingo della Sapienza.	
