TAG	TEXT	COMMENT
FB_BUILDABRAWL001	酒場の喧嘩ルール1を選んでくれ！	
FB_BUILDABRAWL002	酒場の喧嘩ルール2を選んでくれ！	
FB_ELO_GREATERSPIRITS	大ボーナスを選んでくれ！	
FB_ELO_SPIRITS	ボーナスを選んでくれ！	
GAMEPLAY_AI_OPPONENT_NAME	酒場のオヤジ	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>（自分のカードでダメージを\n受けるとアップグレード）</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>（自分のカードでダメージを\n受けるとアップグレード）</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>（自分のカードでダメージを\n受けるとアップグレード）</i>	
GAMEPLAY_BURNED_CARDS_HISTORY_TEXT	手札が一杯の時に引いたカードは破壊されるぞ。	
GAMEPLAY_BURNED_CARDS_TITLE	除去されたカード	
GAMEPLAY_CHOOSE_ONE	1枚選んでくれ	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MINIONS	1枚選ぼう、味方のミニオン全てが対象だ:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MURLOCS	1枚選ぼう、味方のマーロック全てが対象だ:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_RECRUITS	1枚選ぼう、味方の新兵全てが対象だ:	
GAMEPLAY_CHOOSE_ONE_HERO_POWER	1つ選んでくれ	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
GAMEPLAY_COIN_TOSS_LOST	カードを1枚余分に持てるぞ	
GAMEPLAY_COIN_TOSS_WON	あんたが先手だ	
GAMEPLAY_COPY_DEATHRATTLE	{0}から断末魔をコピー。	
GAMEPLAY_DIAMOND_SPELLSTONE_1	<i>（呪文を4回使用すると_\n__アップグレード）</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_2	<i>（呪文をあと3回使用__\n__するとアップグレード）</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_3	<i>（呪文をあと2回使用__\n__するとアップグレード）</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_4	<i>（呪文をあと1回使用__\n__するとアップグレード）</i>	
GAMEPLAY_DISCONNECT_BODY	対戦は完了し、記録されました！続行するにはハースストーンを再起動して下さい。 	
GAMEPLAY_DISCONNECT_BODY_RESET	対戦は完了し、記録されました！ハースストーンのサーバーに再接続しています。 	
GAMEPLAY_DISCONNECT_HEADER	通信切断  	
GAMEPLAY_DISCOVER_JUGGERNAUT	ライバル船長を選んでくれ…	
GAMEPLAY_DISCOVER_MYSTERY	相手は何を選んだんだろうな？	
GAMEPLAY_DONE_TURN	完了	
GAMEPLAY_EMOTE_LABEL_DISABLED_EMOTES	…	
GAMEPLAY_EMOTE_LABEL_FIREWORKS	おおっ！	
GAMEPLAY_EMOTE_LABEL_GREETINGS	あいさつ	
GAMEPLAY_EMOTE_LABEL_OOPS	おおっと	
GAMEPLAY_EMOTE_LABEL_SORRY	ごめん	
GAMEPLAY_EMOTE_LABEL_THANKS	ありがとう	
GAMEPLAY_EMOTE_LABEL_THREATEN	覚悟しろ	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	お見事	
GAMEPLAY_EMOTE_LABEL_WOW	おおっ！	
GAMEPLAY_EMOTE_SQUELCH	黙らせる	
GAMEPLAY_EMOTE_UNSQUELCH	黙らせない	
GAMEPLAY_END_OF_GAME_DEFEAT	敗北！	
GAMEPLAY_END_OF_GAME_DEFEAT_MAYBE	敗北？	
GAMEPLAY_END_OF_GAME_TIE_ESCAPED	脱出！	
GAMEPLAY_END_OF_GAME_VICTORY	勝利！	
GAMEPLAY_END_OF_GAME_VICTORY_MAYBE	勝利？	
GAMEPLAY_END_TURN	ターン終了	
GAMEPLAY_ENEMY_TURN	敵のターン	
GAMEPLAY_ERROR_PLAY_REJECTED	残念！あんたのターンは終わりだ。	
GAMEPLAY_FATIGUE_HISTORY_TEXT	カードが尽きたデッキからカードを引こうとすると、ヒーローは累積するダメージを受けるぞ。	
GAMEPLAY_FATIGUE_TEXT	カードがもう無い！{0}ダメージを受ける。	
GAMEPLAY_FATIGUE_TITLE	疲労	
GAMEPLAY_GOLDHERO_WINS	勝！ 	
GAMEPLAY_HISTORY_CREATED_BY	作成：\n{0}	0=name of a card
GAMEPLAY_JASPER_SPELLSTONE_1	<i>（装甲を3獲得すると__\n_アップグレード）</i>	
GAMEPLAY_JASPER_SPELLSTONE_2	<i>（装甲をあと2獲得__\n_するとアップグレード）</i>	
GAMEPLAY_JASPER_SPELLSTONE_3	<i>（装甲をあと1獲得__\n_するとアップグレード）</i>	
GAMEPLAY_LOOT_526d_DARKNESS_1	[x]相手がロウソクを\n3枚引くと\n目覚める！	
GAMEPLAY_LOOT_526d_DARKNESS_2	[x]相手がロウソクを\nあと2枚引くと\n目覚める！	
GAMEPLAY_LOOT_526d_DARKNESS_3	[x]相手がロウソクを\nあと1枚引くと\n目覚める！	
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MISSING_OPPONENT_NAME	対戦相手	
GAMEPLAY_MOBILE_BATTLECRY_CANCELED	雄叫びはキャンセルされた。	
GAMEPLAY_MOBILE_TARGETING_CANCELED	標的の選択をキャンセルしたぞ。	
GAMEPLAY_MULLIGAN_REPLACE	交換	
GAMEPLAY_MULLIGAN_STARTING_HAND	最初の手札	
GAMEPLAY_MULLIGAN_SUBTITLE	いらないカードは交換してくれ	
GAMEPLAY_MULLIGAN_WAITING	相手がまだ選択中だ…	
GAMEPLAY_NEXT_TURN	特別ターン	
GAMEPLAY_ONYX_SPELLSTONE_1	<i>（<b>断末魔</b>カードを\n3枚手札から使用\nするとアップグレード）</i>	
GAMEPLAY_ONYX_SPELLSTONE_2	<i>（<b>断末魔</b>カードを\nあと2枚手札から使用\nするとアップグレード）</i>        	
GAMEPLAY_ONYX_SPELLSTONE_3	<i>（<b>断末魔</b>カードを\nあと1枚手札から使用\nするとアップグレード）</i>	
GAMEPLAY_PEARL_SPELLSTONE_1	<i>（体力を3回復すると\nアップグレード）</i>	
GAMEPLAY_PEARL_SPELLSTONE_2	<i>（体力をあと2回復するとアップグレード）</i>	
GAMEPLAY_PEARL_SPELLSTONE_3	<i>（体力をあと1回復するとアップグレード）</i>	
GAMEPLAY_PlayErrors_REQ_ATTACK_GREATER_THAN_0	攻撃力がないキャラクターは攻撃できないぞ	
GAMEPLAY_PlayErrors_REQ_ATTACKER_CAN_ATTACK	そのキャラクターは攻撃できないぞ	
GAMEPLAY_PlayErrors_REQ_ATTACKER_NOT_FROZEN	凍結中のキャラクターは攻撃できないぞ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_ATTACKED	攻撃を受けないキャラクターだ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_BATTLECRIES	雄叫びの効果の標的にならないぞ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_COMBOS	コンボの効果の標的にならないぞ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_HERO_POWERS	ヒーローパワーの標的にならないぞ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_OPPONENTS	標的にできないキャラクターだ	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_SPELLS	呪文の標的にならないぞ	
GAMEPLAY_PlayErrors_REQ_CANNOT_PLAY_THIS	そのカードは使えないぞ	
GAMEPLAY_PlayErrors_REQ_CHARGE_TARGET	「突撃」を持つキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_DAMAGED_TARGET	ダメージを受けているキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_DRAG_TO_PLAY	そいつは標的までドラッグしてくれ	
GAMEPLAY_PlayErrors_REQ_ENCHANTED_TARGET	魔力付与を受けてるキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET	敵を1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET_NOT_IMMUNE	そのキャラクターは無敵状態だ	
GAMEPLAY_PlayErrors_REQ_ENEMY_WEAPON_EQUIPPED	相手が武器を装備してないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_ENOUGH_HEALTH	体力が足りないぞ	
GAMEPLAY_PlayErrors_REQ_ENOUGH_MANA	マナが足りないぞ	
GAMEPLAY_PlayErrors_REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY	トーテムがもう全種類揃ってるぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_DEATHRATTLE_MINION_DIED_THIS_GAME	この対戦ではまだ味方の断末魔ミニオンが死んでないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_GAME	この対戦で、味方のミニオンは死亡してないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_TURN	このターン、味方のミニオンは死亡してないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_OF_RACE_DIED_THIS_TURN	このターンに適切な味方のミニオンが死んでないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_OF_RACE_IN_HAND	適切なミニオンが手札にいないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINIONS_OF_RACE_DIED_THIS_GAME	この対戦では対象になる味方のミニオンが死んでないぞ	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_TARGET	仲間のキャラクターを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_FROZEN_TARGET	「凍結」中のキャラクターを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_HAND_NOT_FULL	手札が多過ぎるぞ	
GAMEPLAY_PlayErrors_REQ_HERO_OR_MINION_TARGET	対象にするキャラクターを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_HERO_TARGET	対象にするヒーローを選んでくれ	
GAMEPLAY_PlayErrors_REQ_LEGENDARY_TARGET	標的に選べるのはレジェンドのミニオンだけだ	
GAMEPLAY_PlayErrors_REQ_MAX_QUESTS	クエストは{0}個までしか準備できないぞ	
GAMEPLAY_PlayErrors_REQ_MAX_SECRETS	秘策は{0}個までしか準備できないぞ	
GAMEPLAY_PlayErrors_REQ_MINIMUM_ENEMY_MINIONS	敵のミニオンが最低{0}体いないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_MINIMUM_TOTAL_MINIONS	戦場にミニオンが最低{0}体いないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_MINION_CAP	これ以上ミニオンを持てないぞ	
GAMEPLAY_PlayErrors_REQ_MINION_CAP_IF_TARGET_AVAILABLE	これ以上ミニオンを持てないぞ	
GAMEPLAY_PlayErrors_REQ_MINION_OR_ENEMY_HERO	ミニオン1体、または敵のヒーローを選んでくれ	
GAMEPLAY_PlayErrors_REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT	これ以上ミニオンもマナクリスタルも持てないぞ	
GAMEPLAY_PlayErrors_REQ_MINION_TARGET	ミニオンを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_MUST_PLAY_OTHER_CARD_FIRST	先に手札を使ってくれ	
GAMEPLAY_PlayErrors_REQ_MUST_TARGET_TAUNTER	「挑発」を持つミニオンを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_NONSELF_TARGET	ミニオンは自身を標的にできないぞ	
GAMEPLAY_PlayErrors_REQ_NONSTEALTH_ENEMY_TARGET	「隠れ身」中のキャラクターは\n標的にも攻撃対象にもできないぞ	
GAMEPLAY_PlayErrors_REQ_NOT_DISABLED_HERO_POWER	ヒーローパワーを使えない	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_ACTIVATE	そのキャラクターは既に攻撃したぞ	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_HERO_POWER	ヒーローパワーが使えるのは\n1ターンに1回だけだ	
GAMEPLAY_PlayErrors_REQ_NOT_MINION_JUST_PLAYED	ミニオンは場に出たターンには\n攻撃できないぞ	
GAMEPLAY_PlayErrors_REQ_NUM_MINION_SLOTS	それを使うにはミニオンが多過ぎるぞ	
GAMEPLAY_PlayErrors_REQ_OPPONENT_PLAYED_CARDS_THIS_GAME	相手がまだカードを使ってないぞ	
GAMEPLAY_PlayErrors_REQ_SECRET_ZONE_CAP	秘策とクエストは{0}個までしか準備できないぞ	
GAMEPLAY_PlayErrors_REQ_STEALTHED_TARGET	隠れ身を持つキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_SUBCARD_IS_PLAYABLE	どちらの効果も選択できないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_ATTACKED_THIS_TURN	既に攻撃したキャラクターを1体選んでくれ	
GAMEPLAY_PlayErrors_REQ_TARGET_EXACT_COST	コスト{0}のミニオンを選んでくれ	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_COMBO	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_NO_COMBO	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_MAGNET	標的にするべきミニオンがいるぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_MAX_ATTACK	攻撃力{0}以下のキャラクターを1体選んでくれ。	
GAMEPLAY_PlayErrors_REQ_TARGET_MIN_ATTACK	攻撃力{0}以上のキャラクターを1体選んでくれ。	
GAMEPLAY_PlayErrors_REQ_TARGET_NOT_DAMAGEABLE_ONLY_BY_WEAPONS	そのキャラクターは武器でしかダメージを受けないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_NOT_VAMPIRE	そのミニオンは既に吸血鬼だ	
GAMEPLAY_PlayErrors_REQ_TARGET_TAUNTER_CHARACTER	「挑発」を持つキャラクターが邪魔だ	
GAMEPLAY_PlayErrors_REQ_TARGET_TAUNTER_MINION	「挑発」を持つミニオンが邪魔だ	
GAMEPLAY_PlayErrors_REQ_TARGET_TO_ATTACK	攻撃する標的がないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_TO_PLAY	そのカードは標的がいないと使えないぞ	
GAMEPLAY_PlayErrors_REQ_TARGET_WITH_BATTLECRY	「雄叫び」を持つキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_TARGET_WITH_DEATHRATTLE	「断末魔」を持つキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_TARGET_WITH_RACE	種族が合ってないぞ	
GAMEPLAY_PlayErrors_REQ_UNDAMAGED_TARGET	ダメージを受けていないキャラクターを選んでくれ	
GAMEPLAY_PlayErrors_REQ_UNIQUE_SECRET	その秘策は既に準備されてるぞ	
GAMEPLAY_PlayErrors_REQ_WEAPON_EQUIPPED	武器を装備していないと使えないぞ	
GAMEPLAY_RESTART_PUZZLES	パズルをロード中…	
GAMEPLAY_RUBY_SPELLSTONE_1	<i>（エレメンタルを2体\n手札から使用すると\nアップグレード）</i>	
GAMEPLAY_RUBY_SPELLSTONE_2	<i>（エレメンタルをあと1体\n手札から使用すると\nアップグレード）</i>	
GAMEPLAY_SAPPHIRE_SPELLSTONE_1	<i>（マナクリスタルを3つ\n<b>オーバーロード</b>させると\nアップグレード）</i>	
GAMEPLAY_SAPPHIRE_SPELLSTONE_2	<i>（マナクリスタルをあと2つ__\n<b>オーバーロード</b>させると\nアップグレード）</i>	
GAMEPLAY_SAPPHIRE_SPELLSTONE_3	<i>（マナクリスタルをあと1つ__\n<b>オーバーロード</b>させると\nアップグレード）</i>	
GAMEPLAY_SCORE_SCREEN_TITLE_CONGRATS	おめでとう！	
GAMEPLAY_SECRET_BANNER_TITLE	秘策発動！	
GAMEPLAY_SECRET_DESC	条件が満たされるまで効果は秘密だ…\n気をつけろ！	
GAMEPLAY_SECRET_NAME	秘策	
