TAG	TEXT	COMMENT
GLOBAL_ACCOUNT	アカウント	
GLOBAL_ADDFRIEND_BUTTON	友達として追加	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	そいつはもうあんたの友達だぞ。	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	相手のEメールアドレスか、Battle Tagが必要だぞ。	
GLOBAL_ADDFRIEND_HEADER	友達を追加	
GLOBAL_ADDFRIEND_INSTRUCTION	相手のEメールアドレスかBattle Tagを入力してくれ。	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	友達リクエストを送ったぞ。	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	選択	
GLOBAL_ADVENTURE_DESC_HEADER	アドベンチャー	
GLOBAL_ADVENTURE_TRAY_HEADER	どのアドベンチャーにする？	
GLOBAL_APPROXIMATE_DATETIME	～{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	～{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	見習いのカギ	
GLOBAL_ARENA_MEDAL_1	徒弟のカギ	
GLOBAL_ARENA_MEDAL_10	フロストボーンのカギ	
GLOBAL_ARENA_MEDAL_11	モルテンのカギ	
GLOBAL_ARENA_MEDAL_12	ライトフォージのカギ	
GLOBAL_ARENA_MEDAL_2	職人のカギ	
GLOBAL_ARENA_MEDAL_3	銅のカギ	
GLOBAL_ARENA_MEDAL_4	銀のカギ	
GLOBAL_ARENA_MEDAL_5	金のカギ	
GLOBAL_ARENA_MEDAL_6	プラチナのカギ	
GLOBAL_ARENA_MEDAL_7	ダイヤモンドのカギ	
GLOBAL_ARENA_MEDAL_8	勇者のカギ	
GLOBAL_ARENA_MEDAL_9	ルビーのカギ	
GLOBAL_ARENA_SEASON_ERROR_NOT_ACTIVE	悪いな、その闘技場モードはもう利用できなくなったんだ。何分か待ってからもう一度試してくれ。	
GLOBAL_ASSET_DOWNLOAD	アセットのダウンロード	
GLOBAL_ASSET_DOWNLOAD_ALERT	対戦中のアセットのダウンロードが無効になっています。	
GLOBAL_ASSET_DOWNLOAD_AWAITING_FETCH	アップデート確認中…	
GLOBAL_ASSET_DOWNLOAD_AWAITING_OTHER_DOWNLOAD	待機中	
GLOBAL_ASSET_DOWNLOAD_AWAITING_WIFI	Wi-Fiが必要	
GLOBAL_ASSET_DOWNLOAD_BYTE_SYMBOL	B	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_BODY	モバイルデータ通信でダウンロードする。	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_HEADER	モバイルデータ通信	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_BODY	Wi-FI接続を利用できないぞ。残り {0} を、モバイルデータ通信を使ってダウンロードするか？	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_HEADER	モバイルデータ通信	
GLOBAL_ASSET_DOWNLOAD_COMPLETE	完了	
GLOBAL_ASSET_DOWNLOAD_DETAILS_AUDIO	オーディオ	
GLOBAL_ASSET_DOWNLOAD_DETAILS_HIGHRES	高解像度テクスチャー	
GLOBAL_ASSET_DOWNLOAD_DISABLED	無効	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_BODY	ハースストーンにアセットのダウンロードを許可する。	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_HEADER	ダウンロードを有効にする	
GLOBAL_ASSET_DOWNLOAD_ENABLED	有効	
GLOBAL_ASSET_DOWNLOAD_ERROR_AGENT_IMPEDED	通信速度が遅い	
GLOBAL_ASSET_DOWNLOAD_ERROR_CELLULAR_DISABLED	モバイルデータ通信無効	
GLOBAL_ASSET_DOWNLOAD_ERROR_DOWNLOAD_DISABLED	ダウンロード無効	
GLOBAL_ASSET_DOWNLOAD_ERROR_OUT_OF_STORAGE	空き容量不足	
GLOBAL_ASSET_DOWNLOAD_GIGABYTE_SYMBOL	GB	
GLOBAL_ASSET_DOWNLOAD_INTENTION_PAUSED	（一時停止中）	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_BODY	データをダウンロードできるぞ。残り {0} をダウンロードするか？	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_HEADER	追加データ	
GLOBAL_ASSET_DOWNLOAD_KILOBYTE_SYMBOL	KB	
GLOBAL_ASSET_DOWNLOAD_MEGABYTE_SYMBOL	MB	
GLOBAL_ASSET_DOWNLOAD_PAUSED	一時停止中	
GLOBAL_ASSET_DOWNLOAD_SETTINGS	設定	
GLOBAL_ASSET_DOWNLOAD_STATUS	残り{0} @ {1}/秒	
GLOBAL_ASSET_DOWNLOAD_STATUS_DECIMAL_FORMAT	{0}.{1} {2}	
GLOBAL_ASSET_DOWNLOAD_STATUS_SHORT	{0} @ {1}/秒	
GLOBAL_ASSET_INTENTION_DONE	完了	
GLOBAL_ASSET_INTENTION_DOWNLOADING_EXPANSION_MUSIC	追加サウンド（2/3）	
GLOBAL_ASSET_INTENTION_DOWNLOADING_HIGH_RES_PORTRAITS	高解像度カードアート	
GLOBAL_ASSET_INTENTION_DOWNLOADING_LEGEND_STINGERS	追加サウンド（1/3）	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MINION_PLAY_SOUNDS	ミニオンの効果音	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MISSION_SOUNDS	ソロ・アドベンチャー用サウンド	
