TAG	TEXT	COMMENT
BOTA_PUZZLE_CONGRATULATIONS	お見事！	
BOTA_PUZZLE_END_TURN_REMINDER	行き詰まったらやり直すんだ。	
BOTA_PUZZLE_LOADING	次のパズルをロード中…	
BOTA_PUZZLE_PROGRESS	パズル {0}/{1}	
BOTA_PUZZLE_RESETTING	パズルをリセット中…	
DALA_MISSION_CHAPTER_SUBTEXT_01	ダララン銀行	
DALA_MISSION_CHAPTER_SUBTEXT_01_HEROIC	ダララン銀行（ヒロイック）	
DALA_MISSION_CHAPTER_SUBTEXT_02	ヴァイオレット監獄	
DALA_MISSION_CHAPTER_SUBTEXT_02_HEROIC	ヴァイオレット監獄（ヒロイック）	
DALA_MISSION_CHAPTER_SUBTEXT_03	ダラランの街	
DALA_MISSION_CHAPTER_SUBTEXT_03_HEROIC	ダラランの街（ヒロイック）	
DALA_MISSION_CHAPTER_SUBTEXT_04	最下層	
DALA_MISSION_CHAPTER_SUBTEXT_04_HEROIC	最下層（ヒロイック）	
DALA_MISSION_CHAPTER_SUBTEXT_05	キリン・トア城砦	
DALA_MISSION_CHAPTER_SUBTEXT_05_HEROIC	キリン・トア城砦（ヒロイック）	
DALA_TAVERN_POPUP	今回のアドベンチャーデッキを改造しよう:\nミニオンの追加や削除などができるぞ！	
DALA_TAVERN_TURN_START	友好的な遭遇	
FB_BUILDABRAWL_001	召喚されし我が力	
FB_BUILDABRAWL_002	[x]インポッシブルな\n我が力	
FB_BUILDABRAWL_003	ヨグ＝サロンの我が力	
FB_BUILDABRAWL_004	クラッシュ・オブ・我が力	
FB_BUILDABRAWL_005	ランダム召喚地獄ファイト	
FB_BUILDABRAWL_006	ランダム: インポッシブル	
FB_BUILDABRAWL_007	[x]ヨグ＝サロン地獄の\n一丁目	
FB_BUILDABRAWL_008	クラッシュ・オブ・一丁目	
FB_BUILDABRAWL_009	召喚ファイトの戦い 	
FB_BUILDABRAWL_010	ミニオン: インポッシブルの戦い	
FB_BUILDABRAWL_011	ヨグ＝サロンの下僕の戦い	
FB_BUILDABRAWL_012	クラッシュ・オブ・トル・バラド	
FB_BUILDABRAWL_013	鮮血ファイト	
FB_BUILDABRAWL_014	鮮血のインポッシブル	
FB_BUILDABRAWL_015	ヨグ＝サロンの鮮血	
FB_BUILDABRAWL_016	クラッシュ・オブ・鮮血	
FB_BUILDABRAWL_INTRO	現在の喧嘩:	
FB_BUILDABRAWL_NOTSTARTED	炉端の喧嘩はまだ始まってないぞ。酒場の主人/女将に頼んで「喧嘩カクテル」を設定してもらってくれ！	
FB_CHAMPS_FIREBAT_DRUID	Firebatは決勝戦をドルイドデッキで戦い…一戦も落とさず勝利して、2014年世界チャンピオンになったんだ！	
FB_CHAMPS_FIREBAT_HUNTER	Firebatは自分のローグデッキを負かしたDTwoのウォーロックに報復するため、このハンターデッキを選んだんだ…	
FB_CHAMPS_FIREBAT_ROGUE	2014年世界選手権準決勝戦で、Firebatはまさにミラクルな12/4の「ガジェッツァンの競売人」でDTwoのプリーストにリーサルを決めたんだ！	
FB_CHAMPS_FIREBAT_WARLOCK	2014年世界選手権決勝戦、FirebatのウォーロックデッキはTiddler Celestialに使用禁止に指定された。その実力が、今明かされる？！	
FB_CHAMPS_OSTKAKA_MAGE	OstkakaはこのフリーズメイジでHotformのテンポメイジと戦い、ファイアーボールの連打で焼き尽くしたんだ。なんたる皮肉！	
FB_CHAMPS_OSTKAKA_ROGUE	2015年世界選手権決勝戦の最後の試合、OstkakaはHotformのドルイドを下し、世界チャンピオンの殿堂に名を刻んだんだ！	
FB_CHAMPS_OSTKAKA_WARRIOR	「ぐったりガブ呑み亭の常連」達がOstkakaを勝利に導いたぞ…しかも「ウォーソングの武将」なしで、だ。これぞスタイリッシュなプレイ、ってヤツだ！	
FB_CHAMPS_PAVEL_DRUID	PavelはミラーマッチでDrHippiに勝利したぞ。大型ミニオン達に注目だ！	
FB_CHAMPS_PAVEL_MAGE	Pavelのメイジは、2016年の選手権で何度も劇的勝利を収めて来たんだ。あんたはどうかな？	
FB_CHAMPS_PAVEL_ROGUE	Pavelのローグデッキは、アグロデッキには少々手こずるかもしれないが、ものすごい爆発力を秘めてるぞ！	
FB_CHAMPS_PAVEL_SHAMAN	Pavelのシャーマンデッキは、いつも対戦相手から使用禁止に指定されてたんだ。だがここでは禁止されないぞ！	
