TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	オオオオオ！	
ChromaggusBoss_EmoteResponse_1	ウゥゥ～～～ッ！	
ChromaggusBoss_Start_1	ウオオ！	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<チュー>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<チュー>	
LOE_07_MINE_CART_EMOTES	ガラーン	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<吠える>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<グツグツ>	
LOOTA_BOSS_52h_TreasureVault_Emote	<チャリーン>	
OnyxiaBoss_Death_1	オオオオオ！	
OnyxiaBoss_EmoteResponse_1	ウゥゥ～～～ッ！	
OnyxiaBoss_Start_1	ウオオ！	
POPUP_FROST_BRAWL	疲労！次のターンの最後に体力が多い方のヒーローがこの試合の勝者だ。	
POPUP_FROST_BRAWL_ARMOR	この喧嘩では装甲の陰にこそこそ隠れるのは無しだ！	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<ゲップ>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<カチッ>	
VO_Ahune_Male_Elemental_Brawl_01	そうだ！ラグナロスを叩きのめせ！	
VO_Ahune_Male_Elemental_Brawl_02	今強いのはどちらだ、炎のバカめ？ 	
VO_Ahune_Male_Elemental_Brawl_03	我は復讐を成し遂げたぞ！	
VO_Ahune_Male_Elemental_Brawl_04	今「アゼロスで一番冒険者に殺されそうなヤツ」はどちらだ？！	
VO_Ahune_Male_Elemental_Brawl_05	今「虫ケラ」なのはどちらだ？！	
VO_Ahune_Male_Elemental_Brawl_07	氷の石が融けたぞ！	
VO_Ahune_Male_Elemental_Brawl_08	バカどもを一番多く破壊できるのは誰だ？！	
VO_Ahune_Male_Elemental_Brawl_11	素晴らしいスコアだ！	
VO_Ahune_Male_Elemental_Brawl_15	もっとラグナロスをしっかりと破壊するのだ！	
VO_Ahune_Male_Elemental_Brawl_16	おお！お前は本当にラグナロスを憎んでいるな！	
VO_Aran_Male_Shade_AranCrackle_01	フン！わしの若い頃は、「バリバリ」は必ず6ダメージだったものだ。	
VO_Aran_Male_Shade_AranDeath_02	またか…	
VO_Aran_Male_Shade_AranEmoteResponse_01	出て行け！出て行け！	
VO_Aran_Male_Shade_AranHeroPower_01	燃えろ！このチンピラども！	
VO_Aran_Male_Shade_AranMedivhSkin_01	メディヴ？い、いや、わしは客人の邪魔はしておらんぞ…	
VO_Aran_Male_Shade_AranOpen_01	礼儀を教えてやろう！	
VO_Aran_Male_Shade_AranSpell_03	冷たい闇の中に帰るんだな！	
VO_Aran_Male_Shade_AranSpell_04	我が主は強い。だが、わしには自分の魔法がある！	
VO_Aran_Male_Shade_AranTrons_02	あぁ！やめてくれ！「ハローハロー」うるさい！ハロー注意報か！	
VO_Aran_Male_Shade_AranTurn1_01	わしの塔でやかましい音楽は禁止だ！	
VO_Aran_Male_Shade_AranTurn5_01	わしをただの道化師などと思ったのか？ニーラス・アランだぞ！	
VO_Barnes_Male_Human_FinalNazraTurn5_02	助けて！バナナがもうない！ムクラがバナナを探して食糧庫を荒らしてます！	
VO_Barnes_Male_Human_JulianneTurn5_01	パーティには舞台劇がつきもの。そして劇には観客が不可欠なのですよ！	
VO_Barnes_Male_Human_JulianneWin_01	これにて第一幕は終了！あと二幕のお付き合いを！	
VO_Barnes_Male_Human_Wing2Intro_02	当劇場へようこそ！私はバーンズ、舞台監督です。メディヴ殿を助けるためのポータルはこの上の階にございます。が、その前に、私どものショーをお楽しみください！	
VO_Barnes_Male_Human_WolfBigMinion_01	おばあちゃん、どうしておばあちゃんのミニオンはそんなに大きいの？	
VO_Barnes_Male_Human_WolfClaws_01	心配ご無用！あの巨大なツメはただの小道具です！	
VO_Barnes_Male_Human_WolfTurn5_01	観客を巻き込むことで、劇は完成するのです！さあ、お逃げなさい！	
VO_Barnes_Male_Human_WolfTurn9_01	ハッハー！なんて見事なショーだ！先週追い回したオーガよりも素晴らしい！	
VO_Barnes_Male_Human_WolfWin_01	ハハハ！いよいよフィナーレです！	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	この手で叩き潰してやるぞ！	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	やられた！？クソー！	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	ウウゥゥゥ…	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	アオ～ン！	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	ンフッフッフッ…\nうまいなぁ！	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	お嬢ちゃん！さぁ早く逃げな！	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	おや赤ずきんちゃん、一体どこに行くんだい？	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	お前のミニオンを見てみろ。オレが怖くてビビってるぜ！	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	かかってこい。	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	罠か？	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	犠牲はつきものだ。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	いつでもどうぞ。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	いつでもどうぞ。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	あと3手だな。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	まだいける。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	当然だな。	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	誰も通さん！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_02	ゴーレムがたくさん、いいアルね！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_03	アーッハッハッハ！行くアル、我が軍団よ！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_04	もう1体！もう1体！	
VO_BOSS_AYA_Female_Pandaren_BC_2_1st_Turn_Start_01	そうアルか…じゃあ、ガジェッツァンはアタシがもらうアル！	
VO_BOSS_AYA_Female_Pandaren_BC_2_2nd_Turn_Start_01	ガジェッツァンは翡翠蓮のもの、そして翡翠蓮はアタシのものアル！	
