TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	ブラックロック・クラスチャレンジ	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	ブラックロック・マウンテン（ヒロイック）	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	ブラックロック・マウンテン	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	ナクスラーマス・クラスチャレンジ	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	ナクスラーマス（ヒロイック）	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	ナクスラーマス	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_DRUID	ブラックロック・ドルイド・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_HUNTER	ブラックロック・ハンター・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_MAGE	ブラックロック・メイジ・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PALADIN	ブラックロック・パラディン・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PRIEST	ブラックロック・プリースト・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_ROGUE	ブラックロック・ローグ・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_SHAMAN	ブラックロック・シャーマン・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARLOCK	ブラックロック・ウォーロック・チャレンジ	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARRIOR	ブラックロック・ウォリアー・チャレンジ	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_ATRAMEDES	アトラメデス（ヒロイック）	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_BARON_GEDDON	バロン・ゲドン（ヒロイック）	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_CHROMAGGUS	クロマガス（ヒロイック）	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DARK_IRON_ARENA	ダークアイアン闘技場（ヒロイック）	feel free to shorten long translations since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DRAKKISATH	ドラキサス（ヒロイック）	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GARR	ガァア（ヒロイック）	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GRIM_GUZZLER	ぐったりガブ呑み亭（ヒロイック）	
