TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	ハッハッハッハ！	
TUTORIAL01_HOGGER_02	フン！	
TUTORIAL01_HOGGER_04	ハ、ハ、ハ！ガォォォ。	
TUTORIAL01_HOGGER_05	ヒヒヒハハハ！	
TUTORIAL01_HOGGER_06	ヘヘヘホーホーホー！	
TUTORIAL01_HOGGER_07	ハッハァーッ！	
TUTORIAL01_HOGGER_08	アアァァォォー！！	
TUTORIAL01_JAINA_01	来なさい！	
TUTORIAL01_JAINA_02	共に戦うミニオンが必要だわ。	
TUTORIAL01_JAINA_03	貴方の番よ、ノール。	
TUTORIAL01_JAINA_04	後悔するわよ！	
TUTORIAL01_JAINA_05	見事ね。	
TUTORIAL01_JAINA_06	フフッ！もう1体のミニオン。これが必要だったの。	
TUTORIAL01_JAINA_07	私の思い通りの展開だわ。	
TUTORIAL01_JAINA_09	ハッ！食らいなさい！	
TUTORIAL01_JAINA_10	攻撃力5？デカいわね！	
TUTORIAL01_JAINA_13	柵の中にお帰り、ホガー。	
TUTORIAL01_JAINA_15	ハッ！そのダメージでは私のミニオンは殺せないわ！	
TUTORIAL01_JAINA_16	次は貴方よ、ホガー！	
TUTORIAL01_JAINA_17	んん…ノールの1体を攻撃するか、それともホガーを？	
TUTORIAL01_JAINA_18	あのでかいノールを倒してもいいし、飼い主を叩くこともできるわ。	
TUTORIAL01_JAINA_19	呪文カード！1回限りの使い切り。だから有効に使わないと…	
TUTORIAL01_JAINA_20	ともかく、ホガーはこのターン、カードを使えなかったわ…	
TUTORIAL01_JAINA_21	一度にカード2枚？手札を温存していたのね。	
TUTORIAL02_JAINA_03	わからないわ。	
TUTORIAL02_JAINA_04	次のターンになって、マナが溜まるのを待たないと。	
TUTORIAL02_JAINA_05	これを使うには、もっとマナがいるわ。	
TUTORIAL02_JAINA_07	さらなるカード！やったわ！	
TUTORIAL02_JAINA_08	ああ。マナが回復したわ。	
TUTORIAL02_MILLHOUSE_01	何だとッ？ワシは先手がよかったのに！	
TUTORIAL02_MILLHOUSE_02	ジェイナ！この無敵のミルハウス・マナストーム様に勝てるかなぁーっ？！	
TUTORIAL02_MILLHOUSE_03	なぁにっかなぁ～～、そのミニオーン？はぁ？マーロックぅぅ～？ぶひゃひゃひゃひゃ！	
TUTORIAL02_MILLHOUSE_04	うおっ！うほぉーっ！すっげぇカードキターーッ！！	
TUTORIAL02_MILLHOUSE_05	いい気になるなよ、マナさえ溜まったらワシは！	
TUTORIAL02_MILLHOUSE_06	ジェイナ、あれかね、チミは好きかね。はぁ・めぇ・つぅ、は！	
TUTORIAL02_MILLHOUSE_07	さらにマナが！溜まってキターッ！	
TUTORIAL02_MILLHOUSE_08	チミチミ、ワシが後でなんて言って謝るか、知っとるかね？	
TUTORIAL02_MILLHOUSE_09	「アイム、勝利ィ～～～ッ！」ギャハーッ！	
TUTORIAL02_MILLHOUSE_10	痛たたっ！ワシのヒゲが！	
TUTORIAL02_MILLHOUSE_11	こいつは気に入るんじゃないかぁ～？	
TUTORIAL02_MILLHOUSE_13	待ってろよー、10マナ溜まりさえすれば！	
TUTORIAL02_MILLHOUSE_15	早くしろ！ワシは早くこのカードを使いたいんだ！早く！早く！早く！早く！	
TUTORIAL02_MILLHOUSE_16	ほら、ほら、ほら、ほら！	
TUTORIAL02_MILLHOUSE_17	ワシを攻撃するな！ワシはこのゲームに勝ちたいんだ！	
TUTORIAL02_MILLHOUSE_19	訴えてやるからな！	
TUTORIAL03_JAINA_01	キング・ムクラだわ！1人でいる内に倒さないと！	
TUTORIAL03_JAINA_05	それで終わりなの、ムクラ？ただのタルで？	
TUTORIAL03_JAINA_07	あのサルを始末しないと、攻撃できないわ！	
TUTORIAL03_JAINA_12	あの音は何？	
TUTORIAL03_JAINA_13	そんなっ…？！	
TUTORIAL03_JAINA_14	あのサルたち、なぜバナナを投げつけてくるの？	
TUTORIAL03_JAINA_15	ふざけたサルどもね！	
TUTORIAL03_JAINA_16	強すぎるわ！ムクラの方を倒すしかない！	
TUTORIAL03_JAINA_17	あの巨大ゴリラを挑発しておくミニオンが必要よ！	
TUTORIAL03_JAINA_18	守りがガラ空きだわ！	
TUTORIAL03_JAINA_19	あいつはデカいけど…幸運にも、「挑発」を持っていないわ。	
TUTORIAL03_MUKLA_01	グァァオオオオオオオオオ！	
TUTORIAL03_MUKLA_03	ヒー、ヒー、ヒー…	
TUTORIAL03_MUKLA_04	オォオ！オォオ！オォオ！	
TUTORIAL03_MUKLA_05	ハッ！オォッ、オォオ！	
TUTORIAL03_MUKLA_06	アオォーッ！オォォオ！オオォーッ！	
TUTORIAL04_HEMET_01	これはこれは、可愛らしいお嬢ちゃんだ。	
TUTORIAL04_HEMET_02	ああん？このヒーメット様に舐めたような口を！	
TUTORIAL04_HEMET_03	ハッ！ワシが、先手だ！	
TUTORIAL04_HEMET_04	でなきゃ、勝負にもならんさ！	
TUTORIAL04_HEMET_06	ミニオンどもとの戦いには慣れとるんだろう、嬢ちゃんよ。	
TUTORIAL04_HEMET_07	だがこのヒーメットは自ら戦うのだ！	
TUTORIAL04_HEMET_08	獣だ！そいつは記念の剥製にするとしよう！	
TUTORIAL04_HEMET_09	その獣は皮を剥ごう！新しいスカーフにちょうどいい。	
TUTORIAL04_HEMET_10	ハッ、つまみを用意してくれるたぁありがたい！	
