TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	[x]<b>躱し身</b>、<b>猛毒</b>\n<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	[x]<b>躱し身</b>、<b>猛毒</b>\n自身を除く\n味方のミニオンは\n____攻撃力+1を得る。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>躱し身</b>、<b>猛毒</b>\n自分のターンの終了時\n自分のヒーローに\n_____3ダメージを与える。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>躱し身</b>、<b>猛毒</b>\n自分のターンの開始時\nこのミニオンの\n_____攻撃力を2倍にする。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	[x]<b>躱し身</b>、<b>猛毒</b>\n味方のミニオン\n1体につきコストが\n（1）減る。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	[x]<b>躱し身</b>、<b>猛毒</b>\n<b>雄叫び:</b>\nこれのコピーを\n1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>躱し身</b>、<b>猛毒</b>\n<b>断末魔:</b>\nこれを自分の\n___デッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n自身を除く味方のミニオン\nは攻撃力+1を得る。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n自分のターンの終了時\n自分のヒーローに\n___3ダメージを与える。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n自分のターンの開始時\nこのミニオンの\n攻撃力を2倍にする。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n味方のミニオン\n1体につきコストが\n（1）減る。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n<b>雄叫び:</b>_これのコピーを\n__1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>聖なる盾</b>、<b>挑発</b>\n<b>生命奪取</b>、<b>急襲</b>\n<b>断末魔:</b>_これを自分の\n___デッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]自身を除く味方のミニオン\nは攻撃力+1を得る。\n自分のターンの終了時\n自分のヒーローに\n___3ダメージを与える。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]自身を除く味方のミニオン\nは攻撃力+1を得る。\n自分のターンの開始時\nこのミニオンの\n_攻撃力を2倍にする。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]自身を除く味方のミニオン\nは攻撃力+1を得る。\n味方のミニオン\n1体につきコストが\n（1）減る。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	[x]自身を除く味方のミニオン\nは攻撃力+1を得る。\n<b>雄叫び:</b>_これのコピーを\n__1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]自身を除く味方のミニオン\nは攻撃力+1を得る。\n<b>断末魔:</b>_これを自分の\nデッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]自分のターンの終了時\n自分のヒーローに\n3ダメージを与える。\n自分のターンの開始時\nこのミニオンの\n攻撃力を2倍にする。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]自分のターンの終了時\n自分のヒーローに\n3ダメージを与える。\n味方のミニオン1体につき\nコストが（1）減る。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	[x]自分のターンの終了時\n自分のヒーローに\n3ダメージを与える。\n<b>雄叫び:</b>_これのコピーを\n__1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]自分のターンの終了時\n自分のヒーローに\n3ダメージを与える。\n<b>断末魔:</b>_これを自分の\nデッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]自分のターンの開始時\nこのミニオンの\n攻撃力を2倍にする。\n味方のミニオン1体につき\nコストが（1）減る。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	[x]自分のターンの開始時\nこのミニオンの\n攻撃力を2倍にする。\n<b>雄叫び:</b>_これのコピーを\n__1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]自分のターンの開始時\nこのミニオンの\n攻撃力を2倍にする。\n<b>断末魔:</b>_これを自分の\nデッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	[x]味方のミニオン\n1体につきコストが\n（1）減る。\n<b>雄叫び:</b>_これのコピーを\n__1体召喚する。	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]味方のミニオン1体につき\nコストが（1）減る。\n<b>断末魔:</b>_これを自分の\nデッキに混ぜる。	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>雄叫び:</b>_これのコピーを\n__1体召喚する。\n<b>断末魔:</b>_これを自分の\nデッキに混ぜる。	
