TAG	TEXT	COMMENT
FB_BUILDABRAWL001	첫 번째 선술집 난투를 선택하세요!	
FB_BUILDABRAWL002	두 번째 선술집 난투를 선택하세요!	
FB_ELO_GREATERSPIRITS	상급 강화 효과를 선택하세요!	
FB_ELO_SPIRITS	강화 효과를 선택하세요!	
GAMEPLAY_AI_OPPONENT_NAME	여관주인	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(내 카드로 피해를 받으면 강화됩니다.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(내 카드로 피해를 받으면 강화됩니다.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(내 카드로 피해를 받으면 강화됩니다.)</i>	
GAMEPLAY_BURNED_CARDS_HISTORY_TEXT	손에 카드가 가득할 때 카드를 뽑으면 카드가 타버립니다.	
GAMEPLAY_BURNED_CARDS_TITLE	타버린 카드	
GAMEPLAY_CHOOSE_ONE	하나 선택	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MINIONS	내 하수인들에게 부여할 효과 선택:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MURLOCS	내 멀록들에게 부여할 효과 선택:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_RECRUITS	내 신병들에게 부여할 효과 선택:	
GAMEPLAY_CHOOSE_ONE_HERO_POWER	하나 선택	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
GAMEPLAY_COIN_TOSS_LOST	추가 카드 획득	
GAMEPLAY_COIN_TOSS_WON	선공	
GAMEPLAY_COPY_DEATHRATTLE	{0}의 죽음의 메아리 능력 복사	
GAMEPLAY_DIAMOND_SPELLSTONE_1	<i>(주문을 4회 시전하면 강화됩니다.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_2	<i>(주문을 3회 더 시전하면 강화됩니다.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_3	<i>(주문을 2회 더 시전하면 강화됩니다.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_4	<i>(주문을 1회 더 시전하면 강화됩니다.)</i>	
GAMEPLAY_DISCONNECT_BODY	게임이 완료되고 저장되었습니다! 하스스톤을 다시 시작해주세요.	
GAMEPLAY_DISCONNECT_BODY_RESET	게임이 완료되고 저장되었습니다! 하스스톤 서버에 다시 접속합니다.	
GAMEPLAY_DISCONNECT_HEADER	연결 끊김	
GAMEPLAY_DISCOVER_JUGGERNAUT	상대방의 대장을 선택하세요...	
GAMEPLAY_DISCOVER_MYSTERY	상대편이 어떤 카드를 선택했을까요?	
GAMEPLAY_DONE_TURN	완료	
GAMEPLAY_EMOTE_LABEL_DISABLED_EMOTES	...	
GAMEPLAY_EMOTE_LABEL_FIREWORKS	감탄	
GAMEPLAY_EMOTE_LABEL_GREETINGS	인사	
GAMEPLAY_EMOTE_LABEL_OOPS	이런!	
GAMEPLAY_EMOTE_LABEL_SORRY	사과	
GAMEPLAY_EMOTE_LABEL_THANKS	감사	
GAMEPLAY_EMOTE_LABEL_THREATEN	위협	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	칭찬	
GAMEPLAY_EMOTE_LABEL_WOW	감탄	
GAMEPLAY_EMOTE_SQUELCH	차단	
GAMEPLAY_EMOTE_UNSQUELCH	차단 풀기	
GAMEPLAY_END_OF_GAME_DEFEAT	패배!	
GAMEPLAY_END_OF_GAME_DEFEAT_MAYBE	패배?	
GAMEPLAY_END_OF_GAME_TIE_ESCAPED	탈출!	
GAMEPLAY_END_OF_GAME_VICTORY	승리!	
GAMEPLAY_END_OF_GAME_VICTORY_MAYBE	승리?	
GAMEPLAY_END_TURN	턴 종료	
GAMEPLAY_ENEMY_TURN	상대 턴	
GAMEPLAY_ERROR_PLAY_REJECTED	제한 시간 종료!	
GAMEPLAY_FATIGUE_HISTORY_TEXT	덱에 카드가 떨어지면, 카드를 뽑아야 할 때마다 점차 큰 피해를 받습니다.	
GAMEPLAY_FATIGUE_TEXT	카드가 없습니다! {0}의 피해를 받습니다.	
GAMEPLAY_FATIGUE_TITLE	탈진	
GAMEPLAY_GOLDHERO_WINS	승!	
GAMEPLAY_HISTORY_CREATED_BY	{0} 카드로\n생성됨	0=name of a card
GAMEPLAY_JASPER_SPELLSTONE_1	<i>(방어도를 +3 얻으면 강화됩니다.)</i>	
GAMEPLAY_JASPER_SPELLSTONE_2	<i>(방어도를 +2 더 얻으면 강화됩니다.)</i>	
GAMEPLAY_JASPER_SPELLSTONE_3	<i>(방어도를 +1 더 얻으면 강화됩니다.)</i>	
GAMEPLAY_LOOT_526d_DARKNESS_1	상대편이 양초를 3장 뽑으면 깨어납니다!	
GAMEPLAY_LOOT_526d_DARKNESS_2	상대편이 양초를 2장 더 뽑으면 깨어납니다!	
GAMEPLAY_LOOT_526d_DARKNESS_3	상대편이 양초를 1장 더 뽑으면 깨어납니다!	
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MISSING_OPPONENT_NAME	상대	
GAMEPLAY_MOBILE_BATTLECRY_CANCELED	전투의 함성을 취소합니다.	
GAMEPLAY_MOBILE_TARGETING_CANCELED	대상 선택을 취소합니다.	
