TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	네가 이겼다... 하지만 네 세계는 여전히 파멸하리라!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	하수인이 너무 많아!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	그럴 수 없어!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	카드가 너무 많아!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	난 이미 공격했다!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	방금 나왔잖아!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	그 녀석은 이미 공격했다!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	마나가 없다!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	내 무기가 어디갔지?!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	그건 낼 수 없어!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	은신 중이잖아!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	유효한 대상이 아니야!	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	저 하수인의 도발 능력이 짜증나게 하잖아!	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	지옥불을 지펴라!	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	멋진 승부였다!	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	불타는 군단의 에레다르 군주, 자락서스 님이 상대해 주마!	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	할로윈 축제가 시작됐다!	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	이런! 덱에 카드가 거의 없다!	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	흥, 설날 따위 즐겁게 보내버려라!	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	안 돼! 카드가 다 떨어졌다!	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	즐거운 귀족의 정원 축제다!	
GAMEPLAY_EMOTE_EX1_323h_OOPS	실수군!	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	나는 자락서스다!	
GAMEPLAY_EMOTE_EX1_323h_SORRY	자락서스는... 미안하다.	
GAMEPLAY_EMOTE_EX1_323h_THANKS	고맙군.	
GAMEPLAY_EMOTE_EX1_323h_THINK1	흠...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	그렇다면...	
GAMEPLAY_EMOTE_EX1_323h_THINK3	어떻게 끝장을 낼까...	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	뼈에서 살을!	
GAMEPLAY_EMOTE_EX1_323h_TIMER	시간이 없다!	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	제법 하는군.	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	이번 겨울맞이 축제 때 네 영혼을 먹어치우리라!	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	믿을 수 없다!	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	난 죽음을 택하겠다!	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	하수인이 너무 많아.	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	그렇겐 못해.	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	카드가 너무 많아!	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	난 이미 공격했다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	그 하수인은 다음 턴에 준비될 거다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	그 하수인은 이미 공격했다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	마나가 부족하군.	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	무기가 필요하다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	그 카드는 낼 수 없다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	은신 중인 하수인은 선택할 수 없다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	선택할 수 없는 대상이다.	
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	도발 능력이 있는 하수인이 가로막고 있다!	
GAMEPLAY_EMOTE_HERO_01_EVENT_FIRE_FESTIVAL	횃불을 들어라!	
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	새해 복 많이 받아라.	
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	재미있었다!	
GAMEPLAY_EMOTE_HERO_01_GREETINGS	하, 잘 만났군...	
GAMEPLAY_EMOTE_HERO_01_GREETINGS_RESPONSE	흠. 반갑다.	
GAMEPLAY_EMOTE_HERO_01_HALLOWS_END	즐거운 할로윈 축제구나.	
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	카드가 거의 없어!	
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	하! 그래, 덤벼봐라!	
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	카드가 없다!	
GAMEPLAY_EMOTE_HERO_01_NOBLEGARDEN	즐거운 귀족의 정원 축제로군.	
GAMEPLAY_EMOTE_HERO_01_OOPS	실수였군.	
GAMEPLAY_EMOTE_HERO_01_PIRATE_DAY	야리 하리 하리 하!	
GAMEPLAY_EMOTE_HERO_01_SORRY	이거 참 미안하군.	
GAMEPLAY_EMOTE_HERO_01_START	승리가 아니면 죽음을!	
GAMEPLAY_EMOTE_HERO_01_THANKS	흐음, 고맙다.	
GAMEPLAY_EMOTE_HERO_01_THINK1	흐음...	
GAMEPLAY_EMOTE_HERO_01_THINK2	음, 글쎄...	
GAMEPLAY_EMOTE_HERO_01_THINK3	이젠 뭘 할까...	
GAMEPLAY_EMOTE_HERO_01_THREATEN	널 박살내 주마!	
