TAG	TEXT	COMMENT
GLOBAL_ACCOUNT	계정	
GLOBAL_ADDFRIEND_BUTTON	친구로 추가	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	이미 친구로 등록된 플레이어입니다.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	이메일 주소나 BattleTag를 입력하세요.	
GLOBAL_ADDFRIEND_HEADER	친구 추가	
GLOBAL_ADDFRIEND_INSTRUCTION	BattleTag 또는 이메일 주소를 입력하십시오.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	친구 추가 요청을 발송했습니다.	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	선택	
GLOBAL_ADVENTURE_DESC_HEADER	모험	
GLOBAL_ADVENTURE_TRAY_HEADER	모험 선택	
GLOBAL_APPROXIMATE_DATETIME	~{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	{0} ~ {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	초보의 열쇠	
GLOBAL_ARENA_MEDAL_1	수습생의 열쇠	
GLOBAL_ARENA_MEDAL_10	서릿결 열쇠	
GLOBAL_ARENA_MEDAL_11	용암 열쇠	
GLOBAL_ARENA_MEDAL_12	빛으로 벼려낸 열쇠	
GLOBAL_ARENA_MEDAL_2	숙련자의 열쇠	
GLOBAL_ARENA_MEDAL_3	구릿빛 열쇠	
GLOBAL_ARENA_MEDAL_4	은빛 열쇠	
GLOBAL_ARENA_MEDAL_5	황금 열쇠	
GLOBAL_ARENA_MEDAL_6	백금 열쇠	
GLOBAL_ARENA_MEDAL_7	다이아몬드 열쇠	
GLOBAL_ARENA_MEDAL_8	용사의 열쇠	
GLOBAL_ARENA_MEDAL_9	루비 열쇠	
GLOBAL_ARENA_SEASON_ERROR_NOT_ACTIVE	죄송합니다. 요청하신 투기장 대전 방식은 현재 사용할 수 없습니다. 잠시 후에 다시 시도해 주세요.	
GLOBAL_ASSET_DOWNLOAD	파일 다운로드	
GLOBAL_ASSET_DOWNLOAD_ALERT	게임을 하는 동안 파일을 다운로드하지 않도록 설정되어 있습니다.	
GLOBAL_ASSET_DOWNLOAD_AWAITING_FETCH	업데이트를 확인하는 중...	
GLOBAL_ASSET_DOWNLOAD_AWAITING_OTHER_DOWNLOAD	대기 중	
GLOBAL_ASSET_DOWNLOAD_AWAITING_WIFI	Wi-Fi 필요	
GLOBAL_ASSET_DOWNLOAD_BYTE_SYMBOL	B	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_BODY	셀룰러 데이터로 다운로드하도록 합니다.	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_HEADER	셀룰러 데이터	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_BODY	Wi-Fi를 사용할 수 없습니다. 나머지 {0}를 셀룰러 데이터로 다운로드하시겠습니까?	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_HEADER	셀룰러 데이터	
GLOBAL_ASSET_DOWNLOAD_COMPLETE	완료	
GLOBAL_ASSET_DOWNLOAD_DETAILS_AUDIO	음성	
GLOBAL_ASSET_DOWNLOAD_DETAILS_HIGHRES	고해상도 텍스처	
GLOBAL_ASSET_DOWNLOAD_DISABLED	비활성화	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_BODY	하스스톤을 다운로드하도록 합니다.	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_HEADER	다운로드 허용	
GLOBAL_ASSET_DOWNLOAD_ENABLED	사용함	
GLOBAL_ASSET_DOWNLOAD_ERROR_AGENT_IMPEDED	연결 느림	
GLOBAL_ASSET_DOWNLOAD_ERROR_CELLULAR_DISABLED	셀룰러 데이터 비활성화	
GLOBAL_ASSET_DOWNLOAD_ERROR_DOWNLOAD_DISABLED	다운로드 비활성화됨	
GLOBAL_ASSET_DOWNLOAD_ERROR_OUT_OF_STORAGE	용량 부족	
GLOBAL_ASSET_DOWNLOAD_GIGABYTE_SYMBOL	GB	
GLOBAL_ASSET_DOWNLOAD_INTENTION_PAUSED	{0} (일시 정지됨)	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_BODY	다운로드할 수 있습니다. 나머지 {0}를 다운로드하시겠습니까?	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_HEADER	추가 데이터	
GLOBAL_ASSET_DOWNLOAD_KILOBYTE_SYMBOL	KB	
GLOBAL_ASSET_DOWNLOAD_MEGABYTE_SYMBOL	MB	
GLOBAL_ASSET_DOWNLOAD_PAUSED	일시 정지됨	
GLOBAL_ASSET_DOWNLOAD_SETTINGS	설정	
