TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>지속 영웅 능력</b>\n내 영웅이 <b>면역</b> 상태가 됩니다. 3턴 동안 지속됩니다.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>지속 영웅 능력</b>\n내 영웅이 <b>면역</b> 상태가 됩니다. 2턴 동안 지속됩니다.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>지속 영웅 능력</b>\n내 영웅이 <b>면역</b> 상태가 됩니다. 1턴 동안 지속됩니다.	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>지속 영웅 능력</b>\n하수인을 소환하지만, <b>면역</b> 상태가 사라집니다.	
MISSION_DEFAULTCOUNTERNAME	턴 후에 탈출!	
MISSION_GLOWING_POOL	빛나는 샘	
MISSION_NEFARIAN_TITLE	멍청하고 무능하고 실망스러운 하수인들을 해치운 자	
MISSION_PIT_OF_SPIKES	가시 함정	
MISSION_PRE_TUTORIAL_WANTED	지명 수배	
MISSION_STATUES_EYE	석상의 눈	
MISSION_TAKE_THE_SHORTCUT	지름길로 가시겠습니까?	
TB_100TH_BANANA_INFO_OPP	상대편이 무작위 덱을 사용하고 있습니다. 상대편의 하수인이 죽으면, 상대편이 바나나를 얻습니다.	
TB_100TH_BANANA_INFO_YOU	내가 무작위 덱을 사용하고 있습니다. 내 하수인이 죽으면, 바나나를 얻습니다.	
TB_100TH_BANANA_OPP	상대편이 무클라의 생일 파티! 난투를 하는 중입니다. 2015년 6월 24일에 열린 2번째 난투입니다.	
TB_100TH_BANANA_YOU	무클라의 생일 파티! 난투를 하는 중입니다. 2015년 6월 24일에 열린 2번째 난투입니다.	
TB_100TH_CLONEBALL_INFO_OPP	상대편이 여러 전설이 복사된 덱을 사용하고 있습니다.	
TB_100TH_CLONEBALL_INFO_YOU	내가 여러 전설이 복사된 덱을 사용하고 있습니다.	
TB_100TH_CLONEBALL_OPP	상대편이 복제하고, 붙여넣는다! 난투를 하는 중입니다. 2016년 6월 8일에 열린 52번째 난투입니다.	
TB_100TH_CLONEBALL_YOU	복제하고, 붙여넣는다! 난투를 하는 중입니다. 2016년 6월 8일에 열린 52번째 난투입니다.	
TB_100TH_PARTYPORTAL_INFO_OPP	이 플레이어는 무작위 차원문 카드로 구성된 덱을 사용하고 있습니다.	
TB_100TH_PARTYPORTAL_INFO_YOU	이 플레이어는 무작위 차원문 카드로 구성된 덱을 사용하고 있습니다.	
TB_100TH_PARTYPORTAL_OPP	상대편이 차원문 파티! 난투를 하는 중입니다. 2016년 8월 31일에 열린 64번째 난투입니다.	
TB_100TH_PARTYPORTAL_YOU	차원문 파티! 난투를 하는 중입니다. 2016년 8월 31일에 열린 64번째 난투입니다.	
TB_100TH_PORTALS_INFO_OPP	상대편이 불안정한 차원문이 다수 포함된 덱을 사용하고 있습니다. 다른 카드도 일부 있습니다.	
TB_100TH_PORTALS_INFO_YOU	불안정한 차원문이 다수 포함된 덱을 사용하고 있습니다. 다른 카드도 일부 있습니다.	
TB_100TH_PORTALS_OPP	상대편이 너무나도 불안정한 차원문 난투를 하는 중입니다. 2015년 7월 29일에 열린 7번째 난투입니다.	
TB_100TH_PORTALS_YOU	너무나도 불안정한 차원문 난투를 하는 중입니다. 2015년 7월 29일에 열린 7번째 난투입니다.	
TB_100TH_RANDEMONIUM_INFO_OPP	상대편이 무작위 덱을 사용하고 있습니다. 상대편의 손에 있는 카드의 비용이 매 턴마다 바뀝니다.	
TB_100TH_RANDEMONIUM_INFO_YOU	무작위 덱을 사용하고 있습니다. 내 손에 있는 카드의 비용이 매 턴마다 바뀝니다.	
TB_100TH_RANDOMONIUM_OPP	상대편이 폭풍 속의 영웅들 난투를 하는 중입니다. 2015년 10월 14일에 열린 18번째 난투입니다.	
TB_100TH_RANDOMONIUM_YOU	폭풍 속의 영웅들 난투를 하는 중입니다. 2015년 10월 14일에 열린 18번째 난투입니다.	
TB_100TH_RAVENIDOL_INFO_OPP	상대편이 까마귀 우상 30장으로 구성된 덱을 사용하고 있습니다.	
TB_100TH_RAVENIDOL_INFO_YOU	까마귀 우상 30장으로 구성된 덱을 사용하고 있습니다.	
TB_100TH_RAVENIDOL_OPP	상대편이 아제로스를 빛낸 우상들 난투를 하는 중입니다. 2016년 4월 20일에 열린 45번째 난투입니다.	
TB_100TH_RAVENIDOL_YOU	아제로스를 빛낸 우상들 난투를 하는 중입니다. 2016년 4월 20일에 열린 45번째 난투입니다.	
TB_100TH_SHIFTER_INFO_OPP	상대편이 변신수 제루스가 다수 포함된 덱을 사용하고 있습니다. 다른 카드도 일부 있습니다.	
TB_100TH_SHIFTER_INFO_YOU	변신수 제루스가 다수 포함된 덱을 사용하고 있습니다. 다른 카드도 일부 있습니다.	
TB_100TH_SHIFTER_OPP	상대편이 변신즈컨 난투를 하는 중입니다. 2016년 6월 29일에 열린 55번째 난투입니다.	
TB_100TH_SHIFTER_YOU	변신즈컨 난투를 하는 중입니다. 2016년 6월 29일에 열린 55번째 난투입니다.	
TB_100TH_SPELLBAG_INFO_OPP	상대편이 무작위 주문 30장으로 구성된 덱을 사용하고 있습니다. 상대편이 주문을 시전하면 상대편이 하수인을 소환합니다.	
TB_100TH_SPELLBAG_INFO_YOU	무작위 주문 30장으로 구성된 덱을 사용하고 있습니다. 내가 주문을 시전하면 하수인을 소환합니다.	
TB_100TH_SPELLBAG_OPP	상대편이 주문도둑 발리라 난투를 하는 중입니다. 2016년 11월 23일에 열린 76번째 난투입니다.	
TB_100TH_SPELLBAG_YOU	주문도둑 발리라 난투를 하는 중입니다. 2016년 11월 23일에 열린 76번째 난투입니다.	
TB_100TH_YOGG_INFO_OPP	상대편이 무작위 하수인으로 구성된 덱을 사용하고 있습니다. 상대편이 하수인을 내면 상대편이 무작위 주문을 시전합니다.	
TB_100TH_YOGG_INFO_YOU	무작위 하수인으로 구성된 덱을 사용하고 있습니다. 내가 하수인을 내면 무작위 주문을 시전합니다.	
TB_100TH_YOGG_OPP	상대편이 새 종복을 찾아보자 난투를 하는 중입니다. 2016년 7월 13일에 열린 57번째 난투입니다.	
TB_100TH_YOGG_YOU	새 종복을 찾아보자 난투를 하는 중입니다. 2016년 7월 13일에 열린 57번째 난투입니다.	
TB_DECKBUILDING_FIRSTCARDPLAYED	내가 카드를 낼 때마다 그 카드를 복사하여 내 덱에 섞어 넣습니다.	
TB_DECKBUILDING_FIRSTENDTURN	이제 손에 남은 카드를 덱에 넣고 카드를 다시 뽑습니다.	
TB_DECKBUILDING_FIRSTPICKTHREE	손에 가져올 새로운 카드를 선택하세요.	
TB_DECKBUILDING_STARTOFGAME	게임을 진행하면서 원하는 동료를 골라 나만의 덱을 만드세요!	
TB_DECKBUILDING_STARTOFGAME_START	시작!	
TB_DECKRECIPE_MSG_DRUID	덱 견본: <b>비취 골렘 군단</b>	
TB_DECKRECIPE_MSG_HUNTER	덱 견본: <b>야수 무리</b>	
TB_DECKRECIPE_MSG_MAGE	덱 견본: <b>비밀결사의 조제법</b>	
TB_DECKRECIPE_MSG_PALADIN	덱 견본: <b>암시장</b>	
TB_DECKRECIPE_MSG_PRIEST	덱 견본: <b>용의 심장</b>	
TB_DECKRECIPE_MSG_ROGUE	덱 견본: <b>가젯잔의 부두</b>	
TB_DECKRECIPE_MSG_SHAMAN	덱 견본: <b>멀록단</b>	
TB_DECKRECIPE_MSG_WARLOCK	덱 견본: <b>비밀결사의 악마들</b>	
TB_DECKRECIPE_MSG_WARRIOR	덱 견본: <b>떡대들의 제국</b>	
TB_DECKRECIPE_OG_DRUID	마나를 확보하는 주문들을 사용하여 고대 신의 하수인들을 신속하게 소환하세요.	
TB_DECKRECIPE_OG_HUNTER	영웅이여, 죽음을 두려워하지 마세요. 당신의 하수인들은 죽어서도 유용하니까요. 계속해서 적 하수인을 상대하면 우위를 가져올 수 있을 겁니다.	
TB_DECKRECIPE_OG_MAGE	주문을 최대한 많이 시전하세요. 당신의 주문이 요그사론의 힘을 더욱 강하게 만들 것입니다!	
TB_DECKRECIPE_OG_PALADIN	천상의 보호막으로 하수인들을 보호하여 적 하수인 둘을 상대할 수 있도록 만드세요!	
TB_DECKRECIPE_OG_PRIEST	하수인들을 치유하여 크툰의 강림을 목격할 수 있도록 도와주세요!	
TB_DECKRECIPE_OG_ROGUE	적극적으로 적을 공격하세요! 당신의 하수인들 대부분은 죽었을 때 특별한 능력을 발휘합니다.	
TB_DECKRECIPE_OG_SHAMAN	하수인을 최대한 많이 소환한 뒤에 진화시키세요! 이미 활용한 하수인들을 진화시키면 더욱 좋은 성과를 얻을 수 있습니다!	
TB_DECKRECIPE_OG_WARLOCK	고대 신의 수많은 하수인들로 적을 압도하세요. 약한 하수인이라도 여럿 모이면 상대를 쓰러뜨릴 수 있을 겁니다.	
TB_DECKRECIPE_OG_WARRIOR	크툰에게 헌신하는 동안 자신을 보호하세요. 방어도를 꾸준히 쌓으면서 버틴 후에 고대 신을 소환한다면 승리할 수 있을 겁니다.	
TB_DPROMO_2NDHERO	젖소왕	
TB_DPROMO_2NDHEROPOPUP	비밀 레벨에 도착했습니다!	
TB_DPROMO_COWKINGEMOTES	음메	
TB_FIREFEST_FIRST	꼬마 라그나로스가 하수인을 불태우면 공격력이 증가합니다!	
TB_FIREFEST_SECOND	훌륭하군요! 하수인을 최대한 많이 불태우고 특별한 보상을 얻으세요!	
TB_GIFTEXCHANGE_GIFTSPAWNED	내 전장에 상자가 없으면, 상자가 배달됩니다.	
TB_GIFTEXCHANGE_GIFTSTOLEN	선물을 받았습니다! 무엇이 들어있을까요...	
TB_GIFTEXCHANGE_START	즐거운 겨울맞이 축제입니다! 선물을 차지하세요!	
TB_LETHAL_NAME	기회는 단 한 턴!	
TB_LETHALPUZZLES_FAILURE	다시 해보세요!	
TB_LETHALPUZZLES_START	매 판마다 상대를 처치해야 합니다. 행운을 빕니다!	
TB_LETHALPUZZLES_SUCCESS	해내셨군요!	
TB_MP_BOSS	꾸며진 스톰윈드	
TB_MP_BOSS2	조촐한 파티	
TB_MP_BOSS3	성대한 파티	
TB_MP_COOP_1STSPELL	음... 비밀결사가 음료에 뭔가를 탄 것 같네요...	
TB_MP_COOP_2NDSPELL	실내에서는 폭죽을 사용하지 마세요!	
TB_MP_COOP_CRASHER_DISCARD	손에 머무는 것에 싫증이 난 파티 훼방꾼이 탈출했습니다.	
TB_MP_COOP_ENDING	해내셨군요! 함께 매머드의 해를 맞이합시다!	
TB_MP_COOP_FIRST_CRASHER	저 훼방꾼들이 파티를 망치려고 합니다! 처치하세요!	
TB_MP_COOP_PINATA	성공하셨군요! 이제 종이박을 두드릴 시간입니다! 하지만 파티 훼방꾼들이 극성이군요...	
TB_MP_COOP_TEXT_START	영웅 능력을 사용하여 상대 플레이어와 함께 선술집을 꾸미세요!	
TB_MP_CROSSROADS	잠깐, 저게 누구죠?	
TB_MP_CROSSROADS_CRASHER	저 자는 왜 여기 있는 거죠?	
TB_MP_STORMWIND_SUCCESS	해내셨군요! 더 높은 점수에 도전해 보세요!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	이 운명은 두 플레이어 모두에게 적용됩니다!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	이 보너스는 나에게만 적용됩니다.	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	상대편의 운명이 나에게도 적용됩니다!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	이 보너스는 상대편에게만 적용됩니다.	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	이 운명은 두 플레이어 모두에게 적용됩니다!	
TB_PICKYOURFATE_RANDOM_NEWFATE	새로운 운명이 필요합니다!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	상대방에게 새로운 운명이 필요합니다!	
TB_SHADOWTOWERS_ADJACENTMINIONS	포탑 옆에 있는 하수인들은 공격할 수 없고, <b>은신</b>을 얻습니다.	
TB_SHADOWTOWERS_SHADOWSPAWNED	내 전장에 포탑이 없다면, 포탑이 소환됩니다.	
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	포탑이 없는 플레이어의 턴이 시작될 때 포탑이 소환됩니다.	
