TAG	TEXT	COMMENT
PRESENCE_STATUS_ARENA_FORGE	투기장 덱을 구성하는 중	
PRESENCE_STATUS_ARENA_GAME	투기장에서 결투를 벌이는 중	
PRESENCE_STATUS_ARENA_IDLE	투기장을 둘러보는 중	
PRESENCE_STATUS_ARENA_PURCHASE	투기장에 들어갈지 고민하는 중	
PRESENCE_STATUS_ARENA_QUEUE	투기장 상대를 찾는 중	
PRESENCE_STATUS_ARENA_REWARD	투기장 보상을 획득하는 중	
PRESENCE_STATUS_COLLECTION	소지한 카드들을 살펴보는 중	
PRESENCE_STATUS_CRAFTING	카드를 제작하는 중	
PRESENCE_STATUS_DECKEDITOR	카드 덱을 구성하는 중	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	친구와의 결투를 준비하는 중	
PRESENCE_STATUS_FRIENDLY_GAME	친구와 결투를 벌이는 중	
PRESENCE_STATUS_HUB	메인 메뉴에서 노닥거리는 중	
PRESENCE_STATUS_LOGIN	게임을 실행하는 중	
PRESENCE_STATUS_PACKOPENING	카드 팩을 마구 개봉하는 중!!!!	
PRESENCE_STATUS_PLAY_DECKPICKER	대전 모드에 진입하는 중	
PRESENCE_STATUS_PLAY_GAME	대전 모드로 결투를 벌이는 중!	
PRESENCE_STATUS_PLAY_QUEUE	대전 상대를 찾는 중	
PRESENCE_STATUS_PRACTICE_DECKPICKER	연습 모드에 진입하는 중	
PRESENCE_STATUS_PRACTICE_GAME	여관주인을 상대로 연습하는 중	
PRESENCE_STATUS_QUESTLOG	퀘스트 기록을 확인하는 중	
PRESENCE_STATUS_STORE	상점을 둘러보는 중	
PRESENCE_STATUS_TUTORIAL_GAME	{0}에게 도전하는 중	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	처음으로 게임을 시작하는 중	
PRESENCE_STATUS_WELCOMEQUESTS	새로운 퀘스트 살펴보는 중!	
PRESENCE_TUTORIAL_CHO	전승지기 초	
PRESENCE_TUTORIAL_HEMET	헤멧 네싱워리	
PRESENCE_TUTORIAL_HOGGER	들창코	
PRESENCE_TUTORIAL_ILLIDAN	일리단 스톰레이지	
PRESENCE_TUTORIAL_MILLHOUSE	밀하우스 마나스톰	
PRESENCE_TUTORIAL_MUKLA	밀림의 왕 무클라	
