TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	손에는 최대 10장의 카드를 들 수 있습니다.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	손에 든 카드 수	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	일리단을 상대로 승리했습니다! 무료로 계정을 생성한 후, 새로운 상대에게 도전해보세요!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	계정 생성	
TUTORIAL_NO_ENDTURN	아직입니다! 카드를 더 낼 수 있습니다!	
TUTORIAL_NO_ENDTURN_ATK	아직입니다! 공격할 수 있습니다.	
TUTORIAL_NO_ENDTURN_HP	아직입니다! 영웅 능력을 사용하세요.	
TUTORIAL_PROGRESS_LESSON_TITLE	여정의 시작	
TUTORIAL_PROGRESS_SAVED	저장 완료	
TUTORIAL_PROGRESS_TITLE	임무 진행률	
TUTORIAL_RAID_LEADER_DESCRIPTION	이 하수인은 죽을 때까지 지속되는 능력이 있습니다.	
TUTORIAL_RAID_LEADER_HEADLINE	능력	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	당신은 턴마다 덱에서 카드를 한 장 무작위로 뽑습니다.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	상대방은 턴마다 덱에서 카드를 한 장 무작위로 뽑습니다.	
TUTORIAL_TOOLTIP_HISTORY_DESC	이곳에서는 게임 기록을 보여줍니다.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	기록	
TUTORIAL_WANTED	현상 수배	
TUTORIAL01_HELP_01	생명력이 0 이하로 떨어지면 패배합니다.	
TUTORIAL01_HELP_02	이 카드는 지난 턴에 이미 냈습니다.	
TUTORIAL01_HELP_03	이 놀을 처치하세요!	
TUTORIAL01_HELP_04	하수인은 한 턴을 기다려야 공격할 수 있습니다.	
TUTORIAL01_HELP_05	들창코를 공격하세요!	
TUTORIAL01_HELP_06	들창코에게 모든 공격을 집중하세요!	
TUTORIAL01_HELP_07	적에게 쓸 수 있게 아껴두세요!	
TUTORIAL01_HELP_08	약한 놀은 무시하고 들창코를 마무리하세요.	
TUTORIAL01_HELP_09	들창코의 생명력이 0 이하로 떨어지면 승리합니다.	
TUTORIAL01_HELP_10	하수인으로 공격하세요!	
TUTORIAL01_HELP_11	공격하려면 클릭하세요.	
TUTORIAL01_HELP_12	줄 수 있는 피해량	
TUTORIAL01_HELP_13	견딜 수 있는 피해량	
TUTORIAL01_HELP_14	들창코를 처치하세요!	
TUTORIAL01_HELP_15	하수인을 낸 후에 들창코를 공격하세요.\n\n들창코의 생명력이 0 이하가 되면 승리합니다!	
TUTORIAL01_HELP_16	시작!	
TUTORIAL01_HELP_17	공격하세요!	
TUTORIAL01_HELP_17_TOUCH	공격하세요!	
TUTORIAL01_HELP_18	무료 카드입니다!	
TUTORIAL02_HELP_01	턴이 시작될 때마다 새 마나 수정이 추가됩니다.	
TUTORIAL02_HELP_02	카드를 내려면 마나가 필요합니다.	
TUTORIAL02_HELP_03	사용한 마나 수정은 턴마다 다시 충전됩니다.	
TUTORIAL02_HELP_04	현재 마나는 {0}입니다.	
TUTORIAL02_HELP_06	밀하우스를 해치우세요!	
TUTORIAL02_HELP_07	매 턴마다 마나를 모두 사용해서 이 성가신 노움을 처치하세요!	
TUTORIAL02_STARTING_HAND	시작 카드	
TUTORIAL03_HELP_01	이 고릴라는 도발 능력이 있습니다.	
TUTORIAL03_HELP_02	왕에게 경배를	
TUTORIAL03_HELP_03	무슨 카드인지 모르겠다고요? 마우스 커서를 카드 위로 가져가보세요!	
TUTORIAL03_HELP_03_TOUCH	무슨 카드인지 모르겠다고요? 카드를 터치하여 누르고 있어보세요!	
TUTORIAL04_HELP_01	영웅 능력은 한 턴에 한 번 사용할 수 있습니다.	
TUTORIAL04_HELP_02	변이를 사용하세요!	
TUTORIAL04_HELP_03	수렁이끼괴물에게 쓸 수 있게 아껴두세요!	
TUTORIAL04_HELP_14	밀림에 오신 걸 환영합니다.	
TUTORIAL04_HELP_15	하수인들을 먼저 처치하지 않으면 걷잡을 수 없게 됩니다!	
TUTORIAL04_HELP_16	영웅 능력과 주문으로 상대방의 하수인을 처치하세요!	
TUTORIAL05_HELP_01	공격할 때마다 무기의 내구도가 감소합니다.	
TUTORIAL05_HELP_02	배신자	
TUTORIAL05_HELP_03	이 대전은 정말 불공평합니다. 못된 게임 개발자를 탓하세요.	
TUTORIAL05_HELP_04	도발 능력이 있는 하수인은 당신을 보호해 줍니다!	
TUTORIAL05_WEAPON_DESC	내구도가 소진될 때까지 영웅이 공격할 수 있게 해 줍니다.	
TUTORIAL05_WEAPON_HEADLINE	무기	
TUTORIAL06_HELP_01	전승지기 초	
TUTORIAL06_HELP_02	하수인끼리 싸우면 *둘 다* 피해를 받습니다.	
TUTORIAL06_HELP_03	'전투의 함성' 능력이 있는 하수인은 손에서 낼 때 특별한 효과를 냅니다.	
TUTORIAL06_HELP_04	불리해지기 전에 상대방의 하수인을 처치하세요!	
TUTR_HELPER_Fight_01_AttackHero	내 하수인으로 렉사르를 공격하세요!	
TUTR_HELPER_Fight_01_AttackHuffer	적 하수인을 공격하세요!	
TUTR_HELPER_Fight_01_HeroPower	저 하수인에게 영웅 능력을 사용하세요!	
TUTR_HELPER_Fight_01_HistoryTiles	기록 타일에서 이전 행동을 확인할 수 있습니다.	
TUTR_HELPER_Fight_01_Mana	각 라운드마다 마나가 증가합니다. 카드를 내려면 마나가 필요합니다.	
TUTR_HELPER_Fight_01_Mana_02	마나 수정은 각 라운드마다 초기화됩니다.	
TUTR_HELPER_Fight_01_MinionsDestroyed	공격할 때 하수인들은 서로에게 피해를 줍니다.	
TUTR_HELPER_Fight_01_PlayCard	[x]이 하수인을 게임판으로\n끌어 옮기면 낼 수 있습니다!	
TUTR_HELPER_Fight_01_PlayHuffer	왼쪽의 공격력 수치만큼 하수인이 적에게 피해를 줄 수 있습니다.	
TUTR_HELPER_Fight_01_PlayHuffer_02	오른쪽의 생명력 수치만큼 하수인이 피해를 받으면 죽습니다.	
TUTR_HELPER_Fight_01_PlayMinion	카드 위로 마우스를 올리면 카드의 능력을 읽을 수 있습니다.	
TUTR_HELPER_Fight_01_PlayMinion_Mobile	카드를 길게 누르면 능력을 확인할 수 있습니다.	
TUTR_HELPER_Fight_01_PlaySpell	이 주문을 적 하수인에게 끌어 옮겨 처치하세요!	
TUTR_HELPER_Fight_01_PlayTaunt	하수인은 도발 능력이 있는 적을 먼저 처치해야 합니다.	
TUTR_HELPER_Fight_01_PlayWeapon	영웅이 공격할 때마다 무기의 내구도가 감소합니다.	
TUTR_HELPER_Fight_01_SpellIgnoresTaunt	주문은 도발을 무시합니다.	
TUTR_HELPER_Fight_01_WinCondition	승리하려면 적의 생명력을 0으로 만들어야 합니다.	
