TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*웃음*	
TUTORIAL01_HOGGER_02	*킁킁*	
TUTORIAL01_HOGGER_04	하하하! 아우우.	
TUTORIAL01_HOGGER_05	히히히하하하!	
TUTORIAL01_HOGGER_06	히히히후후후!	
TUTORIAL01_HOGGER_07	하하!	
TUTORIAL01_HOGGER_08	아아우우우!	
TUTORIAL01_JAINA_01	시작하죠!	
TUTORIAL01_JAINA_02	함께 싸울 하수인이 필요해요.	
TUTORIAL01_JAINA_03	놀, 네 차례다.	
TUTORIAL01_JAINA_04	후회하게 될 거야!	
TUTORIAL01_JAINA_05	훌륭해요.	
TUTORIAL01_JAINA_06	흠! 또 하수인이네요. 마침 잘 됐어요.	
TUTORIAL01_JAINA_07	공격하기 딱 좋겠어요.	
TUTORIAL01_JAINA_09	하하! 이제 숨통을 노려주지!	
TUTORIAL01_JAINA_10	공격력이 5? 커다란 녀석이네요.	
TUTORIAL01_JAINA_13	지하 감옥으로 돌아가라, 들창코.	
TUTORIAL01_JAINA_15	하! 내 하수인들은 그 정도론 끄떡없다!	
TUTORIAL01_JAINA_16	다음은 너다, 들창코!	
TUTORIAL01_JAINA_17	흠... 놀을 공격할까요? 아니면 들창코?	
TUTORIAL01_JAINA_18	이 거대한 놀을 처치하거나... 주인을 노릴 수도 있겠죠.	
TUTORIAL01_JAINA_19	주문 카드네요! 한 번 밖에 못 쓰니까, 유용하게 써야겠죠...	
TUTORIAL01_JAINA_20	윽! 그래도 이번엔 들창코가 카드를 안 냈네요.	
TUTORIAL01_JAINA_21	카드 두 장? 아, 하나를 남겨뒀었군요.	
TUTORIAL02_JAINA_03	(한숨) 어떤데요?	
TUTORIAL02_JAINA_04	한 턴을 기다려서 마나를 회복해야 해요. 	
TUTORIAL02_JAINA_05	그 카드를 내려면 마나가 더 필요해요.	
TUTORIAL02_JAINA_07	추가 카드! 좋아요!	
TUTORIAL02_JAINA_08	아, 마나가 회복됐어요.	
TUTORIAL02_MILLHOUSE_01	에잇, 내가 먼저 하고 싶었는데!	
TUTORIAL02_MILLHOUSE_02	제이나... 위대한 밀하우스 마나스톰 님의 진정한 힘을 봐라!	
TUTORIAL02_MILLHOUSE_03	무슨 하수인이 저래? 멀록? 으하하하하하!	
TUTORIAL02_MILLHOUSE_04	오오! 이건 엄청난 카드잖아!	
TUTORIAL02_MILLHOUSE_05	내 마나가 좀 늘어날 때까지만 기다려봐!	
TUTORIAL02_MILLHOUSE_06	널 위해 준비했어, 파멸!!	
TUTORIAL02_MILLHOUSE_07	마나가 늘어났어! 이제 다 됐다고!	
TUTORIAL02_MILLHOUSE_08	지금 분위기가 어떤지 알아?	
TUTORIAL02_MILLHOUSE_09	내가 이기고 있다고!	
TUTORIAL02_MILLHOUSE_10	악! 수염은 건들지 마!	
TUTORIAL02_MILLHOUSE_11	이거 마음에 쏙 들걸!	
TUTORIAL02_MILLHOUSE_13	내 마나가 10 될 때까지만 기다려봐!	
TUTORIAL02_MILLHOUSE_15	얼른 좀 해! 이 카드 빨리 내고 싶단 말야!	
TUTORIAL02_MILLHOUSE_16	빨리 빨리 빨리 빨리!	
TUTORIAL02_MILLHOUSE_17	공격하지 좀 마! 나 이기고 싶단 말이야!	
TUTORIAL02_MILLHOUSE_19	내 변호사가 연락할 거야!	
TUTORIAL03_JAINA_01	밀림의 왕 무클라예요! 혼자 있을 때 잡아요!	
TUTORIAL03_JAINA_05	겨우 통 던지는 거 밖에 못해, 무클라?	
TUTORIAL03_JAINA_07	제가 무클라를 처치하게 고릴라를 없애요!	
TUTORIAL03_JAINA_12	무슨 소리 안 들려요?	
TUTORIAL03_JAINA_13	뭐죠?	
TUTORIAL03_JAINA_14	왜 이 원숭이들이 제게 바나나를 던지는 거죠?	
TUTORIAL03_JAINA_15	이 멍청한 원숭이들이!	
TUTORIAL03_JAINA_16	고릴라가 너무 강해요! 대신 무클라를 없애요!	
TUTORIAL03_JAINA_17	저 큰 고릴라를 도발해 줄 하수인이 필요해요!	
TUTORIAL03_JAINA_18	방어할 수가 없어요!	
TUTORIAL03_JAINA_19	정말 거대하네요... 그래도 도발 능력은 없으니 다행이죠.	
TUTORIAL03_MUKLA_01	으아아아아우!	
TUTORIAL03_MUKLA_03	히히히...	
TUTORIAL03_MUKLA_04	우! 우! 우!	
TUTORIAL03_MUKLA_05	하! 우, 우우!	
TUTORIAL03_MUKLA_06	아우! 우! 우우!	
TUTORIAL04_HEMET_01	오, 깜찍한 애송이시군요?	
TUTORIAL04_HEMET_02	엥? 이 늙은 헤멧에게 그런 식으로 말하다니!	
TUTORIAL04_HEMET_03	하! 제가 먼저 하겠습니다!	
TUTORIAL04_HEMET_04	오, 좋군요! 그거 필요하게 될 겁니다.	
TUTORIAL04_HEMET_06	하수인과 싸우는 데 익숙하실 것 같군요.	
TUTORIAL04_HEMET_07	헤멧은 직접 싸우지요!	
TUTORIAL04_HEMET_08	야수다! 하하하! 박제로 만들어야겠군요!	
TUTORIAL04_HEMET_09	그 야수의 가죽을 벗겨 목도리로 쓰면 딱이겠군요.	
TUTORIAL04_HEMET_10	아, 간식도 갖다 주시다니 고맙습니다!	
TUTORIAL04_HEMET_11	아아, 즐거운 사냥!	
TUTORIAL04_HEMET_12a	앗! 그건 불공평합니다!	
TUTORIAL04_HEMET_12b	아, 뭐예요!	
TUTORIAL04_HEMET_13	에이, 다시 글이나 써야겠군요.	
TUTORIAL04_HEMET_15	아, 거대한 호랑이 뱅갈라시를 추적할 때가 생각 나는군요.	
TUTORIAL04_HEMET_16	혹시 가시덤불 골짜기의 푸른 언덕이라는 책, 읽어보셨습니까?	
TUTORIAL04_HEMET_17	가시덤불 골짜기에서는 상상할 수도 없는 일이거늘!	
TUTORIAL04_HEMET_18	하지만 당신, 그냥 애송이 아닙니까!	
TUTORIAL04_HEMET_19	제 거대한 수렁 괴물 앞에 무릎 꿇으십시오!	
TUTORIAL04_HEMET_20	하하! 산탄총!	
TUTORIAL04_JAINA_01	말씀 조심하세요.	
TUTORIAL04_JAINA_02	하지만 전 카드가 더 있죠.	
TUTORIAL04_JAINA_03	지금 마나 1로 낼 수 있는 카드가 없어요.	
TUTORIAL04_JAINA_04	드워프님, 저도 재주가 좀 있거든요.	
TUTORIAL04_JAINA_05	피해 1이라... 하수인을 공격할까요, 아니면 네싱워리를?	
TUTORIAL04_JAINA_08	생명력이 1? 딱 좋은 목표네요.	
TUTORIAL04_JAINA_09	저걸 무력화시킬 방법을 찾아야 해요.	
TUTORIAL05_ILLIDAN_01	너흰 아직 준비가 안 됐다!	All of Illidan's lines are iconic from WoW, please use the same translation if possible.
TUTORIAL05_ILLIDAN_02	만 년 동안 응어리진 증오를 보여주마!	
TUTORIAL05_ILLIDAN_03	배신자의 눈을 똑바로 쳐다봐라!	
TUTORIAL05_ILLIDAN_04	누가 또 이 칼날 맛을 보고 싶은 거냐?	
TUTORIAL05_ILLIDAN_05	보라, 아지노스의 불꽃을!	
TUTORIAL05_ILLIDAN_06	진정한 힘을 모르는 무지한 족속들아!	
TUTORIAL05_ILLIDAN_08	내 안에 깃든... 악마의 힘을 보여주마!	
TUTORIAL05_ILLIDAN_09	어찌 감히 날 건드리려 하느냐!	
TUTORIAL05_ILLIDAN_10	건방진 놈!	
TUTORIAL05_ILLIDAN_11	아, 이건 상대할 맛 나겠는데.	
TUTORIAL05_JAINA_01	글쎄요... 지금까지 다섯 번 정도만 싸워봐서.	
TUTORIAL05_JAINA_02	상대의 고유 능력이... 너무 강력해요!	
TUTORIAL05_JAINA_05	일리단 처치에 집중하세요!	
TUTORIAL05_JAINA_06	머뭇거리지 말아요! 끝내버려요!	
TUTORIAL06_CHO_01	오! 제이나! 만나서 반갑군.	
TUTORIAL06_CHO_02	뭘 배웠는지 보여주게.	
TUTORIAL06_CHO_03	(웃음) 좋아! 좋아!	
TUTORIAL06_CHO_04	오! 영리한 수였네.	
TUTORIAL06_CHO_05	전쟁은 마지막 수단일세.	
TUTORIAL06_CHO_06	아마도.	
TUTORIAL06_CHO_07	아! 나한테 닿진 않을 걸세!	
TUTORIAL06_CHO_08	이 위에서 보면 모두들 아주 조그맣다네!	
TUTORIAL06_CHO_09	아주 작은 차이로 인해서도 승리와 패배가 바뀔 수 있다네.	
TUTORIAL06_CHO_12	오… 자네는 무척 강하군.	
