TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>모면</b>, <b>독성</b>,\n<b>천상의 보호막</b>, <b>도발</b>, <b>생명력 흡수</b>, <b>속공</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	[x]<b>모면</b>, <b>독성</b>\n내 다른 하수인들이\n공격력을 +1 얻습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>모면</b>, <b>독성</b>\n내 턴이 끝날 때,\n내 영웅에게 피해를\n3 줍니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>모면</b>, <b>독성</b>\n내 턴이 시작될 때,\n이 하수인은 공격력이\n2배가 됩니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>모면</b>, <b>독성</b>\n아군 하수인 하나당 비용이 (1)씩 감소합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	[x]<b>모면</b>, <b>독성</b>\n<b>전투의 함성:</b> 이 하수인을\n복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>모면</b>, <b>독성</b>\n<b>죽음의 메아리:</b>\n이 하수인을 내 덱에\n섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>\n내 다른 하수인들이\n공격력을 +1 얻습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>,\n내 턴이 끝날 때, 내 영웅에게\n피해를 3 줍니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>,\n내 턴이 시작될 때, 이 하수인은\n공격력이 2배가 됩니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>,\n아군 하수인 하나당 비용이 (1)씩 감소합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>,\n<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>천상의 보호막</b>, <b>도발</b>,\n<b>생명력 흡수</b>, <b>속공</b>,\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]내 다른 하수인들이\n공격력을 +1 얻습니다.\n내 턴이 끝날 때, 내 영웅에게\n피해를 3 줍니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]내 다른 하수인들이\n공격력을 +1 얻습니다.\n내 턴이 시작될 때, 이 하수인은\n공격력이 2배가 됩니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	내 다른 하수인들이 공격력을 +1 얻습니다.\n아군 하수인 하나당 비용이 (1)씩 감소합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	내 다른 하수인들이\n공격력을 +1 얻습니다.\n<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]내 다른 하수인들이\n공격력을 +1 얻습니다.\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]내 턴이 끝날 때, 내 영웅에게\n피해를 3 줍니다. 내 턴이\n시작될 때, 이 하수인은\n공격력이 2배가 됩니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	내 턴이 끝날 때, 내 영웅에게 피해를 3 줍니다.\n아군 하수인 하나당 비용이 (1)씩 감소합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	내 턴이 끝날 때, 내 영웅에게 피해를 3 줍니다.\n<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]내 턴이 끝날 때, 내 영웅에게\n피해를 3 줍니다.\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	내 턴이 시작될 때, 이 하수인은 공격력이 2배가 됩니다.\n아군 하수인 하나당 비용이 (1)씩 감소합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	내 턴이 시작될 때, 이 하수인은 공격력이 2배가 됩니다.\n<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]내 턴이 시작될 때, 이 하수인은\n공격력이 2배가 됩니다.\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	아군 하수인 하나당 비용이 (1)씩 감소합니다.\n<b>전투의 함성:</b> 이 하수인을 복사하여 소환합니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]아군 하나당 비용이\n(1)씩 감소합니다.\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>전투의 함성:</b> 이 하수인을\n복사하여 소환합니다.\n<b>죽음의 메아리:</b> 이 하수인을\n내 덱에 섞어 넣습니다.	
