TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Wybierz pierwszą Karczemną bójkę!	
FB_BUILDABRAWL002	Wybierz drugą Karczemną bójkę!	
FB_ELO_GREATERSPIRITS	Wybierz większą premię!	
FB_ELO_SPIRITS	Wybierz premię!	
GAMEPLAY_AI_OPPONENT_NAME	Karczmarz	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Otrzymaj obrażenia od twoich kart, aby ulepszyć.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Otrzymaj obrażenia od twoich kart, aby ulepszyć.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Otrzymaj obrażenia od twoich kart, aby ulepszyć.)</i>	
GAMEPLAY_BURNED_CARDS_HISTORY_TEXT	Jeśli mając pełną rękę dobierzesz kartę, zostanie ona zniszczona.	
GAMEPLAY_BURNED_CARDS_TITLE	Zniszczone karty	
GAMEPLAY_CHOOSE_ONE	Wybierz jedno	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MINIONS	Wybierz jedno dla twoich stronników:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_MURLOCS	Wybierz jedno dla twoich Murloków:	
GAMEPLAY_CHOOSE_ONE_ADAPT_ALL_RECRUITS	Wybierz jedno dla twoich Rekrutów:	
GAMEPLAY_CHOOSE_ONE_HERO_POWER	Wybierz jedno	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
GAMEPLAY_COIN_TOSS_LOST	Otrzymujesz dodatkową kartę	
GAMEPLAY_COIN_TOSS_WON	Zaczynasz	
GAMEPLAY_COPY_DEATHRATTLE	Skopiowana Agonia z karty {0}.	
GAMEPLAY_DIAMOND_SPELLSTONE_1	<i>(Rzuć 4 zaklęcia, aby ulepszyć.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_2	<i>(Rzuć jeszcze 3 zaklęcia, aby ulepszyć.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_3	<i>(Rzuć jeszcze 2 zaklęcia, aby ulepszyć.)</i>	
GAMEPLAY_DIAMOND_SPELLSTONE_4	<i>(Rzuć jeszcze 1 zaklęcie, aby ulepszyć.)</i>	
GAMEPLAY_DISCONNECT_BODY	Gra ukończona i zapisana! Uruchom ponownie Hearthstone, aby kontynuować. 	
GAMEPLAY_DISCONNECT_BODY_RESET	Gra ukończona i zapisana! Trwa ponowne łączenie z serwerami Hearthstone. 	
GAMEPLAY_DISCONNECT_HEADER	Rozłączono 	
GAMEPLAY_DISCOVER_JUGGERNAUT	Wybierz kapitana na rywala...	
GAMEPLAY_DISCOVER_MYSTERY	Co wybrał twój przeciwnik?	
GAMEPLAY_DONE_TURN	GOTOWE	
GAMEPLAY_EMOTE_LABEL_DISABLED_EMOTES	...	
GAMEPLAY_EMOTE_LABEL_FIREWORKS	Wow	
GAMEPLAY_EMOTE_LABEL_GREETINGS	Witaj	
GAMEPLAY_EMOTE_LABEL_OOPS	Ups	
GAMEPLAY_EMOTE_LABEL_SORRY	Wybacz	
GAMEPLAY_EMOTE_LABEL_THANKS	Dzięki	
GAMEPLAY_EMOTE_LABEL_THREATEN	Groźba	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	Nieźle	
GAMEPLAY_EMOTE_LABEL_WOW	Wow	
GAMEPLAY_EMOTE_SQUELCH	Wycisz	
GAMEPLAY_EMOTE_UNSQUELCH	Anuluj wyciszenie	
GAMEPLAY_END_OF_GAME_DEFEAT	Porażka!	
GAMEPLAY_END_OF_GAME_DEFEAT_MAYBE	Porażka?	
GAMEPLAY_END_OF_GAME_TIE_ESCAPED	Ucieczka!	
GAMEPLAY_END_OF_GAME_VICTORY	Zwycięstwo!	
GAMEPLAY_END_OF_GAME_VICTORY_MAYBE	Zwycięstwo?	
GAMEPLAY_END_TURN	KONIEC TURY	
GAMEPLAY_ENEMY_TURN	PRZECIWNIK	
GAMEPLAY_ERROR_PLAY_REJECTED	Za późno! Twoja tura dobiegła końca.	
GAMEPLAY_FATIGUE_HISTORY_TEXT	Próba dobrania karty z pustej talii zadaje wzrastające obrażenia twojemu bohaterowi.	
GAMEPLAY_FATIGUE_TEXT	Brak kart! Otrzymujesz\n{0} pkt. obrażeń.	
GAMEPLAY_FATIGUE_TITLE	Zmęczenie	
GAMEPLAY_GOLDHERO_WINS	Zwycięstwo! 	
GAMEPLAY_HISTORY_CREATED_BY	Efekt działania karty:\n{0}	0=name of a card
GAMEPLAY_JASPER_SPELLSTONE_1	<i>(Otrzymaj 3 pkt. pancerza, aby ulepszyć.)</i>	
GAMEPLAY_JASPER_SPELLSTONE_2	<i>(Otrzymaj jeszcze 2 pkt. pancerza, aby ulepszyć.)</i>	
GAMEPLAY_JASPER_SPELLSTONE_3	<i>(Otrzymaj jeszcze 1 pkt. pancerza, aby ulepszyć.)</i>	
GAMEPLAY_LOOT_526d_DARKNESS_1	Gdy twój przeciwnik dobierze\ntrzy Świece, Ciemność przebudzi się!	
GAMEPLAY_LOOT_526d_DARKNESS_2	Gdy twój przeciwnik dobierze jeszcze\ndwie Świece, Ciemność przebudzi się!	
GAMEPLAY_LOOT_526d_DARKNESS_3	Gdy twój przeciwnik dobierze jeszcze\njedną Świecę, Ciemność przebudzi się!	
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MISSING_OPPONENT_NAME	Twój przeciwnik	
GAMEPLAY_MOBILE_BATTLECRY_CANCELED	Okrzyk bojowy anulowany.	
GAMEPLAY_MOBILE_TARGETING_CANCELED	Namierzanie anulowane.	
GAMEPLAY_MULLIGAN_REPLACE	DO WYMIANY	
GAMEPLAY_MULLIGAN_STARTING_HAND	Ręka startowa	
GAMEPLAY_MULLIGAN_SUBTITLE	Zatrzymaj lub wymień	
GAMEPLAY_MULLIGAN_WAITING	Przeciwnik wciąż wybiera...	
GAMEPLAY_NEXT_TURN	EKSTRA TURA	
GAMEPLAY_ONYX_SPELLSTONE_1	<i>(Zagraj 3 karty z_<b>Agonią</b>, aby ulepszyć.)</i>	
GAMEPLAY_ONYX_SPELLSTONE_2	<i>(Zagraj jeszcze 2_karty z_<b>Agonią</b>, aby ulepszyć.)</i>	
GAMEPLAY_ONYX_SPELLSTONE_3	<i>(Zagraj jeszcze 1_kartę z_<b>Agonią</b>, aby ulepszyć.)</i>	
GAMEPLAY_PEARL_SPELLSTONE_1	<i>(Przywróć 3 pkt. zdrowia, aby ulepszyć.)</i>	
GAMEPLAY_PEARL_SPELLSTONE_2	<i>(Przywróć jeszcze 2 pkt. zdrowia, aby ulepszyć.)</i>	
GAMEPLAY_PEARL_SPELLSTONE_3	<i>(Przywróć jeszcze 1 pkt. zdrowia, aby ulepszyć.)</i>	
GAMEPLAY_PlayErrors_REQ_ATTACK_GREATER_THAN_0	Postać bez wartości ataku nie może atakować	
GAMEPLAY_PlayErrors_REQ_ATTACKER_CAN_ATTACK	Ta postać nie może atakować	
GAMEPLAY_PlayErrors_REQ_ATTACKER_NOT_FROZEN	Zamrożona postać nie może atakować	
GAMEPLAY_PlayErrors_REQ_CAN_BE_ATTACKED	Ta postać nie może zostać zaatakowana	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_BATTLECRIES	Nie można wybrać jako cel okrzyków bojowych	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_COMBOS	Nie można wybrać jako cel Kombinacji	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_HERO_POWERS	Nie można wybrać jako cel mocy specjalnych	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_OPPONENTS	Ta postać nie może zostać wybrana	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_SPELLS	Nie można wybrać jako cel zaklęć	
GAMEPLAY_PlayErrors_REQ_CANNOT_PLAY_THIS	Nie możesz tego zagrać	
GAMEPLAY_PlayErrors_REQ_CHARGE_TARGET	Wybierz postać z Szarżą	
GAMEPLAY_PlayErrors_REQ_DAMAGED_TARGET	Wybierz ranną postać	
GAMEPLAY_PlayErrors_REQ_DRAG_TO_PLAY	Musisz przeciągnąć to na cel	
GAMEPLAY_PlayErrors_REQ_ENCHANTED_TARGET	Wybierz zauroczoną postać	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET	Wybierz wroga	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET_NOT_IMMUNE	Ta postać jest niewrażliwa	
GAMEPLAY_PlayErrors_REQ_ENEMY_WEAPON_EQUIPPED	Twój przeciwnik musi mieć broń	
GAMEPLAY_PlayErrors_REQ_ENOUGH_HEALTH	Za mało zdrowia	
GAMEPLAY_PlayErrors_REQ_ENOUGH_MANA	Za mało many	
GAMEPLAY_PlayErrors_REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY	Masz już każdy rodzaj totemu	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_DEATHRATTLE_MINION_DIED_THIS_GAME	W tej grze nie zginęli żadni stronnicy z Agonią	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_GAME	W tej grze nie zginęli żadni przyjazni stronnicy	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_TURN	W tej turze nie zginęli żadni przyjazni stronnicy	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_OF_RACE_DIED_THIS_TURN	W tej turze nie zginęli żadni prawidłowi przyjaźni stronnicy	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_OF_RACE_IN_HAND	Nie masz w ręce prawidłowych stronników	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINIONS_OF_RACE_DIED_THIS_GAME	W tej grze nie zginęli żadni prawidłowi przyjaźni stronnicy	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_TARGET	Wybierz przyjazną postać	
GAMEPLAY_PlayErrors_REQ_FROZEN_TARGET	Wybierz zamrożoną postać	
GAMEPLAY_PlayErrors_REQ_HAND_NOT_FULL	Masz pełną rękę	
GAMEPLAY_PlayErrors_REQ_HERO_OR_MINION_TARGET	Musisz wskazać postać	
GAMEPLAY_PlayErrors_REQ_HERO_TARGET	Musisz wskazać bohatera	
GAMEPLAY_PlayErrors_REQ_LEGENDARY_TARGET	Musisz wskazać legendarnego stronnika	
GAMEPLAY_PlayErrors_REQ_MAX_QUESTS	Możesz mieć maksymalnie {0} |4(zadanie,zadania,zadań)	
GAMEPLAY_PlayErrors_REQ_MAX_SECRETS	Możesz mieć maksymalnie {0} |4(sekret,sekrety,sekretów)	
GAMEPLAY_PlayErrors_REQ_MINIMUM_ENEMY_MINIONS	Wróg musi mieć co najmniej {0} |4(stronnika,stronników,stronników)	
GAMEPLAY_PlayErrors_REQ_MINIMUM_TOTAL_MINIONS	Na polu bitwy musi być co najmniej {0} |4(stronnik,stronników,stronników)	
GAMEPLAY_PlayErrors_REQ_MINION_CAP	Nie możesz mieć więcej stronników	
GAMEPLAY_PlayErrors_REQ_MINION_CAP_IF_TARGET_AVAILABLE	Nie możesz mieć więcej stronników	
GAMEPLAY_PlayErrors_REQ_MINION_OR_ENEMY_HERO	Wybierz stronnika lub wrogiego bohatera	
GAMEPLAY_PlayErrors_REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT	Nie możesz mieć więcej stronników ani \nkryształów many	
GAMEPLAY_PlayErrors_REQ_MINION_TARGET	Wybierz stronnika	
GAMEPLAY_PlayErrors_REQ_MUST_PLAY_OTHER_CARD_FIRST	Najpierw musisz zagrać kartę	
GAMEPLAY_PlayErrors_REQ_MUST_TARGET_TAUNTER	Musisz wskazać stronnika z Prowokacją	
GAMEPLAY_PlayErrors_REQ_NONSELF_TARGET	Stronnik nie może sam się wskazać	
GAMEPLAY_PlayErrors_REQ_NONSTEALTH_ENEMY_TARGET	Ukryte postaci nie mogą nie mogą zostać zaatakowane lub wybrane	
GAMEPLAY_PlayErrors_REQ_NOT_DISABLED_HERO_POWER	Twoja moc specjalna jest wyłączona	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_ACTIVATE	Ta postać już atakowała	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_HERO_POWER	Moce specjalne można wykorzystać tylko raz na turę	
GAMEPLAY_PlayErrors_REQ_NOT_MINION_JUST_PLAYED	Stronnicy nie mogą atakować w turze,\nw której zostali zagrani	
GAMEPLAY_PlayErrors_REQ_NUM_MINION_SLOTS	Nie możesz tego zrobić, gdyż masz za dużo stronników	
GAMEPLAY_PlayErrors_REQ_OPPONENT_PLAYED_CARDS_THIS_GAME	Twój przeciwnik nie zagrał jeszcze żadnych kart.	
GAMEPLAY_PlayErrors_REQ_SECRET_ZONE_CAP	Możesz mieć maksymalnie {0} |4(sekret i zadanie,sekrety i zadania,sekretów i zadań)	
GAMEPLAY_PlayErrors_REQ_STEALTHED_TARGET	Wybierz postać z Ukryciem	
