TAG	TEXT	COMMENT
BATTLEGROUNDS_PROGRESSION_QUEST_TIME_UNTIL_NEXT	Nowa misja za:\n{0}	
GLOBAL_AADC_BUTTON_PRIVACY	Prywatność	
GLOBAL_AADC_BUTTON_PRIVACYSETTINGS	Ustawienia prywatności	
GLOBAL_AADC_CHATSETTINGS_DISABLEDESCRIPTION	Wyłączenie czatu uniemożliwi wysłanie/odbieranie wiadomości do/od znajomych.	
GLOBAL_AADC_CHATSETTINGS_DISABLEHEADER	Czy chcesz wyłączyć czat?	
GLOBAL_AADC_CHATSETTINGS_ENABLEDESCRIPTION	Włączenie czatu umożliwi wysyłanie/odbieranie wiadomości do/od znajomych. Pamiętaj, aby nie podawać danych osobowych.	
GLOBAL_AADC_CHATSETTINGS_ENABLEHEADER	Czy chcesz włączyć czat?	
GLOBAL_AADC_CHATSETTINGS_SETTINGSUPDATED	Zaktualizowano ustawienia czatu	
GLOBAL_AADC_CHATSETTINGS_TITLE	Ustawienia czatu	
GLOBAL_AADC_CHATSETTINGS_UPDATINGSETTINGS	Aktualizowanie ustawień czatu	
GLOBAL_AADC_CHATWARNING	Pamiętaj, aby w wiadomościach nie podawać danych osobowych.	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEDESCRIPTION	Jeśli wyłączysz pobliskich graczy, gracze znajdujący się niedaleko ciebie nie będą widzieć twojej aktywności w_grze na liście znajomych.	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEHEADER	Wyłączyć pobliskich graczy?	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEDESCRIPTION	Jeśli włączysz pobliskich graczy, gracze znajdujący się niedaleko ciebie będą widzieć twoją aktywność w_grze na liście znajomych.	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEHEADER	Włączyć pobliskich graczy?	
GLOBAL_AADC_FRIENDSETTINGS_SETTINGSUPDATED	Pobliscy gracze zaktualizowani	
GLOBAL_AADC_FRIENDSETTINGS_TITLE	Ustawienia znajomych	
GLOBAL_AADC_FRIENDSETTINGS_TURN_OFF_BUTTON	Wyłącz	
GLOBAL_AADC_FRIENDSETTINGS_TURN_ON_BUTTON	Włącz	
GLOBAL_AADC_FRIENDSETTINGS_UPDATINGSETTINGS	Aktualizowanie pobliskich graczy	
GLOBAL_AADC_NEARBY_PLAYER_SETTINGS_TITLE	Pobliscy gracze	
GLOBAL_AADC_PARENTALLOCK_DESCRIPTION	Zmiana tej opcji wymaga zaktualizowanie ustawień prywatności w Battle.net przez twojego rodzica lub opiekuna prawnego.	
GLOBAL_AADC_PRIVACYSETTINGSMENU_PRIVACYRIGHTS	Prawo do prywatności	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_LOCATIONSETTINGS	Włącz ustawienia lokalizacji	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_PUSHNOTIFICATIONS	Włącz powiadomienia	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_DEVICE	Opcje urządzenia	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_SOCIAL	Opcje społecznościowe	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_CHATMESSAGES	Włącz wiadomości czatu	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_NEARBYFRIENDS	Włącz pobliskich graczy	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_SPECIALOFFERS	Włącz spersonalizowane oferty sklepu	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEDESCRIPTION	Wyłączenie powiadomień uniemożliwi wysyłanie przez Hearthstone powiadomień na twoje urządzenie.	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEHEADER	Wyłącz powiadomienia	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEDESCRIPTION	Włączenie powiadomień umożliwi wysyłanie przez Hearthstone powiadomień na twoje urządzenie.	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEHEADER	Włącz powiadomienia	
GLOBAL_AADC_PUSHNOTIFICATIONS_SETTINGSUPDATED	Zaktualizowano ustawienia powiadomień	
GLOBAL_AADC_PUSHNOTIFICATIONS_TITLE	Ustawienia powiadomień	
GLOBAL_AADC_PUSHNOTIFICATIONS_UPDATINGSETTINGS	Aktualizowanie ustawień powiadomień	
GLOBAL_AADC_SHOPSETTINGS_DISABLEDESCRIPTION	Wyłączenie spersonalizowanych ofert sklepu uniemożliwi wyświetlanie ofert sklepu bazujących na rozgrywce.	
GLOBAL_AADC_SHOPSETTINGS_DISABLEHEADER	Wyłącz spersonalizowanie oferty	
GLOBAL_AADC_SHOPSETTINGS_ENABLEDESCRIPTION	Włączenie spersonalizowanych ofert sklepu umożliwi wyświetlanie ofert sklepu bazujących na rozgrywce.	
GLOBAL_AADC_SHOPSETTINGS_ENABLEHEADER	Włącz spersonalizowane oferty	
GLOBAL_AADC_SHOPSETTINGS_SETTINGSUPDATED	Zaktualizowano ustawienia sklepu	
GLOBAL_AADC_SHOPSETTINGS_TITLE	Ustawienia sklepu	
GLOBAL_AADC_SHOPSETTINGS_UPDATINGSETTINGS	Aktualizowanie ustawień sklepu	
GLOBAL_AADC_UPDATESETTINGSPOPUP_DESCRIPTION	Obecnie włączone są wszystkie preferencje społecznościowe i dotyczące urządzenia, w tym wiadomości czatu, sklep i oferty spersonalizowane.	
