TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>Pasywna moc specjalna</b>\nTwój bohater posiada <b>Niewrażliwość</b>. Zostały trzy tury.	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>Pasywna moc specjalna</b>\nTwój bohater posiada <b>Niewrażliwość</b>. Zostały dwie tury.	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>Pasywna moc specjalna</b>\nTwój bohater posiada <b>Niewrażliwość</b>. Została jedna tura!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>Pasywna moc specjalna</b>\nBoss został przyzwany, lecz stracono <b>Niewrażliwość</b>.	
MISSION_DEFAULTCOUNTERNAME	|4(tura,tury,tur) do ucieczki	
MISSION_GLOWING_POOL	Opalizujący staw	
MISSION_NEFARIAN_TITLE	Pogromca ćwierć-inteligentnych, pół-kompetentnych i całkiem bezużytecznych stronników.	
MISSION_PIT_OF_SPIKES	Jama z kolcami	
MISSION_PRE_TUTORIAL_WANTED	Poszukiwany	
MISSION_STATUES_EYE	Oko posągu	
MISSION_TAKE_THE_SHORTCUT	Wybierasz skrót?	
TB_DECKBUILDING_FIRSTCARDPLAYED	Kiedy zagrywasz kartę, wtasuj jej kopię do twojej talii.	
TB_DECKBUILDING_FIRSTENDTURN	A teraz zwróć rękę do talii i dobierz ją ponownie.	
TB_DECKBUILDING_FIRSTPICKTHREE	Wybierz nową kartę do ręki.	
TB_DECKBUILDING_STARTOFGAME	Zbieraj zespół w miarę rozgrywki! Powodzenia!	
TB_DECKBUILDING_STARTOFGAME_START	Start!	
TB_DECKRECIPE_OG_DRUID	Wykorzystaj generujące manę zaklęcia druida, by przyzywać sługi Przedwiecznych z dużym wyprzedzeniem.	
TB_DECKRECIPE_OG_HUNTER	Nie obawiaj się śmierci, ponieważ twoi stronnicy będą przydatni także, gdy zginą. Atakuj stronników przeciwnika, a w końcu ugnie się pod naciskiem.	
TB_DECKRECIPE_OG_MAGE	Rzucaj jak najwięcej zaklęć. Każde sprawi, że ponowne przebudzenie Yogg-Sarona będzie jeszcze groźniejsze.	
TB_DECKRECIPE_OG_PALADIN	Chroń swoich stronników boską tarczą, a będą w stanie zająć się dwoma przeciwnikami jednocześnie!	
TB_DECKRECIPE_OG_PRIEST	Lecz swoich stronników, by przetrwali jak najdłużej i doczekali przebudzenia przerażającego C'Thuna!	
TB_DECKRECIPE_OG_ROGUE	Agresywnie dokonuj wymian stronników! Większość zapewni ci jakąś korzyść, kiedy zginą, więc poświęcaj ich do woli.	
TB_DECKRECIPE_OG_SHAMAN	Przyzwij tylu stronników, ile to możliwe, a_następnie ich przekształć! Przekształcaj stronników, którzy zrobili swoje, aby w_pełni wykorzystać ich wartość!	
TB_DECKRECIPE_OG_WARLOCK	Wzmocnij swoje armie niezliczonymi sługami Przedwiecznych Bogów. Zalej planszę pomniejszymi stronnikami, aby przytłoczyć przeciwnika.	
TB_DECKRECIPE_OG_WARRIOR	Broń się, gdy twoje oddanie C'Thunowi wzrasta. Wzmocnij swój pancerz do takiego poziomu, aby przeciwnik nie był w stanie przebić się przez potęgę Przedwiecznych Bogów!	
TB_GIFTEXCHANGE_GIFTSPAWNED	Jeśli po twojej stronie nie ma skrzyni, to nowa zostanie dostarczona.	
TB_GIFTEXCHANGE_GIFTSTOLEN	Dostajesz prezent! Co to może być...	
TB_GIFTEXCHANGE_START	Wesołych świąt! Łap prezenty!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	Wybrane losy wpływają na obu graczy!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	Pamiętaj, ta premia jest tylko dla ciebie.	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	Los twego przeciwnika wpływa także na ciebie!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	Pamiętaj, ta premia jest tylko dla twojego przeciwnika.	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	Wybrane losy wpływają na obu graczy!	
TB_PICKYOURFATE_RANDOM_NEWFATE	Potrzebujesz nowego losu!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	Twój przeciwnik potrzebuje nowego losu!	
TB_SHADOWTOWERS_ADJACENTMINIONS	Stronnicy obok wieży mają <b>Ukrycie</b> i nie mogą atakować.	
TB_SHADOWTOWERS_SHADOWSPAWNED	Jeśli po jednej ze stron nie ma wieży, zostaje ona przyzwana.	
TB_SHADOWTOWERS_SHADOWSPAWNEDNEXT	Brakujące wieże są przywracane na początku tury ich właściciela.	
