TAG	TEXT	COMMENT
PRESENCE_STATUS_ARENA_FORGE	Przygotowuje talię na Arenę	
PRESENCE_STATUS_ARENA_GAME	Walczy na Arenie	
PRESENCE_STATUS_ARENA_IDLE	Krząta się po Arenie	
PRESENCE_STATUS_ARENA_PURCHASE	Rozmyśla nad wejściem na Arenę	
PRESENCE_STATUS_ARENA_QUEUE	Wyszukuje przeciwnika na Arenie	
PRESENCE_STATUS_ARENA_REWARD	Odbiera nagrody za Arenę	
PRESENCE_STATUS_COLLECTION	Przegląda swoją kolekcję	
PRESENCE_STATUS_CRAFTING	Tworzy nowe karty	
PRESENCE_STATUS_DECKEDITOR	Przygotowuje talię	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	Szykuje się do walki	
PRESENCE_STATUS_FRIENDLY_GAME	Walczy ze znajomym	
PRESENCE_STATUS_HUB	Krząta się po głównym menu	
PRESENCE_STATUS_LOGIN	Odpala grę	
PRESENCE_STATUS_PACKOPENING	Otwiera pakiety kart!!!	
PRESENCE_STATUS_PLAY_DECKPICKER	Wchodzi do trybu pojedynku	
PRESENCE_STATUS_PLAY_GAME	Walczy w trybie pojedynku	
PRESENCE_STATUS_PLAY_QUEUE	Wyszukuje przeciwnika	
PRESENCE_STATUS_PRACTICE_DECKPICKER	Wchodzi do trybu treningowego	
PRESENCE_STATUS_PRACTICE_GAME	Ćwiczy grę z karczmarzem	
PRESENCE_STATUS_QUESTLOG	Ogląda dziennik zadań	
PRESENCE_STATUS_STORE	Przegląda sklep	
PRESENCE_STATUS_TUTORIAL_GAME	Walczy z {0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	Po raz pierwszy uruchamia grę	
PRESENCE_STATUS_WELCOMEQUESTS	Otrzymuje nowe zadanie!	
PRESENCE_TUTORIAL_CHO	Wiedzicielem Czo	
PRESENCE_TUTORIAL_HEMET	Hemetem	
PRESENCE_TUTORIAL_HOGGER	Wyżerem	
PRESENCE_TUTORIAL_ILLIDAN	Illidanem	
PRESENCE_TUTORIAL_MILLHOUSE	Mełkiem Gromiłło	
PRESENCE_TUTORIAL_MUKLA	Królem Muklą	
