TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	W ręce możesz mieć 10 kart.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Ilość kart w ręce	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	Udało ci się pokonać Illidana! Załóż bezpłatne konto, aby rzucić wyzwanie nowym przeciwnikom w sieci!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Załóż konto	
TUTORIAL_NO_ENDTURN	Za wcześnie! Masz jeszcze karty do zagrania!	
TUTORIAL_NO_ENDTURN_ATK	Za wcześnie! Możesz jeszcze zaatakować.	
TUTORIAL_NO_ENDTURN_HP	Za wcześnie! Użyj twojej mocy specjalnej.	
TUTORIAL_PROGRESS_LESSON_TITLE	Początek podróży	
TUTORIAL_PROGRESS_SAVED	Postępy zapisane	
TUTORIAL_PROGRESS_TITLE	Postępy w misji	
TUTORIAL_RAID_LEADER_DESCRIPTION	Ten stronnik posiada zdolność, która działa aż do jego śmierci.	
TUTORIAL_RAID_LEADER_HEADLINE	Moce	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	Co turę dobierasz z talii losową kartę.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Twój przeciwnik co turę dobiera kartę.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Zapis wydarzeń w grze.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Historia	
TUTORIAL_WANTED	Poszukiwany	
TUTORIAL01_HELP_01	Przegrasz, jeśli twoje zdrowie spadnie do zera.	
TUTORIAL01_HELP_02	Ta karta została zagrana w poprzedniej turze.	
TUTORIAL01_HELP_03	Zmiażdż tego gnola!	
TUTORIAL01_HELP_04	Stronnicy muszą poczekać turę zanim zaatakują.	
TUTORIAL01_HELP_05	Zaatakuj Wyżera!	
TUTORIAL01_HELP_06	Rzuć na Wyżera wszystko, czym dysponujesz!	
TUTORIAL01_HELP_07	Zachowaj to na wroga!	
TUTORIAL01_HELP_08	Nie zważaj na tego żałosnego gnola, tylko wykończ Wyżera!	
TUTORIAL01_HELP_09	Wygrasz, gdy zdrowie Wyżera spadnie do zera.	
TUTORIAL01_HELP_10	Zaatakuj swoim stronnikiem!	
TUTORIAL01_HELP_11	Kliknij, aby zaatakować.	
TUTORIAL01_HELP_12	Ile obrażeń zadaje.	
TUTORIAL01_HELP_13	Ile obrażeń wytrzyma.	
TUTORIAL01_HELP_14	Pokonaj Wyżera!	
TUTORIAL01_HELP_15	Zagrywaj stronników i_używaj ich, żeby zaatakować Wyżera.\n\nZadaj mu dość obrażeń, a_wygrasz!	
TUTORIAL01_HELP_16	Start!	
TUTORIAL01_HELP_17	Kliknij go!	
TUTORIAL01_HELP_17_TOUCH	Dotknij go!	
TUTORIAL01_HELP_18	Darmowe karty!	
TUTORIAL02_HELP_01	Co turę otrzymujesz kryształ many.	
TUTORIAL02_HELP_02	Zagranie kart kosztuje manę.	
TUTORIAL02_HELP_03	Twoje wykorzystane kryształy many odnawiają się co turę.	
TUTORIAL02_HELP_04	Masz {0} pkt. many.	
TUTORIAL02_HELP_06	Dorwij Gromiłłę!	
TUTORIAL02_HELP_07	Co turę wykorzystuj swoje zasoby many, aby zniszczyć tego aroganckiego gnoma.	
TUTORIAL02_STARTING_HAND	Ręka startowa	
TUTORIAL03_HELP_01	Ten goryl posiada zdolność „Prowokacja”.	
TUTORIAL03_HELP_02	Chwała Królowi	
TUTORIAL03_HELP_03	Nie rozumiesz, co robi karta? Przesuń nad nią kursor myszki!	
TUTORIAL03_HELP_03_TOUCH	Nie rozumiesz, co robi karta? Dotknij jej i przytrzymaj palec!	
TUTORIAL04_HELP_01	Możesz używać twojej mocy specjalnej raz na turę.	
TUTORIAL04_HELP_02	W owcę to!	
TUTORIAL04_HELP_03	Zachowaj to na Stwora z moczarów!	
TUTORIAL04_HELP_14	Witamy w dżungli	
TUTORIAL04_HELP_15	Zabij jego stronników, bo inaczej cię przytłoczą!	
TUTORIAL04_HELP_16	Pokonaj stronników za pomocą zaklęć i twojej mocy specjalnej!	
TUTORIAL05_HELP_01	Kiedy atakujesz, broń się zużywa i traci wytrzymałość.	
TUTORIAL05_HELP_02	Zdrajca	
TUTORIAL05_HELP_03	Z tą walką jest coś zdecydowanie nie teges. Zwal to na beznadziejnych projektantów.	
TUTORIAL05_HELP_04	Twoi stronnicy z Prowokacją mogą chronić cię przed atakami!	
TUTORIAL05_WEAPON_DESC	Pozwala twojemu bohaterowi atakować dopóki wytrzymałość nie spadnie do zera.	
TUTORIAL05_WEAPON_HEADLINE	Broń	
TUTORIAL06_HELP_01	Wiedziciel Czo	
TUTORIAL06_HELP_02	Kiedy stronnicy walczą ze sobą, *obaj* otrzymują obrażenia.	
