TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*śmiech*	
TUTORIAL01_HOGGER_02	*prychnięcie*	
TUTORIAL01_HOGGER_04	Ha ha ha! Rawrr.	
TUTORIAL01_HOGGER_05	Hehehehahaha!	
TUTORIAL01_HOGGER_06	Hehehehoohoohoo!	
TUTORIAL01_HOGGER_07	Ha Haaa!	
TUTORIAL01_HOGGER_08	AAaarooh!!	
TUTORIAL01_JAINA_01	Pokaż, co potrafisz!	
TUTORIAL01_JAINA_02	Potrzebuję stronników, którzy będą dla mnie walczyć.	
TUTORIAL01_JAINA_03	Twój ruch, GNOLU.	
TUTORIAL01_JAINA_04	Pożałujesz tego!	
TUTORIAL01_JAINA_05	Doskonale.	
TUTORIAL01_JAINA_06	Hm! Kolejny stronnik. Tego właśnie potrzebowałam.	
TUTORIAL01_JAINA_07	Teraz jesteś już mój.	
TUTORIAL01_JAINA_09	Hahaha! A teraz po gardle go!	
TUTORIAL01_JAINA_10	5 ataku? Ale wielka bestia!	
TUTORIAL01_JAINA_13	Wracaj do Kazamatów, Wyżer!	
TUTORIAL01_JAINA_15	To nie wystarczy, żeby zabić mojego stronnika!	
TUTORIAL01_JAINA_16	Przygotuj się, Wyżer. Jesteś następny w kolejce!	
TUTORIAL01_JAINA_17	Hmm... powinnam zaatakować gnola czy samego Wyżera?	
TUTORIAL01_JAINA_18	Mogę zabić tego ogromnego gnola albo zaatakować jego pana.	
TUTORIAL01_JAINA_19	Karta ZAKLĘCIA! Można jej użyć tylko raz, więc najlepiej dobrze to przemyśleć...	
TUTORIAL01_JAINA_20	No, ale przynajmniej nie zagrał w tej turze żadnej karty...	
TUTORIAL01_JAINA_21	Dwie karty? Musiał sobie jedną zachować.	
TUTORIAL02_JAINA_03	*westchnienie* Jakie?	
TUTORIAL02_JAINA_04	Muszę poczekać turę na odnowienie many.	
TUTORIAL02_JAINA_05	Potrzebuję więcej many zanim będę mogła to zagrać.	
TUTORIAL02_JAINA_07	Więcej kart! Doskonale!	
TUTORIAL02_JAINA_08	Ach. Odzyskałam manę.	
TUTORIAL02_MILLHOUSE_01	Co? To ja miałem być pierwszy!	
TUTORIAL02_MILLHOUSE_02	Jaino... przygotuj się na starcie z potężnym Mełkiem Gromiłło!	
TUTORIAL02_MILLHOUSE_03	To ma być stronnik? Jakiś murlok? Buhahaha!	
TUTORIAL02_MILLHOUSE_04	Bonie dydy! Ta karta jest niesamowita!	
TUTORIAL02_MILLHOUSE_05	Tylko poczekaj, aż będę mieć więcej many!	
TUTORIAL02_MILLHOUSE_06	Jaino, mam nadzieję, że lubisz ZAGŁADĘ!	
TUTORIAL02_MILLHOUSE_07	Kolejna mana! Jeszcze chwila!	
TUTORIAL02_MILLHOUSE_08	Wiesz, jakie to uczucie?	
TUTORIAL02_MILLHOUSE_09	ZWYCIĘSKIE! Hehe!	
TUTORIAL02_MILLHOUSE_10	Auuuć! Uważaj na wąsy!	
TUTORIAL02_MILLHOUSE_11	To ci się spodoba!	
TUTORIAL02_MILLHOUSE_13	Tylko poczekaj, aż będę mieć 10 many!	
TUTORIAL02_MILLHOUSE_15	Szybciej! Nie mogę się doczekać, żeby zagrać tę kartę!	
TUTORIAL02_MILLHOUSE_16	Dawaj, dawaj, dawaj!	
TUTORIAL02_MILLHOUSE_17	Przestań mnie atakować. Wygrać tu próbuję!	
TUTORIAL02_MILLHOUSE_19	Moi prawnicy dadzą ci popalić!	
TUTORIAL03_JAINA_01	To Król Mukla! Zaatakuj go, gdy będzie sam!	
TUTORIAL03_JAINA_05	To wszystko na co cię stać, Mukla? Rzucanie beczkami?	
TUTORIAL03_JAINA_07	Zabij małpoluda, żebym mogła wykończyć Muklę!	
TUTORIAL03_JAINA_12	Słyszysz to?	
TUTORIAL03_JAINA_13	Cóż to?	
TUTORIAL03_JAINA_14	Czemu te małpiszony rzucają we mnie bananami?	
TUTORIAL03_JAINA_15	Durne małpy!	
TUTORIAL03_JAINA_16	Jest za silny! Wykończ lepiej Muklę!	
TUTORIAL03_JAINA_17	Potrzebuję stronnika, który sprowokuje tego olbrzymiego goryla!	
TUTORIAL03_JAINA_18	Jestem bezbronna!	
TUTORIAL03_JAINA_19	Ale wielka bestia! Ale przynajmniej nie potrafi prowokować.	
TUTORIAL03_MUKLA_01	rrrRRRAAAARRGH!	
TUTORIAL03_MUKLA_03	He he he...	
TUTORIAL03_MUKLA_04	Uuu! Uuu! Uuu!	
TUTORIAL03_MUKLA_05	Ha! Uuu uuu!	
TUTORIAL03_MUKLA_06	Raaar! Uuu! Uuu!	
TUTORIAL04_HEMET_01	No no, ale z ciebie śwarna dziołcha.	
TUTORIAL04_HEMET_02	Co? Nikt nie będzie tak godoć do starego Hemeta!	
TUTORIAL04_HEMET_03	Ha! Jestem pierwszy!	
TUTORIAL04_HEMET_04	O… Będzie ci potrzebna!	
TUTORIAL04_HEMET_06	Pewnie już wiesz jak walczyć ze stronnikami.	
TUTORIAL04_HEMET_07	Ale Hemet sam załatwia porachunki!	
TUTORIAL04_HEMET_08	Bestyjka! Powieszę jej łeb na ścianie!	
TUTORIAL04_HEMET_09	Zedrę z tej bestii futro! Potrzebny mi nowy szalik.	
TUTORIAL04_HEMET_10	O, dzięki żeś przywiodła mi tu przekąskę!	
TUTORIAL04_HEMET_11	Ach, nie ma jak polowanie!	
TUTORIAL04_HEMET_12a	Stary człowiek tak nie może!	
TUTORIAL04_HEMET_12b	Daj spokój!	
TUTORIAL04_HEMET_13	Może powinienem wrócić do pisania.	
TUTORIAL04_HEMET_15	Wiesz… Przypomina mi to jak kiedyś tropiłem wielkiego tygrysa Bangalasza.	
TUTORIAL04_HEMET_16	Powiedz, czytałaś moją książkę „Zielone Wzgórza Cierniodławii?”	
TUTORIAL04_HEMET_17	W Cierniodławii nie mogłoby się to zdarzyć!	
TUTORIAL04_HEMET_18	Ale ty jesteś jeno tycią dziewuszką!	
TUTORIAL04_HEMET_19	Ukorz się przed moim WIELKIM bagiennym stworem!	
TUTORIAL04_HEMET_20	Strzelba!	
TUTORIAL04_JAINA_01	Zawrzyj gębę.	
TUTORIAL04_JAINA_02	A ja dostałam dodatkową kartę.	
TUTORIAL04_JAINA_03	Nie mam żadnych kart, które kosztują 1 many.	
TUTORIAL04_JAINA_04	Też mam parę sztuczek w zanadrzu.	
TUTORIAL04_JAINA_05	Powinnam zadać 1 punkt obrażeń stronnikowi czy Hemetowi?	
TUTORIAL04_JAINA_08	Jeden punkt zdrowia? To idealny cel.	
TUTORIAL04_JAINA_09	Muszę jakoś zneutralizować tego stwora.	
TUTORIAL05_ILLIDAN_01	NIE JESTEŚ gotowa!	All of Illidan's lines are iconic from WoW, please use the same translation if possible.
TUTORIAL05_ILLIDAN_02	Poczuj nienawiść dziesięciu tysiącleci!	
TUTORIAL05_ILLIDAN_03	Spójrz w oczy Zdrajcy!	
TUTORIAL05_ILLIDAN_04	Kto teraz zakosztuje moich ostrzy?!	
TUTORIAL05_ILLIDAN_05	Patrz na płomienie Azzinotha!	
TUTORIAL05_ILLIDAN_06	Nie wiesz nic o potędze!	
TUTORIAL05_ILLIDAN_08	Ukażę ci moc uwięzionego we mnie demona!	
TUTORIAL05_ILLIDAN_09	Nie pozwolę się dotknąć hołocie takiej jak ty!	
TUTORIAL05_ILLIDAN_10	Cóż za arogancja!	
TUTORIAL05_ILLIDAN_11	To będzie zabawne!	
TUTORIAL05_JAINA_01	No nie wiem, rozegrałam tylko pięć misji.	
TUTORIAL05_JAINA_02	Jego moc specjalna... jest strasznie silna!	
TUTORIAL05_JAINA_05	Skup się na zabiciu Illidana!	
TUTORIAL05_JAINA_06	Nie można dłużej zwlekać. Zabij go!	
TUTORIAL06_CHO_01	O! Jaino! Dobrze cię widzieć.	
TUTORIAL06_CHO_02	Pokaż mi, czego się nauczyłaś.	
TUTORIAL06_CHO_03	Dobrze! Dobrze!	
TUTORIAL06_CHO_04	O! Sprytne zagranie.	
TUTORIAL06_CHO_05	Wojna powinna być ostatecznością.	
TUTORIAL06_CHO_06	Być może.	
TUTORIAL06_CHO_07	A! Nie możesz mnie sięgnąć!	
TUTORIAL06_CHO_08	Wszyscy wydają się stąd tacy mali!	
TUTORIAL06_CHO_09	Nawet jeden punkt życia może oznaczać różnicę pomiędzy zwycięstwem i porażką.	
TUTORIAL06_CHO_12	O... dysponujesz sporą mocą.	
TUTORIAL06_CHO_15	Nie władam dobrze mieczem ani łukiem, ale mam wielu przyjaciół.	
TUTORIAL06_CHO_17	Zdobyłem nowych sojuszników, którzy potrafią nie tylko leczyć, ale też walczyć!	
TUTORIAL06_CHO_20	Jesteś bardzo silna, Jaino!	
TUTORIAL06_CHO_21	Strach prowadzi do gniewu. Gniew prowadzi do nienawiści. Nienawiść prowadzi do bólu brzucha.	
TUTORIAL06_JAINA_01	Wiedzicielu Czo.	
TUTORIAL06_JAINA_02	Dam z siebie wszystko.	
