TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>Nieuchwytność</b>, <b>Trucizna</b>, <b>Boska tarcza</b>, <b>Prowokacja</b>, <b>Kradzież życia</b>, <b>Zryw</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Nieuchwytność</b>, <b>Trucizna</b>\nTwoi pozostali stronnicy mają +1 do ataku.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	[x]<b>Nieuchwytność</b>, <b>Trucizna</b>\nNa koniec twojej tury zadaj 3_pkt. obrażeń twojemu bohaterowi.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>Nieuchwytność</b>, <b>Trucizna</b>\nNa początku twojej tury podwój atak tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Nieuchwytność</b>, <b>Trucizna</b>\nKosztuje (1)_mniej za_każdego przyjaznego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Nieuchwytność</b>, <b>Trucizna</b>\n<b>Okrzyk bojowy:</b> Przyzwij_kopię tego_stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	[x]<b>Nieuchwytność</b>, <b>Trucizna</b>\n<b>Agonia:</b> Wtasuj tę kartę do_twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\nTwoi pozostali stronnicy mają +1_do ataku.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	[x]<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\nNa koniec twojej tury\nzadaj 3_pkt. obrażeń\ntwojemu bohaterowi.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	[x]<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\nNa początku twojej tury\npodwój atak\ntego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\nKosztuje (1)_mniej za_każdego przyjaznego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\n<b>Okrzyk bojowy:</b> Przyzwij kopię tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	[x]<b>Boska tarcza</b>, <b>Prowokacja</b>,\n<b>Kradzież życia</b>, <b>Zryw</b>\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	[x]Twoi pozostali stronnicy\nmają_+1 do ataku.\nNa koniec twojej tury\nzadaj 3_pkt. obrażeń\ntwojemu bohaterowi.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	[x]Twoi pozostali stronnicy\nmają_+1 do ataku.\nNa początku twojej tury\npodwój atak\ntego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	[x]Twoi pozostali stronnicy\nmają +1 do ataku.\nKosztuje (1) mniej za każdego\nprzyjaznego_stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	[x]Twoi pozostali stronnicy\nmają_+1 do ataku.\n<b>Okrzyk bojowy:</b> Przyzwij\nkopię tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	[x]Twoi pozostali stronnicy\nmają_+1 do ataku.\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	[x]Na koniec twojej tury zadaj\n3_pkt. obrażeń twojemu bohaterowi.\nNa początku twojej tury\npodwój atak tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]Na koniec twojej tury\nzadaj 3 pkt. obrażeń\ntwojemu bohaterowi.\nKosztuje (1) mniej za każdego\nprzyjaznego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	Na koniec twojej tury zadaj_3_pkt._obrażeń twojemu_bohaterowi.\n<b>Okrzyk bojowy:</b> Przyzwij kopię tego_stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	[x]Na koniec twojej tury\nzadaj 3_pkt. obrażeń\ntwojemu bohaterowi.\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]Na początku twojej tury\npodwój atak tego stronnika.\nKosztuje (1) mniej za każdego\nprzyjaznego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	Na początku twojej tury podwój_atak tego stronnika.\n<b>Okrzyk bojowy:</b> Przyzwij kopię tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	[x]Na początku twojej tury\npodwój atak tego stronnika.\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Kosztuje (1)_mniej za_każdego przyjaznego stronnika.\n<b>Okrzyk bojowy:</b> Przyzwij kopię tego stronnika.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]Kosztuje (1) mniej za każdego\nprzyjaznego stronnika.\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	[x]<b>Okrzyk bojowy:</b> Przyzwij\nkopię tego stronnika.\n<b>Agonia:</b> Wtasuj tę kartę\ndo twojej talii.	
