TAG	TEXT	COMMENT
FB_BUILDABRAWL001	Escolha sua primeira Contenda de Taverna!	
FB_BUILDABRAWL002	Escolha sua segunda Contenda de Taverna!	
FB_ELO_GREATERSPIRITS	Escolha um Bônus Maior!	
FB_ELO_SPIRITS	Escolha um Bônus!	
GALAKROND_ONCE	<b>Invoque</b> uma vez para aprimorar.	
GALAKROND_TWICE	<b>Invoque</b> duas vezes para aprimorar.	
GAMEPLAY_AI_OPPONENT_NAME	O Estalajadeiro	
GAMEPLAY_AMETHYST_SPELLSTONE_1	<i>(Receba dano de seus cards para aprimorar.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_2	<i>(Receba dano de seus cards para aprimorar.)</i>	
GAMEPLAY_AMETHYST_SPELLSTONE_3	<i>(Receba dano de seus cards para aprimorar.)</i>	
GAMEPLAY_BACON_ALTERNATE_PLAYER_NAME	Como {0}	0=character hero name
GAMEPLAY_BACON_BUY_TUTORIAL	Arraste para comprar.	
GAMEPLAY_BACON_COIN_TUTORIAL_1	Comprar lacaios <b>SEMPRE</b> custa 3 de Ouro.	
GAMEPLAY_BACON_COIN_TUTORIAL_2	Todo Ouro que não for gasto desaparece.	
GAMEPLAY_BACON_COMBAT_BODY_TUTORIAL	Seus lacaios que sobreviverem em combate ajudam você a causar dano adicional.\n\nQuanto maior o grau da Taverna, mais alto o dano!	
GAMEPLAY_BACON_COMBAT_BUTTON_TUTORIAL	Ok!	
GAMEPLAY_BACON_COMBAT_END_TURN_BUTTON_TEXT	Combate	
GAMEPLAY_BACON_COMBAT_PHASE_NAME	Combate	
GAMEPLAY_BACON_COMBAT_TITLE_TUTORIAL	Dano de combate	
GAMEPLAY_BACON_CONFIRM_BUTTON_TUTORIAL	OK!	
GAMEPLAY_BACON_DRAGBUY_BODY_TUTORIAL	Arraste lacaios para o seu herói\npara comprá-los por\n<b>3 de Ouro</b>.\n\nCrie um exército para derrotar seus inimigos!	
GAMEPLAY_BACON_DRAGBUY_BUTTON_TUTORIAL	Comprar	
GAMEPLAY_BACON_DRAGBUY_TITLE_TUTORIAL	Compre lacaios!	
GAMEPLAY_BACON_DRAGBUY_TRIPLE_TUTORIAL	Compre esse pra conseguir uma Trinca!	
GAMEPLAY_BACON_DRAGBUY_TUTORIAL	Arraste para o seu herói.	
GAMEPLAY_BACON_DRAGSELL_BODY_TUTORIAL	Arraste lacaios para Bob se quiser vendê-los.\n\nAssim você libera espaço e ainda ganha 1 de Ouro!	
GAMEPLAY_BACON_DRAGSELL_BUTTON_TUTORIAL	Vender	
GAMEPLAY_BACON_DRAGSELL_TITLE_TUTORIAL	Venda lacaios!	
GAMEPLAY_BACON_DRAGSELL_TUTORIAL	Arreste um lacaio para cá para vender.	
GAMEPLAY_BACON_ENEMY_MINION_TUTORIAL	Escolha um lacaio.	
GAMEPLAY_BACON_FREEZE_TUTORIAL	Congele lacaios para vê-los no turno seguinte de novo.	
GAMEPLAY_BACON_MINION_MOVE_TUTORIAL	Arraste para a direita para organizar.	
GAMEPLAY_BACON_MINION_UPGRADE_TAVERN_TUTORIAL	Aprimore a Taverna!	
GAMEPLAY_BACON_MULLIGAN_AVAILABLE_RACES	Tipos de lacaio nesta partida: {0}, {1}, {2}, {3}, {4}	0=first race, 1=second race, 2=third race, 3=fourth race, 4=fifth race
GAMEPLAY_BACON_MULLIGAN_CHOOSE_HERO_BANNER	Escolha seu campeão	
GAMEPLAY_BACON_MULLIGAN_WAITING_BANNER	{0}/{1} jogadores prontos	0=number of players ready, 1=number of players in game
GAMEPLAY_BACON_MULLIGAN_WAITING_BANNER_SUBTITLE	Tempo restante	
GAMEPLAY_BACON_PLAY_MINION_TUTORIAL	Jogue!	
GAMEPLAY_BACON_RECENT_COMBATS	Combates recentes	
GAMEPLAY_BACON_RECENT_UPGRADE	Melhoria mais recente	
GAMEPLAY_BACON_RECRUIT_REMINDER_TUTORIAL	Escolha um lacaio.	
GAMEPLAY_BACON_RECRUIT_REMINDER_TUTORIAL_2	Compre um lacaio.	
GAMEPLAY_BACON_REFRESH_TUTORIAL	Veja novos recrutas.	
