TAG	TEXT	COMMENT
GLOBAL_AADC_BUTTON_PRIVACY	Privacidade	
GLOBAL_AADC_BUTTON_PRIVACYSETTINGS	Configurações de Privacidade	
GLOBAL_AADC_CHATSETTINGS_DISABLEDESCRIPTION	Se desativar o bate-papo, você não poderá mandar nem receber mensagens de amigos.	
GLOBAL_AADC_CHATSETTINGS_DISABLEHEADER	Ativar mensagens de bate-papo	
GLOBAL_AADC_CHATSETTINGS_ENABLEDESCRIPTION	Ativando o bate-papo, você poderá mandar e receber mensagens de amigos. Tome cuidado e não divulgue informações pessoais.	
GLOBAL_AADC_CHATSETTINGS_ENABLEHEADER	Desativar mensagens de bate-papo	
GLOBAL_AADC_CHATSETTINGS_SETTINGSUPDATED	Configurações de bate-papo atualizadas	
GLOBAL_AADC_CHATSETTINGS_TITLE	Configurações de bate-papo	
GLOBAL_AADC_CHATSETTINGS_UPDATINGSETTINGS	Atualizando configurações de bate-papo	
GLOBAL_AADC_CHATWARNING	Tome cuidado e não divulgue informações pessoais nas mensagens.	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEDESCRIPTION	Desabilitar amigos próximos impede que jogadores perto de você vejam suas atividades na lista de amigos.	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEHEADER	Desabilitar amigos próximos	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEDESCRIPTION	Habilitar amigos próximos permite que jogadores perto de você vejam suas atividades na lista de amigos.	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEHEADER	Habilitar amigos próximos	
GLOBAL_AADC_FRIENDSETTINGS_SETTINGSUPDATED	Amigos próximos atualizados	
GLOBAL_AADC_FRIENDSETTINGS_TITLE	Configurações de amizade	
GLOBAL_AADC_FRIENDSETTINGS_UPDATINGSETTINGS	Atualizando amigos próximos	
GLOBAL_AADC_LOCATIONSERVICES_DISABLEDESCRIPTION	Se desativar os serviços de localização, você ficará impedido de iniciar e participar de Encontros Fireside.	
GLOBAL_AADC_LOCATIONSERVICES_DISABLEHEADER	Desativar serviços de localização	
GLOBAL_AADC_LOCATIONSERVICES_ENABLEDESCRIPTION	Com os serviços de localização ativados, fica mais fácil achar jogadores próximos e permitir Encontros Fireside.	
GLOBAL_AADC_LOCATIONSERVICES_ENABLEHEADER	Ativar serviços de localização	
GLOBAL_AADC_LOCATIONSERVICES_SETTINGSUPDATED	Configurações de local atualizadas	
GLOBAL_AADC_LOCATIONSERVICES_TITLE	Configurações de local	
GLOBAL_AADC_LOCATIONSERVICES_UPDATINGSETTINGS	Atualizando configurações de local	
GLOBAL_AADC_PARENTALLOCK_DESCRIPTION	Para alterar esta opção, é necessário que seus pais ou responsáveis atualizem suas configurações de privacidade no Battle.net.	
GLOBAL_AADC_PRIVACYSETTINGSMENU_PRIVACYRIGHTS	Direitos de Privacidade	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_LOCATIONSETTINGS	Habilitar configurações de local	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_PUSHNOTIFICATIONS	Habilitar notificações via push	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_DEVICE	Opções de dispositivo	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_SOCIAL	Opções sociais	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_CHATMESSAGES	Habilitar mensagens de bate-papo	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_NEARBYFRIENDS	Habilitar amigos próximos	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_SPECIALOFFERS	Habilitar ofertas personalizadas da loja	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEDESCRIPTION	Desativar notificações via push impedirá que Hearthstone mande avisos ao seu dispositivo.	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEHEADER	Desativar notificações via push	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEDESCRIPTION	Habilitar notificações via push permitirá que Hearthstone mande avisos ao seu dispositivo.	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEHEADER	Ativar notificações via push	
GLOBAL_AADC_PUSHNOTIFICATIONS_SETTINGSUPDATED	Configurações de notificação atualizadas	
GLOBAL_AADC_PUSHNOTIFICATIONS_TITLE	Configurações de notificação	
GLOBAL_AADC_PUSHNOTIFICATIONS_UPDATINGSETTINGS	Atualizando configurações de notificação	
GLOBAL_AADC_SHOPSETTINGS_DISABLEDESCRIPTION	Desativar ofertas personalizadas da loja impedirá que você veja ofertas baseadas no seu estilo de jogo.	
GLOBAL_AADC_SHOPSETTINGS_DISABLEHEADER	Desativar ofertas personalizadas	
GLOBAL_AADC_SHOPSETTINGS_ENABLEDESCRIPTION	Habilitar ofertas personalizadas da loja permitirá que você veja ofertas baseadas no seu estilo de jogo.	
GLOBAL_AADC_SHOPSETTINGS_ENABLEHEADER	Ativar ofertas personalizadas	
GLOBAL_AADC_SHOPSETTINGS_SETTINGSUPDATED	Configurações da loja atualizadas	
GLOBAL_AADC_SHOPSETTINGS_TITLE	Configurações da loja	
GLOBAL_AADC_SHOPSETTINGS_UPDATINGSETTINGS	Atualizando configurações da loja	
GLOBAL_AADC_UPDATESETTINGSPOPUP_DESCRIPTION	Agora todas as suas preferências sociais e de dispositivo estão habilitadas, incluindo mensagens de bate-papo, loja e ofertas personalizadas.	
GLOBAL_AADC_UPDATESETTINGSPOPUP_TITLE	Configurações atualizadas	
GLOBAL_ACCOUNT	Conta	
GLOBAL_ADDFRIEND_BUTTON	Adicionar como Amigo	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Essa pessoa já está na sua lista de amigos.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	É necessário inserir um endereço de e-mail ou Battle tag.	
GLOBAL_ADDFRIEND_HEADER	Adicionar amigo	
GLOBAL_ADDFRIEND_INSTRUCTION	Digite o BattleTag ou endereço de e-mail.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Solicitação de amigo enviada.	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	Escolha	
GLOBAL_ADVENTURE_DESC_HEADER	Aventura	
GLOBAL_ADVENTURE_TRAY_HEADER	Selecione uma Aventura	
GLOBAL_APPROXIMATE_DATETIME	~{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	~{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	Chave do Noviço	
GLOBAL_ARENA_MEDAL_1	Chave do Aprendiz	
GLOBAL_ARENA_MEDAL_10	Chave Gelonata	
GLOBAL_ARENA_MEDAL_11	Chave Incandescente	
GLOBAL_ARENA_MEDAL_12	Chave da Forja de Luz	
GLOBAL_ARENA_MEDAL_2	Chave do Profissional	
