TAG	TEXT	COMMENT
BOH_ANDUIN_06	Este lacaio está na sua missão! Derrote esse e os dois próximos adversários lendários.	
BOH_ANDUIN_08	Derrote os lacaios lendários de Sylvana para vencer a batalha!	
BOH_FAELIN_06	Ataque os lacaios do outro lado do tabuleiro para impedir que eles afundem!	
BOH_FAELIN_06a	Derrote lacaios inimigos para a Capitã Maya poder ajudar mais passageiros e tripulantes a escapar!	
BOH_FAELIN_06b	Lacaios restantes a resgatar	
BOH_FAELIN_MISSION1_LOREBOOK_01	Dia 601: Ainda sem passageiros. Talvez eu devesse ter construído um submarino com custos de operação menores. Mas qual seria a graça? O Leviatã vale cada moeda de ouro gasta. Com certeza ALGUÉM vai precisar ir ao fundo do mar algum dia, né? Quer dizer, fora eu. Eu não virei uma engenhoqueira de alto nível pra ficar pelos lugares normais. 	
BOH_FAELIN_MISSION1_LOREBOOK_02	Inspirado na tradição de embarcações submergíveis criadas durante a Segunda Guerra, o Leviatã tem várias características especiais. O núcleo de fusão melhorado se mostrou bastante estável em todas as circunstâncias — exceto incêndios — e a interface principal nunca foi hackeada, a não ser pela Intervenção Tempespiral.	
BOH_FAELIN_MISSION10a_LOREBOOK_01	Quem for pego ajudando os esforços de resistência de Jared Cantonegro, Malfurion Tempesfúria e Tyrande Murmuréolo, bem como de seus co-conspiradores, terá punição célere e brutal, incluindo detenção ou execução. Conforme ordens de sua alteza, a Luz das Luzes, Rainha Azshara.	
BOH_FAELIN_MISSION10a_LOREBOOK_02	Depois que as forças da resistência venceram os demônios da Rainha Azshara, começou a Cisão. Essa força cataclísmica destruiu o palácio de Zin-Azshari, despachando todos os habitantes para o fundo do mar. De algum modo, eles não pereceram… em vez disso, se transformaram nas grotescas nagas, podendo sobreviver dentro d'água.	
BOH_FAELIN_MISSION10a_LOREBOOK_02b	Depois que as forças da resistência venceram os demônios da Rainha Azshara, começou a Cisão. Essa força cataclísmica destruiu o palácio de Zin-Azshari, despachando todos os habitantes para o fundo do mar. De algum modo, eles não pereceram… em vez disso, se transformaram nas grotescas nagas, podendo sobreviver dentro d'água.	
BOH_FAELIN_MISSION10a_LOREBOOK_03	Caro Faelin, acredito que a palavra escrita seja a melhor forma de expressar minha gratidão. Eu sei que não foi fácil suportar nossa pequena reunião de família, mas tua intervenção fez toda a diferença. Estou certo de que seremos amigos não importa o que estiver por vir!	
BOH_FAELIN_MISSION10a_LOREBOOK_04	Graça, espero que esta mensagem a encontre com saúde — ou pelo menos encontre, agora que joguei no mar… Eu só queria me desculpar de novo. Queria poder explicar melhor, mas basta dizer que você prestou um serviço de valor inestimável ao Reino de Ventobravo. Se nos encontrarmos outra vez, que seja como aliados.	
BOH_FAELIN_MISSION10b_LOREBOOK_01	Embora muitos dos devotos de Eluna sejam guerreiros fortes, ainda não há um teste final para as habilidades deles. A Alta-Sacerdotisa me deu permissão para criar uma prova que determinará os limites tanto da fortitude espiritual quanto física deles. Talvez, se o localizarmos em Zin-Azshari, recebamos mais recrutas.	
BOH_FAELIN_MISSION10b_LOREBOOK_02	Muitos anos se passaram desde que a Rainha Azshara ou qualquer de seus arautos se dignou a visitar nosso templo em Suramar. Acho que a alta-sacerdotisa suspeita de muita coisa que não pode falar. O último presente do palácio foi um cristal enorme que recebi para usar na minha prova do guerreiro. 	
BOH_FAELIN_MISSION11_LOREBOOK_01	Tomamos conhecimento que o povo de Suramar anda agitado e querendo receber notícias do palácio. Por favor, indiquem um embaixador, alguém com boas relações, mas simpático, e mandem para cá assim que possível. Quando for atendido, o povo ficará bem mais dócil. Isso eu garanto.	
