TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	Você só pode ter 10 cards na sua mão.	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	Tamanho da mão	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	Você derrotou Illidan! Crie uma conta grátis para desafiar novos oponentes online!	
TUTORIAL_MOBILE_CREATE_ACCOUNT	Criar conta	
TUTORIAL_NO_ENDTURN	Ainda não! Você tem mais cards para jogar!	
TUTORIAL_NO_ENDTURN_ATK	Ainda não! Você ainda pode atacar.	
TUTORIAL_NO_ENDTURN_HP	Ainda não! Use seu Poder Heroico.	
TUTORIAL_PROGRESS_LESSON_TITLE	A jornada começa	
TUTORIAL_PROGRESS_SAVED	Progresso salvo	
TUTORIAL_PROGRESS_TITLE	Progresso da missão	
TUTORIAL_RAID_LEADER_DESCRIPTION	Este lacaio tem um poder que dura até ele morrer.	
TUTORIAL_RAID_LEADER_HEADLINE	Poderes	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	Você compra um card aleatório do seu deck a cada turno.	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	Seu oponente compra um card a cada turno.	
TUTORIAL_TOOLTIP_HISTORY_DESC	Este é o registro dos eventos do jogo.	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	Histórico	
TUTORIAL_WANTED	Procura-se	
TUTORIAL01_HELP_01	Se ficar sem Vida, você perde.	
TUTORIAL01_HELP_02	Este foi jogado no último turno.	
TUTORIAL01_HELP_03	Esmague este gnoll!	
TUTORIAL01_HELP_04	Lacaios precisam esperar um turno para atacar.	
TUTORIAL01_HELP_05	Ataque Hogger!	
TUTORIAL01_HELP_06	Ataque Hogger com tudo que você tiver!	
TUTORIAL01_HELP_07	Guarde isso para o inimigo!	
TUTORIAL01_HELP_08	Ignore os gnollzinhos e acabe com o Hogger.	
TUTORIAL01_HELP_09	Quando Hogger estiver sem vida, você vencerá.	
TUTORIAL01_HELP_10	Ataque com seu lacaio!	
TUTORIAL01_HELP_11	Clique para atacar.	
TUTORIAL01_HELP_12	O dano que eles causam.	
TUTORIAL01_HELP_13	O dano que eles podem receber.	
TUTORIAL01_HELP_14	Derrote Hogger!	
TUTORIAL01_HELP_15	Jogue lacaios e use-os para atacar o Hogger.\n\nCause dano suficiente e você vencerá!	
TUTORIAL01_HELP_16	Comece!	
TUTORIAL01_HELP_17	Clique nele!	
TUTORIAL01_HELP_17_TOUCH	Toque no lacaio!	
TUTORIAL01_HELP_18	Cards gratuitos!	
TUTORIAL02_HELP_01	Você recebe um Cristal de Mana a cada turno.	
TUTORIAL02_HELP_02	Cards custam Mana para serem jogados.	
TUTORIAL02_HELP_03	Seus Cristais de Mana usados enchem-se de novo a cada turno.	
TUTORIAL02_HELP_04	Você tem {0} de mana.	
TUTORIAL02_HELP_06	Acabe com Millhouse!	
TUTORIAL02_HELP_07	Gaste seu Mana toda rodada para esmagar esse gnomo chato!	
TUTORIAL02_STARTING_HAND	Mão inicial	
TUTORIAL03_HELP_01	Este gorila tem Provocar.	
TUTORIAL03_HELP_02	Viva o rei	
TUTORIAL03_HELP_03	Não entende um card? Passe o mouse sobre ele!	
TUTORIAL03_HELP_03_TOUCH	Não entende um card? Toque e mantenha-o pressionado.	
TUTORIAL04_HELP_01	Você pode usar o Poder Heroico uma vez por turno.	
TUTORIAL04_HELP_02	Transforme em ovelha!	
TUTORIAL04_HELP_03	Guarde isso para o Rastejante do Pântano!	
