TAG	TEXT	COMMENT
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	Этот игрок уже находится в вашем списке друзей.	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	Введите электронный адрес или Battle Tag.	
GLOBAL_ADDFRIEND_HEADER	Добавить друга	
GLOBAL_ADDFRIEND_INSTRUCTION	Укажите BattleTag или адрес электронной почты.	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	Запрос на добавление в друзья отправлен.	
GLOBAL_APPROXIMATE_DATETIME	~{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	~{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	Ключ новичка	
GLOBAL_ARENA_MEDAL_1	Ключ ученика	
GLOBAL_ARENA_MEDAL_10	Ледяной ключ	
GLOBAL_ARENA_MEDAL_11	Пылающий ключ	
GLOBAL_ARENA_MEDAL_12	Ключ из светостали	
GLOBAL_ARENA_MEDAL_2	Ключ подмастерья	
GLOBAL_ARENA_MEDAL_3	Медный ключ	
GLOBAL_ARENA_MEDAL_4	Серебряный ключ	
GLOBAL_ARENA_MEDAL_5	Золотой ключ	
GLOBAL_ARENA_MEDAL_6	Платиновый ключ	
GLOBAL_ARENA_MEDAL_7	Алмазный ключ	
GLOBAL_ARENA_MEDAL_8	Ключ чемпиона	
GLOBAL_ARENA_MEDAL_9	Рубиновый ключ	
GLOBAL_ATTACK	Атака	
GLOBAL_BACK	Назад	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	Это золото выдано в качестве компенсации за предыдущие покупки. Спасибо!	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	Компенсация	
GLOBAL_BUTTON_NEXT	Далее	
GLOBAL_BUTTON_NO	Нет	
GLOBAL_BUTTON_OK	ОК	
GLOBAL_BUTTON_YES	Да	
GLOBAL_CANCEL	Отмена	
GLOBAL_CARD_SET_CORE	Базовый набор	
GLOBAL_CARD_SET_EXPERT1	Набор эксперта	
GLOBAL_CARD_SET_PROMO	Промо-карты	
GLOBAL_CARD_SET_REWARD	Награды	
GLOBAL_CARDTYPE_ENCHANTMENT	Чары	
GLOBAL_CARDTYPE_HERO	Герой	
GLOBAL_CARDTYPE_HEROPOWER	Сила героя	
GLOBAL_CARDTYPE_ITEM	Предмет	
GLOBAL_CARDTYPE_MINION	Существо	
GLOBAL_CARDTYPE_SPELL	Заклинание	
GLOBAL_CARDTYPE_TOKEN	Жетон	
GLOBAL_CARDTYPE_WEAPON	Оружие	
GLOBAL_CHAT_BUBBLE_RECEIVER_NAME	Для: {0}	0=player name
GLOBAL_CHAT_CHALLENGE	Вызов	
GLOBAL_CHAT_NO_FRIENDS_ONLINE	В данный момент никто из ваших друзей не находится в сети.	
GLOBAL_CHAT_NO_RECENT_CONVERSATIONS	Откройте список друзей, чтобы начать разговор с другом.	
GLOBAL_CHAT_RECEIVER_OFFLINE	{0} сейчас не в сети.	0=player name
GLOBAL_CHAT_RECEIVER_ONLINE	{0} входит в сеть.	0=player name
GLOBAL_CLASS_DEATHKNIGHT	Рыцарь смерти	
GLOBAL_CLASS_DRUID	Друид	
GLOBAL_CLASS_HUNTER	Охотник	
GLOBAL_CLASS_MAGE	Маг	
GLOBAL_CLASS_NEUTRAL	Общие	
GLOBAL_CLASS_PALADIN	Паладин	
GLOBAL_CLASS_PRIEST	Жрец	
GLOBAL_CLASS_ROGUE	Разбойник	
GLOBAL_CLASS_SHAMAN	Шаман	
GLOBAL_CLASS_WARLOCK	Чернокнижник	
GLOBAL_CLASS_WARRIOR	Воин	
GLOBAL_CLICK_TO_CONTINUE	Щелкните, чтобы продолжить.	
GLOBAL_CLICK_TO_CONTINUE_TOUCH	Нажмите, чтобы продолжить.	
GLOBAL_COLLECTION_GOLDEN	Золотая карта:	
GLOBAL_CONCEDE	Сдаться	
GLOBAL_CONFIRM	ОК	
GLOBAL_COST	Стоимость	
GLOBAL_CURRENT_DATE	{0:dd.MM.yyyy}	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_CURRENT_TIME	{0:HH:mm} 	see http://msdn.microsoft.com/en-us/library/8kb3ddd4.aspx
GLOBAL_DATETIME_AFK_DAYS	Отсутствует {0} дн.	
GLOBAL_DATETIME_AFK_HOURS	Отсутствует {0} ч.	
GLOBAL_DATETIME_AFK_MINUTES	Отсутствует {0} м.	
GLOBAL_DATETIME_AFK_MONTH	Отсутствует более месяца	
GLOBAL_DATETIME_AFK_SECONDS	Отсутствует менее минуты	
GLOBAL_DATETIME_AFK_WEEKS	Отсутствует {0} нед.	
GLOBAL_DATETIME_FRIENDREQUEST_DAY	вчера	
